ListingID,CarName,Price,Year,KilometersDriven,FuelType,Location,ListingURL,ImageURL
1,Mercedes-Benz GLC Progressive 220d,31.45 Lakh,2017,112000,Diesel,"Indiranagar, Bangalore",https://www.cardekho.com/used-car-details/used-Mercedes-benz-Glc-Progressive-220d-cars-Bangalore_44b85286-1b18-4806-a771-f9a2cbda24b0.htm,https://images10.gaadi.com/usedcar_image/3806752/original/processed_img2970774__used_car_2970774_1706966851.jpg?imwidth=420
2,Maruti S-Presso VXI Opt AT 2019-2022,6.16 Lakh,2022,1137,Petrol,"Jakkur, Bangalore",https://www.cardekho.com/buy-used-car-details/used-Maruti-S-presso-Vxi-Opt-At-2019-2022-cars-Bangalore_3f14267a-bea0-4e60-832e-95ddc06e1fc8.htm,https://images10.gaadi.com/usedcar_image/3829926/original/2369dd40f70cafce53d9f726358d842d.jpg?imwidth=420
3,Toyota Land Cruiser Prado VX,69.95 Lakh,2011,67111,Diesel,"Nagavara, Bangalore",https://www.cardekho.com/used-car-details/used-Toyota-Land-Cruiser-Prado-Vx-cars-Bangalore_5308313a-2247-4553-b6c2-f6070c4be8e5.htm,https://images10.gaadi.com/usedcar_image/3829969/original/processed_bee2c0ee232c98aa93861a07824ceece.jpg?imwidth=420
4,Renault Duster 110PS Diesel RxZ,5.85 Lakh,2014,137721,Diesel,"Jakkur, Bangalore",https://www.cardekho.com/buy-used-car-details/used-Renault-Duster-110ps-Diesel-Rxz-cars-Bangalore_7f6b72c4-76d1-497f-a931-a866bdfb31f3.htm,https://images10.gaadi.com/usedcar_image/3829580/original/de2ad4cf2e499caeba937511055f2d24.jpg?imwidth=420
5,Honda CR-V 2.4L 4WD AT,8.99 Lakh,2012,85576,Petrol,"City, Bangalore",https://www.cardekho.com/used-car-details/used-Honda-Cr-v-2.4l-4wd-At-cars-Bangalore_9d87d56d-adf0-408a-b8ee-2ae4260f9137.htm,https://images10.gaadi.com/usedcar_image/3790388/original/processed_img2962917__used_car_2962917_1706179324.jpeg?imwidth=420
6,Tata Altroz XZA Plus S Dark Edition DCT,10.95 Lakh,2022,5620,Petrol,"Nagavara, Bangalore",https://www.cardekho.com/used-car-details/used-Tata-Altroz-Xza-Plus-S-Dark-Edition-Dct-cars-Bangalore_173aea75-fc1d-4ccf-a5cf-3c84799a988f.htm,https://images10.gaadi.com/usedcar_image/3829954/original/processed_778de5df88c64b8ce5a40164a34cbab1.jpg?imwidth=420
7,Maruti Alto K10 VXI,3.92 Lakh,2017,43414,Petrol,"Mahadevapura, Bangalore",https://www.cardekho.com/buy-used-car-details/used-Maruti-Alto-K10-Vxi-cars-Bangalore_46ac43b3-5495-4c35-b314-2a71a465751a.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
8,Toyota Land Cruiser Prado VX,62.45 Lakh,2009,158118,Diesel,"Nagavara, Bangalore",https://www.cardekho.com/used-car-details/used-Toyota-Land-Cruiser-Prado-Vx-cars-Bangalore_e182e37c-a53a-41e5-b54d-614c3638be4b.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
9,Mercedes-Benz GLA 45 AMG,34.75 Lakh,2015,30000,Petrol,"Indiranagar, Bangalore",https://www.cardekho.com/used-car-details/used-Mercedes-benz-Gla-45-Amg-cars-Bangalore_160a5c57-f70c-4615-84cd-e46065beae96.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
10,Honda Brio VX AT,3.88 Lakh,2013,81645,Petrol,"Jakkur, Bangalore",https://www.cardekho.com/buy-used-car-details/used-Honda-Brio-Vx-At-cars-Bangalore_1ebf21f4-964d-41ca-837c-21143b20bc98.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
11,Maruti Wagon R AMT VXI,4.45 Lakh,2016,45598,Petrol,"Nagavara, Bangalore",https://www.cardekho.com/used-car-details/used-Maruti-Wagon-R-Amt-Vxi-cars-Bangalore_d2b93dc0-7166-4a92-8d59-c251fc40b8b5.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
12,Maruti Ritz LXi,3.48 Lakh,2013,74960,Petrol,"Jakkur, Bangalore",https://www.cardekho.com/buy-used-car-details/used-Maruti-Ritz-Lxi-cars-Bangalore_df68e2dc-9ec8-4ac9-8406-e9fbd2dc7bd6.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
13,MG Hector Hybrid Sharp Dualtone,16.90 Lakh,2021,40000,Petrol,Bangalore,https://www.cardekho.com/used-car-details/used-Mg-Hector-Hybrid-Sharp-Dualtone-cars-Bangalore_0430f3f1-de45-4869-a282-827b389c2caa.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
14,Mahindra XUV700 AX5 AT,20.95 Lakh,2021,35412,Petrol,"Nagavara, Bangalore",https://www.cardekho.com/used-car-details/used-Mahindra-Xuv700-Ax5-At-cars-Bangalore_ffcdb641-2ed5-420d-9274-8de03394331d.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
15,Maruti Swift Dzire AMT ZXI Plus,7.51 Lakh,2019,47447,Petrol,"Horamavu, Bangalore",https://www.cardekho.com/buy-used-car-details/used-Maruti-Swift-Dzire-Amt-Zxi-Plus-cars-Bangalore_33bb592c-f248-4f84-8a14-21a4a12eba02.htm,https://images10.gaadi.com/usedcar_image/3828405/original/cfb02724ce4a0c7bfc8353322e2896bb.jpg?imwidth=420
16,Mahindra XUV500 AT W10 AWD,15.99 Lakh,2018,56351,Diesel,"Nagavara, Bangalore",https://www.cardekho.com/used-car-details/used-Mahindra-Xuv500-At-W10-Awd-cars-Bangalore_076a7ad9-3fc4-4bf0-a295-0cff0cb8cec5.htm,https://images10.gaadi.com/usedcar_image/3829839/original/processed_542e76847d05b4f7c5b4ae7650a7faeb.jpg?imwidth=420
17,Volkswagen Tiguan 2.0 TSI Elegance BSVI,30 Lakh,2021,10000,Petrol,Bangalore,https://www.cardekho.com/used-car-details/used-Volkswagen-Tiguan-2.0-Tsi-Elegance-Bsvi-cars-Bangalore_91079f8a-268e-4068-a627-1a1671f4e1f2.htm,https://images10.gaadi.com/usedcar_image/3810578/original/processed_d0b02424-189f-4056-9077-cf841c392086.JPEG?imwidth=420
18,Kia Sonet GTX Plus Diesel BSVI,10.92 Lakh,2021,41715,Diesel,"Avalahalli, Bangalore",https://www.cardekho.com/buy-used-car-details/used-Kia-Sonet-Gtx-Plus-Diesel-Bsvi-cars-Bangalore_d9982138-359f-4e52-830a-bf54d196770e.htm,https://images10.gaadi.com/usedcar_image/3827806/original/3eecdf6945262159e09a6294b856fd2a.jpg?imwidth=420
19,Mahindra XUV300 W8 Opt AMT,12.95 Lakh,2022,26067,Petrol,"Nagavara, Bangalore",https://www.cardekho.com/used-car-details/used-Mahindra-Xuv300-W8-Opt-Amt-cars-Bangalore_e32ab09c-61e0-4899-9ee4-fa439d453440.htm,https://images10.gaadi.com/usedcar_image/3829830/original/processed_7135a38c2d0b3ad3a380e49e34a98e9c.jpg?imwidth=420
20,Maruti Swift ZXI,6.76 Lakh,2016,26934,Petrol,"Mahadevapura, Bangalore",https://www.cardekho.com/buy-used-car-details/used-Maruti-Swift-Zxi-cars-Bangalore_9e2518b9-afcf-492f-ac96-3aa084323390.htm,https://images10.gaadi.com/usedcar_image/3827803/original/edd39c50c73271760a47209a89ef2319.jpg?imwidth=420
21,BMW 6 Series GT 630i M Sport Signature,73.45 Lakh,2022,4000,Petrol,"Indiranagar, Bangalore",https://www.cardekho.com/used-car-details/used-Bmw-6-Series-Gt-630i-M-Sport-Signature-cars-Bangalore_fa24f290-efab-4b68-b0cd-58d6fa0c5ca8.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
22,Maruti Vitara Brezza ZXI AT,9.66 Lakh,2020,55214,Petrol,"Avalahalli, Bangalore",https://www.cardekho.com/buy-used-car-details/used-Maruti-Vitara-Brezza-Zxi-At-cars-Bangalore_fd3bb144-bbcf-419b-8d61-6f4a85504ef2.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
23,Audi Q7 Technology,81.50 Lakh,2023,10000,Petrol,"Paltra, Gurgaon",https://www.cardekho.com/used-car-details/used-Audi-Q7-Technology-cars-Gurgaon_224ac9af-65c7-4707-b399-d61dba7eec6e.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
24,Tata Nexon XZA Plus (O) AMT,10.03 Lakh,2020,66814,Petrol,"Magadi Road, Bangalore",https://www.cardekho.com/buy-used-car-details/used-Tata-Nexon-Xza-Plus-(o)-Amt-cars-Bangalore_8030b532-4b97-489f-b798-755f85eaffa1.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
25,Mercedes-Benz GLA 45 AMG,34.75 Lakh,2015,30000,Petrol,"Indiranagar, Bangalore",https://www.cardekho.com/used-car-details/used-Mercedes-benz-Gla-45-Amg-cars-Bangalore_160a5c57-f70c-4615-84cd-e46065beae96.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
