ListingID,CarName,Price,Year,KilometersDriven,FuelType,Location,ListingURL,ImageURL
1,BMW X1 xDrive 20d xLine,24.50 Lakh,2019,51100,Diesel,"Rajender Nagar, New Delhi",https://www.cardekho.com/used-car-details/used-Bmw-X1-Xdrive-20d-Xline-cars-New-Delhi_5b37462f-ede3-4398-bca0-ab4d1cb0bafd.htm,https://images10.gaadi.com/usedcar_image/3829749/original/processed_bed06642fd38e427b0e02ae662248b3e.jpg?imwidth=420
2,Honda Amaze VX CVT,9.68 Lakh,2023,8272,Petrol,"Ramgarh B.o, Gurgaon",https://www.cardekho.com/buy-used-car-details/used-Honda-Amaze-Vx-Cvt-cars-Gurgaon_81ef90de-0533-42e9-98fe-31edf13c2bf8.htm,https://images10.gaadi.com/usedcar_image/3829809/original/cf19de620ed91ed29042db7ab7916eaa.jpg?imwidth=420
3,Audi Q7 Technology 2022-2022,85.50 Lakh,2022,14000,Petrol,Gurgaon,https://www.cardekho.com/used-car-details/used-Audi-Q7-Technology-2022-2022-cars-Gurgaon_cc687cd9-bb32-4138-bf6e-ae7a686c16ab.htm,https://images10.gaadi.com/usedcar_image/3829900/original/processed_3b5469fda4c954cdfbb94e3cff315559.jpg?imwidth=420
4,Hyundai Grand i10 Nios AMT Asta,8.07 Lakh,2020,5192,Petrol,"Sector 18, Noida",https://www.cardekho.com/buy-used-car-details/used-Hyundai-Grand-I10-Nios-Amt-Asta-cars-Noida_fcbd673d-5ec2-42bb-aa92-2bfe54cd582a.htm,https://images10.gaadi.com/usedcar_image/3825415/original/3d562a9bfe6d40cb906eeec21098f6b1.jpg?imwidth=420
5,Mercedes-Benz C-Class C 200 CGI,6.50 Lakh,2011,86000,Petrol,"Preet Vihar, New Delhi",https://www.cardekho.com/used-car-details/used-Mercedes-benz-C-class-C-200-Cgi-cars-New-Delhi_f7263a19-858e-418a-809b-ecb30099e868.htm,https://images10.gaadi.com/usedcar_image/3828042/original/processed_186e44a4438229060958bfcdf165b8ed.jpg?imwidth=420
6,Mercedes-Benz GLS 400d 4MATIC BSVI,1.35 Crore,2023,6000,Diesel,"Naraina, New Delhi",https://www.cardekho.com/used-car-details/used-Mercedes-benz-Gls-400d-4matic-Bsvi-cars-New-Delhi_2eac594d-e1a7-4572-b7f8-9430a0f075cb.htm,https://images10.gaadi.com/usedcar_image/3829589/original/0d1e015e6a31d096a3d9a8a94670d0ee.jpg?imwidth=420
7,Renault KWID 1.0 RXT,3.43 Lakh,2018,20930,Petrol,"Sector 18, Noida",https://www.cardekho.com/buy-used-car-details/used-Renault-Kwid-1.0-Rxt-cars-Noida_4f722eea-28b0-4396-8529-b113d6b44763.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
8,Porsche Cayenne Coupe GTS Coupe BSVI,1.68 Crore,2023,1500,Petrol,"Ashok Vihar, New Delhi",https://www.cardekho.com/used-car-details/used-Porsche-Cayenne-Coupe-Gts-Coupe-Bsvi-cars-New-Delhi_55ea57c2-0a30-41dc-8c51-1476a30e0183.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
9,Hyundai Tucson Signature Diesel AT,32 Lakh,2023,21000,Diesel,"Vikas Puri, New Delhi",https://www.cardekho.com/used-car-details/used-Hyundai-Tucson-Signature-Diesel-At-cars-New-Delhi_d1ffd554-7fc6-4d28-b423-a0eb3111c534.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
10,Hyundai Creta SX Opt IVT BSVI,14.56 Lakh,2020,29177,Petrol,"Sector 18, Noida",https://www.cardekho.com/buy-used-car-details/used-Hyundai-Creta-Sx-Opt-Ivt-Bsvi-cars-Noida_1c52811f-9ebb-4a4f-a758-31af0836e774.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
11,Mercedes-Benz GLS 400d 4MATIC BSVI,1.23 Crore,2022,10000,Diesel,"Ashok Vihar, New Delhi",https://www.cardekho.com/used-car-details/used-Mercedes-benz-Gls-400d-4matic-Bsvi-cars-New-Delhi_ebee8788-aa01-43a9-925e-1e7e0bae9c49.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
12,Maruti Ertiga VXI ABS,5.52 Lakh,2014,41431,Petrol,"Sector 18, Noida",https://www.cardekho.com/buy-used-car-details/used-Maruti-Ertiga-Vxi-Abs-cars-Noida_d8d1684f-eb4e-4ec7-b636-15f1ab8418c5.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
13,Mahindra XUV300 W6 Diesel BSIV,8 Lakh,2020,80000,Diesel,Noida,https://www.cardekho.com/used-car-details/used-Mahindra-Xuv300-W6-Diesel-Bsiv-cars-Noida_26c2f50c-2d96-4ad5-96bf-9266fc5b4f27.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
14,Mercedes-Benz GLA 200 BSVI,46 Lakh,2023,15200,Petrol,"Chanakya Puri, New Delhi",https://www.cardekho.com/used-car-details/used-Mercedes-benz-Gla-200-Bsvi-cars-New-Delhi_d9451c44-5afb-4a42-a7ff-b23de4604283.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
15,Mercedes-Benz Maybach S-Class S580 BSVI,2.65 Crore,2023,4000,Petrol,"Ashok Vihar, New Delhi",https://www.cardekho.com/used-car-details/used-Mercedes-benz-Maybach-S-class-S580-Bsvi-cars-New-Delhi_5c3c51dc-1c72-49a4-b217-1a40198f824a.htm,https://images10.gaadi.com/usedcar_image/3825824/original/processed_494ebada091e602701d7dbaf99d25c21.jpg?imwidth=420
16,Maruti Jimny Alpha AT,14.75 Lakh,2023,8000,Petrol,"Preet Vihar, New Delhi",https://www.cardekho.com/used-car-details/used-Maruti-Jimny-Alpha-At-cars-New-Delhi_410c763d-ef25-4a55-8110-0a9f8aec5074.htm,https://images10.gaadi.com/usedcar_image/3830050/original/processed_30f56aac445869c768ff95b26a9a1a96.jpg?imwidth=420
