ListingID,CarName,Price,Year,KilometersDriven,FuelType,Location,ListingURL,ImageURL
1,Maruti Celerio ZXI Optional AMT BSIV,4.50 Lakh,2019,82266,Petrol,Hyderabad,https://www.cardekho.com/used-car-details/used-Maruti-Celerio-Zxi-Optional-Amt-Bsiv-cars-Hyderabad_9d3afdf2-835c-4bc3-953d-bad3aafc9ca1.htm,https://images10.gaadi.com/usedcar_image/3828966/original/fcc4ca4d3a2f744f1ca38f106c0a826f.jpg?imwidth=420
2,Renault KWID Climber 1.0 MT,3.36 Lakh,2018,83048,Petrol,"Rangareddi, Hyderabad",https://www.cardekho.com/buy-used-car-details/used-Renault-Kwid-Climber-1.0-Mt-cars-Hyderabad_36906af8-90d1-4832-8888-d770d2419f19.htm,https://images10.gaadi.com/usedcar_image/3829964/original/2e3fddfa5d8f459aaaf107059289860e.jpg?imwidth=420
3,Ford Endeavour Titanium Plus 4X4,32 Lakh,2017,89000,Diesel,"Lb Nagar, Hyderabad",https://www.cardekho.com/used-car-details/used-Ford-Endeavour-Titanium-Plus-4x4-cars-Hyderabad_42cf4a15-a7ba-48dc-8c58-8a669fa2a94d.htm,https://images10.gaadi.com/usedcar_image/3829950/original/processed_992dbee2f1e84935ec4db40958fe0894.jpg?imwidth=420
4,Nissan Micra Active XV,2.80 Lakh,2015,78722,Petrol,"Begumbazar, Hyderabad",https://www.cardekho.com/buy-used-car-details/used-Nissan-Micra-Active-Xv-cars-Hyderabad_5cd00bb6-adb7-4d23-a7a3-3fded6ac5003.htm,https://images10.gaadi.com/usedcar_image/3829961/original/11138756d8b9468d7353b560665f2fdf.jpg?imwidth=420
5,Audi Q5 35TDI Technology,47 Lakh,2018,23000,Diesel,"Mehdipatnam, Hyderabad",https://www.cardekho.com/used-car-details/used-Audi-Q5-35tdi-Technology-cars-Hyderabad_78c5af5e-7467-48a3-a7c6-a8f1c3dfa97f.htm,https://images10.gaadi.com/usedcar_image/3775247/original/processed_img2957665__used_car_2957665_1705417887.jpg?imwidth=420
6,Hyundai Creta 1.6 CRDi SX,9.30 Lakh,2017,102847,Diesel,"Gandhi Bhawan, Hyderabad",https://www.cardekho.com/used-car-details/used-Hyundai-Creta-1.6-Crdi-Sx-cars-Hyderabad_dd5d9cf2-ad0f-478d-9970-96721d5c1d91.htm,https://images10.gaadi.com/usedcar_image/3829857/original/processed_c8ff45f6b4721c341c823041cda308fc.jpg?imwidth=420
7,Maruti Vitara Brezza ZXI,8.61 Lakh,2021,66533,Petrol,"Rahmath Nagar, Hyderabad",https://www.cardekho.com/buy-used-car-details/used-Maruti-Vitara-Brezza-Zxi-cars-Hyderabad_aab1432f-adbe-42d6-9bca-d36277517380.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
8,Toyota Innova Crysta 2.4 G MT 8 STR,17.80 Lakh,2017,97344,Diesel,"Nagol, Hyderabad",https://www.cardekho.com/used-car-details/used-Toyota-Innova-Crysta-2.4-G-Mt-8-Str-cars-Hyderabad_d5c70683-670e-4724-8de8-710fcb99c743.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
9,Audi A4 Technology,47 Lakh,2022,2500,Petrol,"Mehdipatnam, Hyderabad",https://www.cardekho.com/used-car-details/used-Audi-A4-Technology-cars-Hyderabad_f0377154-152a-4d45-b31a-bfcad209c309.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
10,Hyundai Grand i10 1.2 Kappa Sportz BSIV,5.43 Lakh,2017,48430,Petrol,"Vanastalipuram, Hyderabad",https://www.cardekho.com/buy-used-car-details/used-Hyundai-Grand-I10-1.2-Kappa-Sportz-Bsiv-cars-Hyderabad_b88457c5-76ef-42a9-a60a-ed549284c39e.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
11,Kia Seltos HTK Diesel,12 Lakh,2019,52069,Diesel,"Nagole, Hyderabad",https://www.cardekho.com/used-car-details/used-Kia-Seltos-Htk-Diesel-cars-Hyderabad_f0245bf3-1093-4fef-b570-dd8a37a0737c.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
12,Hyundai Grand i10 1.2 Kappa Sportz BSIV,5.59 Lakh,2018,51183,Petrol,"Rahmath Nagar, Hyderabad",https://www.cardekho.com/buy-used-car-details/used-Hyundai-Grand-I10-1.2-Kappa-Sportz-Bsiv-cars-Hyderabad_2956de6e-98db-411d-8587-82ab6cb1e65e.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
13,Toyota Innova Hycross VX 7STR Hybrid BSVI,31 Lakh,2023,20000,Petrol,Hyderabad,https://www.cardekho.com/used-car-details/used-Toyota-Innova-Hycross-Vx-7str-Hybrid-Bsvi-cars-Hyderabad_9ebb3916-ba54-4740-92d6-aaf9128378ab.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
14,Hyundai Grand i10 1.2 CRDi Sportz,4.90 Lakh,2018,81000,Diesel,"Lb Nagar, Hyderabad",https://www.cardekho.com/used-car-details/used-Hyundai-Grand-I10-1.2-Crdi-Sportz-cars-Hyderabad_d5481b37-03c8-434f-92e8-69dd8a9bacfc.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
15,Maruti Baleno 1.2 CVT Alpha,7.46 Lakh,2019,50056,Petrol,"Rangareddi, Hyderabad",https://www.cardekho.com/buy-used-car-details/used-Maruti-Baleno-1.2-Cvt-Alpha-cars-Hyderabad_693c5805-a979-4e9d-9778-4672521c2272.htm,https://images10.gaadi.com/usedcar_image/3827350/original/641c304e179d25a3998b8a769e62b1e1.jpg?imwidth=420
