ListingID,CarName,Price,Year,KilometersDriven,FuelType,Location,ListingURL,ImageURL
1,Kia Sonet GTX Plus Turbo DCT BSVI,13.45 Lakh,2022,24100,Petrol,"Borivali West, Mumbai",https://www.cardekho.com/used-car-details/used-Kia-Sonet-Gtx-Plus-Turbo-Dct-Bsvi-cars-Mumbai_f3c3ada8-b3ea-4ba1-afae-9fd5956b5707.htm,https://images10.gaadi.com/usedcar_image/3828442/original/processed_201cf69644d28f0db97c9ecfead432e6.jpg?imwidth=420
2,Maruti Alto 800 VXI BSVI,4.27 Lakh,2022,8228,Petrol,"Thurbe, Navi Mumbai",https://www.cardekho.com/buy-used-car-details/used-Maruti-Alto-800-Vxi-Bsvi-cars-Navi-Mumbai_1ed09180-9891-4112-ba24-f0639b167342.htm,https://images10.gaadi.com/usedcar_image/3829963/original/3df83201c1d0f77a074b7ff28f1c52c7.jpg?imwidth=420
3,Maruti Brezza Vxi AT BSVI,12.50 Lakh,2023,1623,Petrol,"Antop Hill, Mumbai",https://www.cardekho.com/used-car-details/used-Maruti-Brezza-Vxi-At-Bsvi-cars-Mumbai_46ab57a9-7566-4135-b110-4d9675c1a575.htm,https://images10.gaadi.com/usedcar_image/3828355/original/processed_919ec15710d3ae5f524272e9c2575271.jpg?imwidth=420
4,Hyundai Creta 1.6 VTVT E Plus,7.86 Lakh,2017,45147,Petrol,"Goregaon East, Mumbai",https://www.cardekho.com/buy-used-car-details/used-Hyundai-Creta-1.6-Vtvt-E-Plus-cars-Mumbai_2f8b6599-bfe0-4071-921f-e32535a2664e.htm,https://images10.gaadi.com/usedcar_image/3829965/original/9b0f54e425712e1c0b6bce17e2658662.jpg?imwidth=420
5,Tata Tiago 1.2 Revotron XZA,5.65 Lakh,2018,19000,Petrol,"Borivali West, Mumbai",https://www.cardekho.com/used-car-details/used-Tata-Tiago-1.2-Revotron-Xza-cars-Mumbai_4d090bc3-7a3f-4e0d-9c00-302279cdd6bd.htm,https://images10.gaadi.com/usedcar_image/3825682/original/processed_617f2b71570e9cd88eb57e69d55f2f6c.jpg?imwidth=420
6,Hyundai Venue SX,11.75 Lakh,2022,3371,Petrol,"Antop Hill, Mumbai",https://www.cardekho.com/used-car-details/used-Hyundai-Venue-Sx-cars-Mumbai_7a8a8bfc-27a0-42fb-8eec-b9e8e339435c.htm,https://images10.gaadi.com/usedcar_image/3824329/original/processed_6c8c765fe2a6c7473936fe4836a8d82c.jpg?imwidth=420
7,Honda City i VTEC CVT VX,5.99 Lakh,2015,47711,Petrol,"Thurbe, Navi Mumbai",https://www.cardekho.com/buy-used-car-details/used-Honda-City-I-Vtec-Cvt-Vx-cars-Navi-Mumbai_956bf748-954f-4a4a-86e5-0f3259752035.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
8,Mahindra XUV700 AX7 Diesel AT Luxury Pack BSVI,27.95 Lakh,2023,8300,Diesel,"Borivali West, Mumbai",https://www.cardekho.com/used-car-details/used-Mahindra-Xuv700-Ax7-Diesel-At-Luxury-Pack-Bsvi-cars-Mumbai_b9a4e87c-be0a-4caf-8db2-c9e1fd6c7f8b.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
9,Maruti Wagon R CNG LXI Opt,5.85 Lakh,2019,27000,CNG,"Borivali West, Mumbai",https://www.cardekho.com/used-car-details/used-Maruti-Wagon-R-Cng-Lxi-Opt-cars-Mumbai_bff8e979-cd10-4d7e-a50f-794378eb38a4.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
10,Hyundai Aura S CNG,7.17 Lakh,2020,53586,CNG,"Mulund West, Mumbai",https://www.cardekho.com/buy-used-car-details/used-Hyundai-Aura-S-Cng-cars-Mumbai_2e1d40e7-09a8-448b-a1bc-235875465ebf.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
