ListingID,CarName,Price,Year,KilometersDriven,FuelType,Location,ListingURL,ImageURL
1,Maruti Celerio X AMT ZXI Option BSIV,4.95 Lakh,2018,43300,Petrol,"Kothrud, Pune",https://www.cardekho.com/used-car-details/used-Maruti-Celerio-X-Amt-Zxi-Option-Bsiv-cars-Pune_5f722df2-f54e-45b2-9bd3-366ecce5e7e9.htm,https://images10.gaadi.com/usedcar_image/3801512/original/processed_img2968189__usedcar_whatsappimage2024_01_31at173700_1__116381706704180_1706704201.jpeg?imwidth=420
2,Hyundai Creta 1.6 SX Automatic,10.90 Lakh,2018,69000,Petrol,"Range Hills, Pune",https://www.cardekho.com/buy-used-car-details/used-Hyundai-Creta-1.6-Sx-Automatic-cars-Pune_f99146a4-9968-490b-b4d3-1b3193a9d56c.htm,https://images10.gaadi.com/usedcar_image/3827354/original/a728b2effa3ab1ebb123ad952508a77c.jpg?imwidth=420
3,Hyundai i20 1.2 Spotz,5.75 Lakh,2017,43000,Petrol,"Mundhwa, Pune",https://www.cardekho.com/used-car-details/used-Hyundai-I20-1.2-Spotz-cars-Pune_d4bd4fb9-1f9c-417e-87f4-8d940885e6e1.htm,https://images10.gaadi.com/usedcar_image/3829506/original/processed_842e369aa0c0b09867c5bacf84ccf73d.jpg?imwidth=420
4,Maruti SX4 S Cross DDiS 200 Zeta,7.15 Lakh,2015,96791,Diesel,"Thathawade, Pune",https://www.cardekho.com/buy-used-car-details/used-Maruti-Sx4-S-Cross-Ddis-200-Zeta-cars-Pune_8cf8d0ea-c1cc-449e-8e02-36ae640e83e2.htm,https://images10.gaadi.com/usedcar_image/3825406/original/da7eb5dd434d8872c404c3a7f76d98b2.jpg?imwidth=420
5,Maruti Ciaz Alpha Automatic BSIV,9.95 Lakh,2020,46000,Petrol,"Kothrud, Pune",https://www.cardekho.com/used-car-details/used-Maruti-Ciaz-Alpha-Automatic-Bsiv-cars-Pune_ebc92eac-9d6e-4bc1-88a1-7044e58a0228.htm,https://images10.gaadi.com/usedcar_image/3572686/original/processed_usedcar_whatsappimage2023_09_11at153947_2__116381694434456_1694434476.jpeg?imwidth=420
6,Hyundai Creta 1.6 E Plus,7.75 Lakh,2016,40000,Petrol,"Fatima Nagar, Pune",https://www.cardekho.com/used-car-details/used-Hyundai-Creta-1.6-E-Plus-cars-Pune_6d2b383b-4565-4036-bbc8-53ae6c978573.htm,https://images10.gaadi.com/usedcar_image/3829397/original/a1e4a98dbc70cd65ed7d961229c6a9d1.JPG?imwidth=420
7,Hyundai i20 Magna Optional 1.2,3.79 Lakh,2013,62217,Petrol,"Undri, Pune",https://www.cardekho.com/buy-used-car-details/used-Hyundai-I20-Magna-Optional-1.2-cars-Pune_9cd9aa3f-6c31-45d5-bff0-cf8818c22594.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
8,Hyundai Grand i10 Asta Option AT,4.95 Lakh,2016,61000,Petrol,"Fatima Nagar, Pune",https://www.cardekho.com/used-car-details/used-Hyundai-Grand-I10-Asta-Option-At-cars-Pune_8266cdc8-7ea9-49c9-9f94-40c3d9f60715.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
9,Hyundai Elantra 1.6 SX Option AT,15.45 Lakh,2018,41500,Diesel,"Kothrud, Pune",https://www.cardekho.com/used-car-details/used-Hyundai-Elantra-1.6-Sx-Option-At-cars-Pune_55191f69-a29c-418b-b089-1b1877fa77a0.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
10,Maruti Wagon R LXI CNG,3.95 Lakh,2015,27541,CNG,"Thathawade, Pune",https://www.cardekho.com/buy-used-car-details/used-Maruti-Wagon-R-Lxi-Cng-cars-Pune_faa90485-8086-4abb-be2c-41f14a4941e7.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
11,Honda City i VTEC VX Option BL,7.25 Lakh,2016,36000,Petrol,"Fatima Nagar, Pune",https://www.cardekho.com/used-car-details/used-Honda-City-I-Vtec-Vx-Option-Bl-cars-Pune_1a034ed9-367f-431c-9685-37319560187d.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
12,Maruti Wagon R LXI CNG,4.26 Lakh,2015,73116,CNG,"Thathawade, Pune",https://www.cardekho.com/buy-used-car-details/used-Maruti-Wagon-R-Lxi-Cng-cars-Pune_3a81ea57-57af-45c1-ba12-eb54e049d877.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
13,Hyundai i20 Petrol CVT Asta,7.60 Lakh,2019,60000,Petrol,Pune,https://www.cardekho.com/used-car-details/used-Hyundai-I20-Petrol-Cvt-Asta-cars-Pune_1d32a596-9dd0-4d60-ba21-24b7b83ad041.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
14,Ford Endeavour 3.2 Titanium AT 4X4,28 Lakh,2019,78000,Diesel,"Fatima Nagar, Pune",https://www.cardekho.com/used-car-details/used-Ford-Endeavour-3.2-Titanium-At-4x4-cars-Pune_c0811f4d-dfa8-46c6-ad38-2ec4ebede6bf.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
15,Hyundai i20 Sportz Plus BSIV,7.05 Lakh,2019,43340,Petrol,"Thathawade, Pune",https://www.cardekho.com/buy-used-car-details/used-Hyundai-I20-Sportz-Plus-Bsiv-cars-Pune_bea34e2c-2b0e-41c3-bc90-09f935322d2e.htm,https://images10.gaadi.com/usedcar_image/3821964/original/fab109c6f0968e24af0e8e8c134ef479.jpg?imwidth=420
16,Jaguar XF 2.2 Litre Luxury,19 Lakh,2015,47000,Diesel,"Fatima Nagar, Pune",https://www.cardekho.com/used-car-details/used-Jaguar-Xf-2.2-Litre-Luxury-cars-Pune_325fe188-7741-4666-ab70-1490136a8953.htm,https://images10.gaadi.com/usedcar_image/3829367/original/processed_3755825b1bd91faa51d790cae2a8ea76.JPG?imwidth=420
17,Ford Fiesta 1.6 SXi Duratec,1.50 Lakh,2010,110000,Petrol,Pune,https://www.cardekho.com/used-car-details/used-Ford-Fiesta-1.6-Sxi-Duratec-cars-Pune_2aa7700e-5d30-4bbf-b5fe-b89970f1b8cc.htm,https://images10.gaadi.com/usedcar_image/3828414/original/processed_8c115ae1-2fa5-4ab0-bed7-8bc937f252da.jpg?imwidth=420
18,Hyundai i20 Sportz 1.2,5.59 Lakh,2015,68640,Petrol,"Thathawade, Pune",https://www.cardekho.com/buy-used-car-details/used-Hyundai-I20-Sportz-1.2-cars-Pune_1a08e2ef-7020-431a-8741-517e44e1b22a.htm,https://images10.gaadi.com/usedcar_image/3821509/original/d6da49d06ed85fd0eb68bbbd7dabe4e3.jpg?imwidth=420
19,Volkswagen Vento 1.6 Highline Plus,5.45 Lakh,2015,42872,Petrol,"Wakad, Pune",https://www.cardekho.com/used-car-details/used-Volkswagen-Vento-1.6-Highline-Plus-cars-Pune_1fab2daa-5772-405e-b417-66f19eb394f4.htm,https://images10.gaadi.com/usedcar_image/3829178/original/processed_95de8b5566de7b305ba76d0742c0c12b.jpg?imwidth=420
20,Maruti Ciaz Zeta BSVI,6.75 Lakh,2017,44509,Petrol,"Wakad, Pune",https://www.cardekho.com/used-car-details/used-Maruti-Ciaz-Zeta-Bsvi-cars-Pune_d034ebd2-9817-4a03-8f9a-f72ab327b1fa.htm,https://images10.gaadi.com/usedcar_image/3829170/original/processed_ed5177bf0eb2a43240bb40d9468edb51.jpg?imwidth=420
21,Maruti Ciaz Alpha Automatic BSIV,9.95 Lakh,2020,46000,Petrol,"Kothrud, Pune",https://www.cardekho.com/used-car-details/used-Maruti-Ciaz-Alpha-Automatic-Bsiv-cars-Pune_ebc92eac-9d6e-4bc1-88a1-7044e58a0228.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
22,Hyundai i20 Sportz 1.2,5.78 Lakh,2017,58378,Petrol,"Thathawade, Pune",https://www.cardekho.com/buy-used-car-details/used-Hyundai-I20-Sportz-1.2-cars-Pune_05d30d0c-e33f-4bfc-b300-de262b9a511c.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
23,BMW X1 sDrive 20d M Sport,23.50 Lakh,2016,54327,Diesel,"Undri, Pune",https://www.cardekho.com/used-car-details/used-Bmw-X1-Sdrive-20d-M-Sport-cars-Pune_51696045-d9a7-43e0-8063-445c3b17d9a5.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
24,Kia Seltos HTX Diesel,13.47 Lakh,2019,67292,Diesel,"Thathawade, Pune",https://www.cardekho.com/buy-used-car-details/used-Kia-Seltos-Htx-Diesel-cars-Pune_dfe4a8be-9246-46cc-b311-32c138e18d7d.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
25,Hyundai Elantra 1.6 SX Option AT,15.45 Lakh,2018,41500,Diesel,"Kothrud, Pune",https://www.cardekho.com/used-car-details/used-Hyundai-Elantra-1.6-Sx-Option-At-cars-Pune_55191f69-a29c-418b-b089-1b1877fa77a0.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
26,Jaguar XF 2.2 Litre Luxury,19 Lakh,2015,47000,Diesel,"Fatima Nagar, Pune",https://www.cardekho.com/used-car-details/used-Jaguar-Xf-2.2-Litre-Luxury-cars-Pune_325fe188-7741-4666-ab70-1490136a8953.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
27,Maruti Ignis 1.2 AMT Delta BSIV,5.30 Lakh,2018,36791,Petrol,"Undri, Pune",https://www.cardekho.com/buy-used-car-details/used-Maruti-Ignis-1.2-Amt-Delta-Bsiv-cars-Pune_87e8df35-1711-479e-bb23-1192319b3758.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
28,Hyundai i20 Asta 1.2,5.85 Lakh,2015,75000,Petrol,"Chinchwadgaon, Pune",https://www.cardekho.com/used-car-details/used-Hyundai-I20-Asta-1.2-cars-Pune_fa3f4888-1f50-4f40-83ee-96f05ee15db9.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
29,Toyota Corolla Altis GL,2.75 Lakh,2010,70000,Petrol,"Kothrud, Pune",https://www.cardekho.com/used-car-details/used-Toyota-Corolla-Altis-Gl-cars-Pune_3a48fd31-96ec-4eda-9636-913a14c430db.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
30,Honda Brio 1.2 S Option MT,4.96 Lakh,2018,40502,Petrol,"Undri, Pune",https://www.cardekho.com/buy-used-car-details/used-Honda-Brio-1.2-S-Option-Mt-cars-Pune_e4f5682c-aa81-4da9-8e55-5c0daec6c331.htm,https://stimg.cardekho.com/pwa/img/spacer3x2.png
