ListingID,CarName,Price,Year,KilometersDriven,FuelType,Location,ListingURL,ImageURL
1,Toyota Innova Crysta,"20,93,000",2022,13719,PETROL,"Garuda Mall, Magrath Road, Bengaluru",https://www.cars24.com/buy-used-toyota-innova-crysta-2022-cars-bangalore-10238152714/,https://fastly-production.24c.in/hello-ar/dev/uploads/d9d08d40-2737-4ac9-a854-91e43940f52c/8e639294-f2c7-4d67-acd9-4a536883b8b7/45.jpg?w=690&auto=format
2,Maruti Ertiga,"5,89,000",2012,138142,DIESEL,"Bellahalli, Bengaluru",https://www.cars24.com/buy-used-maruti-ertiga-2012-cars-bangalore-10227452736/,https://fastly-production.24c.in/hello-ar/dev/uploads/eb4fbd34-1843-4987-bbb4-9dab62540703/aa3b551b-91cd-4683-b4a3-31ed26e37b66/43.jpg?w=690&auto=format
3,Ford Ecosport,"6,07,000",2015,130981,DIESEL,"Bellahalli, Bengaluru",https://www.cars24.com/buy-used-ford-ecosport-2015-cars-bangalore-10296753737/,https://fastly-production.24c.in/hello-ar/dev/uploads/01868d9c-e817-4ab2-8fc3-be15f3397a46/b8e1a583-0c51-4cf8-b235-7c44d45505e4/45.jpg?w=690&auto=format
4,Volkswagen Polo,"8,34,000",2019,32585,PETROL,"Bellahalli, Bengaluru",https://www.cars24.com/buy-used-volkswagen-polo-2019-cars-bangalore-10281455786/,https://fastly-production.24c.in/hello-ar/dev/uploads/3b6259e1-3e4f-4856-8d0a-f72235a761ef/b215f728-d956-494f-80ab-99aa4fcb0720/44.jpg?w=690&auto=format
5,Hyundai Creta,"8,64,000",2016,81853,PETROL,"Bellahalli, Bengaluru",https://www.cars24.com/buy-used-hyundai-creta-2016-cars-bangalore-10216114707/,https://fastly-production.24c.in/hello-ar/dev/uploads/73fbea22-ecab-4751-8e33-bd5b40062f69/342ab4d6-96ac-44de-8c0e-7d5776460ac8/43.jpg?w=690&auto=format
6,Honda Amaze,"3,48,000",2013,87031,PETROL,"Bellahalli, Bengaluru",https://www.cars24.com/buy-used-honda-amaze-2013-cars-bangalore-10881357738/,https://fastly-production.24c.in/hello-ar/dev/uploads/b881d750-301d-4fda-9b8f-5dfb60b8785d/47d8db93-32f1-4ec9-a2f1-3fd58c7a89f9/43.jpg?w=690&auto=format
7,Maruti Swift Dzire,"4,33,000",2012,84260,PETROL,"Bellahalli, Bengaluru",https://www.cars24.com/buy-used-maruti-swift-dzire-2012-cars-bangalore-10268858735/,https://fastly-production.24c.in/hello-ar/dev/uploads/653f905f8f472f2de1cee780/9cab42cd-10dd-4c85-a43e-cf2acb703e8d/slot/myTransformedImage.jpeg?w=690&auto=format
8,Honda City,"6,66,000",2016,66119,PETROL,"Bellahalli, Bengaluru",https://www.cars24.com/buy-used-honda-city-2016-cars-bangalore-10242252730/,https://fastly-production.24c.in/hello-ar/dev/uploads/445dbda6-00d7-40f5-bbf0-d4134b48a32b/aa1026b6-87b9-4dea-86df-86d3b37a24d9/44.jpg?w=690&auto=format
9,Ford Figo Aspire,"7,06,000",2020,32053,PETROL,"Horamavu Agara Road, Bengaluru",https://www.cars24.com/buy-used-ford-figo-aspire-2020-cars-bangalore-10209854747/,https://fastly-production.24c.in/hello-ar/dev/uploads/6540d06a9924e348abb8dc6a/5c46e3ad-a0c0-4169-b44a-ddc3e36d688c/slot/myTransformedImage.jpeg?w=690&auto=format
10,Hyundai Creta,"11,29,000",2018,60341,PETROL,"Bellahalli, Bengaluru",https://www.cars24.com/buy-used-hyundai-creta-2018-cars-bangalore-10235256720/,https://fastly-production.24c.in/hello-ar/dev/uploads/8f55fcf1-8fbc-423a-a0cd-ca6275a72aee/565341a6-bccb-4b2e-895a-a817dc826770/43.jpg?w=690&auto=format
