ListingID,CarName,Price,Year,KilometersDriven,FuelType,Location,ListingURL,ImageURL
1,Maruti Ertiga,"9,41,000",2019,73608,PETROL,"Kompally, Hyderabad",https://www.cars24.com/buy-used-maruti-ertiga-2019-cars-hyderabad-10464356755/,https://fastly-production.24c.in/hello-ar/dev/uploads/b5098578-1d6a-4423-a8ef-7fccf73a842f/2fb827dd-b1a3-467b-93e3-fed82509dafd/43.jpg?w=690&auto=format
2,KIA SONET,"8,25,000",2020,76615,PETROL,"Kompally, Hyderabad",https://www.cars24.com/buy-used-kia-sonet-2020-cars-hyderabad-10430550783/,https://fastly-production.24c.in/hello-ar/dev/uploads/c2e66bf1-d5f2-49a2-a252-21e2eabc9f62/4e2cf449-ef78-4db4-8676-4abb65aad9ee/43.jpg?w=690&auto=format
3,Nissan Micra,"4,76,000",2018,77108,PETROL,"Kompally, Hyderabad",https://www.cars24.com/buy-used-nissan-micra-2018-cars-hyderabad-10465354731/,https://fastly-production.24c.in/hello-ar/dev/uploads/0403323a-992e-47fb-b697-476c82d602f0/2a9f21fe-4023-47d2-aa2e-2d2a889074b7/43.jpg?w=690&auto=format
4,Hyundai i20 Active,"7,61,000",2018,42092,PETROL,"Kompally, Hyderabad",https://www.cars24.com/buy-used-hyundai-i20-active-2018-cars-hyderabad-10492857716/,https://fastly-production.24c.in/hello-ar/dev/uploads/653f890e10f5877b9d5ecbeb/d2a6b471-b608-422b-aa8d-8d2dcf3ad792/slot/1-7-Exterior-10492857716-394c1b81bf5349d88e38eb145a1a0bc6-Exterior-7.jpg?w=690&auto=format
5,Maruti Alto,"4,59,000",2022,13397,PETROL,"Bachupally, Hyderabad",https://www.cars24.com/buy-used-maruti-alto-2022-cars-hyderabad-10460152727/,https://fastly-production.24c.in/hello-ar/dev/uploads/6540a5484e8b4e10f8f27ec4/76d3ad4b-8550-4a2c-a46f-99e07c1cc856/slot/1-7-Exterior-10460152727-3534507f698f4fe59301e53cbfb68325-Exterior-7.jpg?w=690&auto=format
6,Honda BR-V,"8,07,000",2017,90431,PETROL,"Bachupally, Hyderabad",https://www.cars24.com/buy-used-honda-br-v-2017-cars-hyderabad-10480757738/,https://fastly-production.24c.in/hello-ar/dev/uploads/2a27c1b3-59c1-4de2-8def-7d2aaeefa83c/d947a3f6-126a-4627-86d9-0f455276e5b7/44.jpg?w=690&auto=format
7,Renault Kwid,"4,68,000",2020,66696,PETROL,"Kompally, Hyderabad",https://www.cars24.com/buy-used-renault-kwid-2020-cars-hyderabad-10493754783/,https://fastly-production.24c.in/hello-ar/dev/uploads/2e3c1ebc-7e1b-4992-b434-3494900523ed/dbf6e779-f477-4a91-b3cc-6e6a7f48d9c5/43.jpg?w=690&auto=format
8,Hyundai i10,"3,46,000",2014,80797,PETROL,"Kompally, Hyderabad",https://www.cars24.com/buy-used-hyundai-i10-2014-cars-hyderabad-10497959736/,https://fastly-production.24c.in/hello-ar/dev/uploads/ea67ae34-6291-4798-889f-89d7c3349b8b/541d3cbb-6cc8-473e-84ee-0d672140c094/43.jpg?w=690&auto=format
9,Hyundai Santro Xing,"2,96,000",2012,45549,PETROL,"Bachupally, Hyderabad",https://www.cars24.com/buy-used-hyundai-santro-xing-2012-cars-hyderabad-10485659757/,https://fastly-production.24c.in/hello-ar/dev/uploads/82f0bb76-a119-497e-abe1-f4bebbf99e80/13fa18b7-a05b-4318-a4a2-08dcabf70c81/43.jpg?w=690&auto=format
10,Toyota Corolla Altis,"11,88,000",2019,55896,PETROL,"Kompally, Hyderabad",https://www.cars24.com/buy-used-toyota-corolla-altis-2019-cars-hyderabad-10475759715/,https://fastly-production.24c.in/hello-ar/dev/uploads/78f46b95-675f-476f-b536-9e63d910c321/5108f13c-9c71-42ec-a7c9-3ea2e66ecd69/43.jpg?w=690&auto=format
11,Hyundai i10,"3,63,000",2014,39568,PETROL,"Attapur, Hyderabad",https://www.cars24.com/buy-used-hyundai-i10-2014-cars-hyderabad-10417350788/,https://fastly-production.24c.in/hello-ar/dev/uploads/e04cff68-08f0-4ed7-bbb0-6aec847ef9d5/31240ddb-d170-46a9-9bbf-d0f1bdf1c0c3/44.jpg?w=690&auto=format
12,Toyota URBAN CRUISER,"11,57,000",2022,23718,PETROL,"Bachupally, Hyderabad",https://www.cars24.com/buy-used-toyota-urban-cruiser-2022-cars-hyderabad-10423853728/,https://fastly-production.24c.in/hello-ar/dev/uploads/653bbaf39df824a606197f5b/3b52f6af-34d3-4c85-9a88-fa1752d2bb1b/slot/1-7-Exterior-10423853728-7a6df733a46545f08a3d449e0e1e9e74-Exterior-6.jpg?w=690&auto=format
13,Maruti Wagon R 1.0,"3,40,000",2014,82353,PETROL,"Kompally, Hyderabad",https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2014-cars-hyderabad-19277252725/,https://fastly-production.24c.in/hello-ar/dev/uploads/52e51576-974f-4527-b10c-586ea1776843/2b29fae6-f77b-44d1-9317-7cd077cb5d7e/44.jpg?w=690&auto=format
14,Maruti New Wagon-R,"5,40,000",2020,66284,CNG,"Kompally, Hyderabad",https://www.cars24.com/buy-used-maruti-new-wagon-r-2020-cars-hyderabad-10437852731/,https://fastly-production.24c.in/hello-ar/dev/uploads/fc0b3a67-97bb-4681-9f9c-2a29f9b7dab3/877fa89f-59ab-4a87-bb39-43ef32fbc539/43.jpg?w=690&auto=format
15,Mahindra TUV300,"8,29,000",2018,36250,DIESEL,"Attapur, Hyderabad",https://www.cars24.com/buy-used-mahindra-tuv300-2018-cars-hyderabad-10447854723/,https://fastly-production.24c.in/hello-ar/dev/uploads/2d04ff98-64d6-4882-8834-e450ebbd604f/5aa84ae4-60b7-4119-9c33-933500def431/44.jpg?w=690&auto=format
16,Honda City,"6,05,000",2015,63480,PETROL,"Bachupally, Hyderabad",https://www.cars24.com/buy-used-honda-city-2015-cars-hyderabad-10441253731/,https://fastly-production.24c.in/hello-ar/dev/uploads/589270e1-5dd4-4570-8421-47978bc87556/dd43d63e-3f12-4a8e-a216-2a67be23a109/43.jpg?w=690&auto=format
17,Hyundai VENUE,"8,52,000",2022,35265,PETROL,"Vanasthalipuram, Hyderabad.",https://www.cars24.com/buy-used-hyundai-venue-2022-cars-hyderabad-10455252739/,https://fastly-production.24c.in/hello-ar/dev/uploads/81850354-5c73-4e40-b9da-0b9c27f4afb6/e3867878-b930-47d1-97af-fe1ddafcc433/44.jpg?w=690&auto=format
18,Hyundai Santro Xing,"1,69,000",2010,81843,PETROL,"Attapur, Hyderabad",https://www.cars24.com/buy-used-hyundai-santro-xing-2010-cars-hyderabad-10435219730/,https://fastly-production.24c.in/hello-ar/dev/uploads/942daa97-307c-423b-a9e1-e46fa005e368/cec4ef0a-a4cd-486a-a8b7-f2929e04fbf5/44.jpg?w=690&auto=format
19,Tata ALTROZ,"7,23,000",2020,58192,PETROL,"Bachupally, Hyderabad",https://www.cars24.com/buy-used-tata-altroz-2020-cars-hyderabad-10439154725/,https://fastly-production.24c.in/hello-ar/dev/uploads/13ed68a8-259d-4886-9790-3576052a44dc/3a88826f-f8da-4f9b-8b9e-240e41908410/43.jpg?w=690&auto=format
20,Maruti Alto K10,"3,14,000",2015,67557,PETROL,"Kompally, Hyderabad",https://www.cars24.com/buy-used-maruti-alto-k10-2015-cars-hyderabad-10422653738/,https://fastly-production.24c.in/hello-ar/dev/uploads/57983d41-a4ce-44e9-a517-8347c8d11e24/e4357120-4e54-4f25-b470-932d9b8c8b9f/43.jpg?w=690&auto=format
21,Ford Ecosport,"8,19,000",2018,58647,DIESEL,"Bachupally, Hyderabad",https://www.cars24.com/buy-used-ford-ecosport-2018-cars-hyderabad-10471257752/,https://fastly-production.24c.in/hello-ar/dev/uploads/4f4a05f1-e20c-4dd9-9419-b1f6583197de/0cfcda05-6f32-40ae-bc68-492e520e8f4a/44.jpg?w=690&auto=format
22,Tata Tiago,"6,38,000",2021,14765,PETROL,"Kompally, Hyderabad",https://www.cars24.com/buy-used-tata-tiago-2021-cars-hyderabad-10438753725/,https://fastly-production.24c.in/hello-ar/dev/uploads/3a261079-5a77-4c19-a5c5-4c211c130165/5906e65f-67e1-41c3-8c30-d65259aecd35/43.jpg?w=690&auto=format
23,Renault Duster,"3,74,000",2012,67879,DIESEL,"Bachupally, Hyderabad",https://www.cars24.com/buy-used-renault-duster-2012-cars-hyderabad-10485117746/,https://fastly-production.24c.in/hello-ar/dev/uploads/13b5ca28-301c-496b-b225-86326fd784b4/23ac7f76-69be-4ecc-84a9-0a567ea57a3b/43.jpg?w=690&auto=format
24,Maruti Alto 800,"2,33,000",2016,60610,PETROL,"Kompally, Hyderabad",https://www.cars24.com/buy-used-maruti-alto-800-2016-cars-hyderabad-10438711744/,https://fastly-production.24c.in/hello-ar/dev/uploads/ac66f64c-f8e6-45a2-9c64-fdccf0737445/9fc09a9d-3630-4b9b-8929-57a8f7653f4d/44.jpg?w=690&auto=format
25,Maruti Alto,"1,91,000",2012,64934,PETROL,"Vanasthalipuram, Hyderabad.",https://www.cars24.com/buy-used-maruti-alto-2012-cars-hyderabad-10491611780/,https://fastly-production.24c.in/hello-ar/dev/uploads/cc9594b3-850a-41ac-bb53-19022c7df0fa/06df95f0-4ca1-4d62-8c6a-03ec3406bb37/43.jpg?w=690&auto=format
26,Hyundai Elite i20,"6,16,000",2017,64067,DIESEL,"Kompally, Hyderabad",https://www.cars24.com/buy-used-hyundai-elite-i20-2017-cars-hyderabad-10430651736/,https://fastly-production.24c.in/hello-ar/dev/uploads/452c28cf-da47-42e6-b811-b0343a8017f4/a6b4d5a0-e24a-438d-899c-2806b743ccaf/43.jpg?w=690&auto=format
27,MG HECTOR,"14,44,000",2019,48926,PETROL,"Vanasthalipuram, Hyderabad.",https://www.cars24.com/buy-used-mg-hector-2019-cars-hyderabad-10459458730/,https://fastly-production.24c.in/hello-ar/dev/uploads/4732752d-2551-44bd-acd1-b5a50bee9413/45f089e2-ced2-45ab-8ced-6c949f59d2ec/44.jpg?w=690&auto=format
28,Hyundai VENUE,"10,02,000",2022,15817,PETROL,"Bachupally, Hyderabad",https://www.cars24.com/buy-used-hyundai-venue-2022-cars-hyderabad-10427352776/,https://fastly-production.24c.in/hello-ar/dev/uploads/595acefc-10ac-4696-ae52-99f0854859c1/6afb1877-995d-4389-b8ad-bdc6f367a0c9/43.jpg?w=690&auto=format
29,Renault Kwid,"2,90,000",2016,42203,PETROL,"Kompally, Hyderabad",https://www.cars24.com/buy-used-renault-kwid-2016-cars-hyderabad-10475819722/,https://fastly-production.24c.in/hello-ar/dev/uploads/5609e942-d976-4904-be22-bffce9242da8/05e3a799-8768-4785-a36a-076e503a8df2/43.jpg?w=690&auto=format
30,Mahindra XUV500,"7,94,000",2018,110140,DIESEL,"Kompally, Hyderabad",https://www.cars24.com/buy-used-mahindra-xuv500-2018-cars-hyderabad-10480314724/,https://fastly-production.24c.in/hello-ar/dev/uploads/36c89f17-e8c0-437d-be3a-075cb47a6df8/4bd2f005-994f-45cf-86a6-2fea563e2164/44.jpg?w=690&auto=format
31,Maruti Swift,"5,49,000",2021,118937,PETROL,"Kompally, Hyderabad",https://www.cars24.com/buy-used-maruti-swift-2021-cars-hyderabad-10445417757/,https://fastly-production.24c.in/hello-ar/dev/uploads/cabcd675-0166-40d9-bc81-84c569490785/cc29df97-4f04-4d41-8bb0-c71c03103c05/44.jpg?w=690&auto=format
