ListingID,CarName,Price,Year,KilometersDriven,FuelType,Location,ListingURL,ImageURL
1,Maruti Ertiga,"6,51,000",2016,98246,CNG,"Rupa Renaissance, Navi Mumbai",https://www.cars24.com/buy-used-maruti-ertiga-2016-cars-mumbai-10331355786/,https://fastly-production.24c.in/hello-ar/dev/uploads/e38e67b0-0802-4d7e-aa97-598c2b2a7d84/da418a00-40c2-4f1d-af52-6f0eaf70b7c6/45.jpg?w=690&auto=format
2,Hyundai i10,"1,86,000",2010,92421,PETROL,"Goregaon, Mumbai",https://www.cars24.com/buy-used-hyundai-i10-2010-cars-mumbai-10302651713/,https://fastly-production.24c.in/hello-ar/dev/uploads/134f0698-9e8b-4fe4-a10d-c6138dfb47ad/9a4b2653-29a3-4d0e-9590-cad43387c134/43.jpg?w=690&auto=format
3,Toyota Corolla Altis,"4,90,000",2012,60438,PETROL,Mulund,https://www.cars24.com/buy-used-toyota-corolla-altis-2012-cars-mumbai-10354051731/,https://fastly-production.24c.in/hello-ar/dev/uploads/5df30d49-e49e-4c84-bc72-f7a3fd37193d/c9aa3f1b-3866-47e3-a2ba-ec1287a5e1ce/44.jpg?w=690&auto=format
4,Honda City,"4,88,000",2014,72419,PETROL,"Goregaon, Mumbai",https://www.cars24.com/buy-used-honda-city-2014-cars-mumbai-10317756782/,https://fastly-production.24c.in/hello-ar/dev/uploads/7ce50f3b-e38d-4e36-bbe9-0b1251359a84/b7cc89dc-f3e1-4166-8ad7-3a108d88d51f/42.jpg?w=690&auto=format
5,Maruti Alto 800,"1,83,000",2012,55876,PETROL,"Goregaon, Mumbai",https://www.cars24.com/buy-used-maruti-alto-800-2012-cars-mumbai-10336359753/,https://fastly-production.24c.in/hello-ar/dev/uploads/93139e3a-b169-4099-8f8e-90450483b1c7/6300d6d1-0767-4668-87a9-f914101e0928/44.jpg?w=690&auto=format
6,Honda City,"4,13,000",2014,81007,PETROL,Mulund,https://www.cars24.com/buy-used-honda-city-2014-cars-mumbai-10368651758/,https://fastly-production.24c.in/hello-ar/dev/uploads/27483360-1f22-4763-911a-b9c66a4f272b/6809d9e6-e23f-4f6a-b79a-4fe6ab2878ee/44.jpg?w=690&auto=format
7,Hyundai Verna,"4,95,000",2014,76611,PETROL,"Goregaon, Mumbai",https://www.cars24.com/buy-used-hyundai-verna-2014-cars-mumbai-10350553757/,https://fastly-production.24c.in/hello-ar/dev/uploads/6393d3fb-cbec-4464-a6c2-a385bb297cd1/333bf972-d67c-4cef-af5d-f55cc67898ab/43.jpg?w=690&auto=format
8,Mahindra XUV500,"5,51,000",2014,87495,DIESEL,"Rupa Renaissance, Navi Mumbai",https://www.cars24.com/buy-used-mahindra-xuv500-2014-cars-mumbai-10322251717/,https://fastly-production.24c.in/hello-ar/dev/uploads/450be377-d845-4556-8a20-efca65208645/8fb58bb8-dd35-43c7-8098-99e5bcdee724/43.jpg?w=690&auto=format
9,Renault Duster,"6,31,000",2017,68741,PETROL,"Goregaon, Mumbai",https://www.cars24.com/buy-used-renault-duster-2017-cars-mumbai-10384156785/,https://fastly-production.24c.in/hello-ar/dev/uploads/121a32f0-29f3-4866-8e1c-3ac24937ad88/7f31efe8-b2b8-44be-9ada-8a6548e8fba0/45.jpg?w=690&auto=format
10,Maruti Dzire,"5,39,000",2017,47097,PETROL,"Rupa Renaissance, Navi Mumbai",https://www.cars24.com/buy-used-maruti-dzire-2017-cars-mumbai-10327751748/,https://fastly-production.24c.in/hello-ar/dev/uploads/6540ef2a328edd1def3b7589/788fd2da-5935-45ec-9626-774c5ba3f1a1/slot/1-7-Exterior-10327751748-3392e9858af24ae486f85691ebfa85d5-Exterior-7.jpg?w=690&auto=format
11,Volkswagen Jetta,"5,06,000",2011,108471,DIESEL,"Goregaon, Mumbai",https://www.cars24.com/buy-used-volkswagen-jetta-2011-cars-mumbai-10378257788/,https://fastly-production.24c.in/hello-ar/dev/uploads/0c1469ca-4d78-47fc-a784-e18e8fa61159/436cf2a8-019a-4478-98b0-9305d16d828f/44.jpg?w=690&auto=format
12,Maruti Alto 800,"2,25,000",2014,25765,PETROL,"Rupa Renaissance, Navi Mumbai",https://www.cars24.com/buy-used-maruti-alto-800-2014-cars-mumbai-10391358723/,https://fastly-production.24c.in/hello-ar/dev/uploads/a8d4a187-4848-4e56-a08e-6bc93590983b/0e24c404-21da-4116-9a2f-be35ab23c209/43.jpg?w=690&auto=format
13,Honda City,"4,10,000",2013,45778,PETROL,"Rupa Renaissance, Navi Mumbai",https://www.cars24.com/buy-used-honda-city-2013-cars-mumbai-10321456728/,https://fastly-production.24c.in/hello-ar/dev/uploads/da34f697-d384-4c3d-b56a-2f39057155b6/7a91abb8-2f99-472f-a86f-0fee6cf60595/44.jpg?w=690&auto=format
14,Maruti Dzire,"5,93,000",2017,15118,PETROL,Mulund,https://www.cars24.com/buy-used-maruti-dzire-2017-cars-mumbai-10360154782/,https://fastly-production.24c.in/hello-ar/dev/uploads/6541db8f03a89f3defbd9c95/c6f240e4-c806-4d86-8535-fa6aab33060d/slot/myTransformedImage.jpeg?w=690&auto=format
