ListingID,CarName,Price,Year,KilometersDriven,FuelType,Location,ListingURL,ImageURL
1,Maruti Alto,"1,16,000",2010,50962,PETROL,"GIP Mall, Noida",https://www.cars24.com/buy-used-maruti-alto-2010-cars-noida-11206411779/,https://fastly-production.24c.in/hello-ar/dev/uploads/7e518da9-7a2e-4fc5-9278-6e33c38a0fc6/695d7b9b-b37e-4da4-8c4b-04499aed9a6d/42.jpg?w=690&auto=format
2,Tata NEXON,"7,40,000",2020,61698,PETROL,"Metro Walk, Rohini, New Delhi",https://www.cars24.com/buy-used-tata-nexon-2020-cars-new-delhi-10031353792/,https://fastly-production.24c.in/hello-ar/dev/uploads/64e9a3522cf31b1d0ea927fd/0a753136-0c46-4226-9c85-391c062a5062/slot/102EC4-1.JPG?w=690&auto=format
3,Hyundai GRAND I10 NIOS,"5,99,000",2019,76421,PETROL,"GIP Mall, Noida",https://www.cars24.com/buy-used-hyundai-grand-i10-nios-2019-cars-noida-10075616740/,https://fastly-production.24c.in/hello-ar/dev/uploads/aecb3cf9-a26e-4051-90a0-c7821fafcabd/134b9592-f6fb-4d77-8566-54ec27be5f27/43.jpg?w=690&auto=format
4,Maruti S PRESSO,"3,84,000",2019,20792,PETROL,"Parsvnath City Mall, Faridabad",https://www.cars24.com/buy-used-maruti-s-presso-2019-cars-faridabad-10041218761/,https://fastly-production.24c.in/hello-ar/dev/uploads/64c3a3032963d7110de8a16b/e02148c8-d27d-4291-a8a9-9cfec1eb3a32/slot/10041218761-59252f8c948b49db8c1f80d374e30dea-Exterior-7.jpg?w=690&auto=format
5,Toyota Corolla Altis,"3,56,000",2011,67066,PETROL,"Metro Walk, Rohini, New Delhi",https://www.cars24.com/buy-used-toyota-corolla-altis-2011-cars-new-delhi-10183175771/,https://fastly-production.24c.in/hello-ar/dev/uploads/6a534abb-ca32-45a1-a753-9182925cb205/aac4fa04-7b11-4507-b9e9-c5ae86c79908/43.jpg?w=690&auto=format
6,Hyundai AURA,"6,82,000",2020,67853,CNG,"Sector-18, Noida",https://www.cars24.com/buy-used-hyundai-aura-2020-cars-noida-31182756757/,https://fastly-production.24c.in/hello-ar/dev/uploads/ada06a32-9581-404e-902d-f6d453150319/ff88067c-d95f-4dfb-91bd-e843ad3df07a/42.jpg?w=690&auto=format
7,Maruti Vitara Brezza,"8,17,000",2019,55523,DIESEL,"M3M Urbana, Golf Course Ext., Gurugram",https://www.cars24.com/buy-used-maruti-vitara-brezza-2019-cars-gurgaon-29996252786/,https://fastly-production.24c.in/hello-ar/dev/uploads/aa9b014f-5f4d-49c6-90f6-a8dad2d8e1cc/4bf833fd-dd39-4cf9-8ad7-c4b1bb091712/42.jpg?w=690&auto=format
8,Maruti Swift,"3,84,000",2015,117499,DIESEL,"Spaze Platinum, Sohna Road, Gurugram",https://www.cars24.com/buy-used-maruti-swift-2015-cars-gurgaon-29992214722/,https://fastly-production.24c.in/hello-ar/dev/uploads/175d0a97-3a48-4496-8676-39a147e2c252/01ff7378-4d73-422e-b13b-5ad2ca57687d/43.jpg?w=690&auto=format
9,Renault Duster,"3,16,000",2014,97491,DIESEL,"M3M Urbana, Golf Course Ext., Gurugram",https://www.cars24.com/buy-used-renault-duster-2014-cars-gurgaon-29965212777/,https://fastly-production.24c.in/hello-ar/dev/uploads/8954e42d-0a02-4e4c-add3-00f6867c8e1a/a3d03ffd-b90a-4a0e-a41e-ae165dac1829/42.jpg?w=690&auto=format
10,Maruti Vitara Brezza,"7,90,000",2019,50767,DIESEL,"M3M Urbana, Golf Course Ext., Gurugram",https://www.cars24.com/buy-used-maruti-vitara-brezza-2019-cars-gurgaon-29951356714/,https://fastly-production.24c.in/hello-ar/dev/uploads/b2d9a54e-04d4-43c2-9000-7467ef72d6c6/7096c177-db95-4b31-9273-14079a8c4c92/43.jpg?w=690&auto=format
11,Maruti Baleno,"4,71,000",2019,97494,PETROL,"Spaze Platinum, Sohna Road, Gurugram",https://www.cars24.com/buy-used-maruti-baleno-2019-cars-gurgaon-29945414746/,https://fastly-production.24c.in/hello-ar/dev/uploads/6a7a65c9-ee52-45d7-965b-49b37d94df64/27407162-c3f6-4832-bf9d-1f83f54379e6/42.jpg?w=690&auto=format
12,Honda Amaze,"6,49,000",2019,43184,CNG,"Chhatarpur, Delhi",https://www.cars24.com/buy-used-honda-amaze-2019-cars-new-delhi-29945259770/,https://fastly-production.24c.in/hello-ar/dev/uploads/322f1b36-4633-4dd9-ab59-7185baa4762e/5777f97a-c3ce-46e8-8e9f-afe99377b6fb/41.jpg?w=690&auto=format
13,Maruti New Wagon-R,"4,59,000",2019,48404,CNG,"Metro Walk, Rohini, New Delhi",https://www.cars24.com/buy-used-maruti-new-wagon-r-2019-cars-new-delhi-29935454776/,https://fastly-production.24c.in/hello-ar/dev/uploads/c121df6c-c580-448b-8735-50d71c8487e7/6408a333-015c-4389-b4df-0c349055e78f/43.jpg?w=690&auto=format
14,Hyundai Elite i20,"5,44,000",2018,53083,PETROL,"Spaze Platinum, Sohna Road, Gurugram",https://www.cars24.com/buy-used-hyundai-elite-i20-2018-cars-gurgaon-29927719798/,https://fastly-production.24c.in/hello-ar/dev/uploads/641d3db2d8cca64ca5866cae/5391cdab-1fd9-4788-a419-ac664d6b3417/slot/29927719798-ddb5cb54d38a4aef884a4b9f1e0cd30a-Exterior-8.jpg?w=690&auto=format
15,Toyota Glanza,"7,86,000",2019,37778,PETROL,"Parsvnath City Mall, Faridabad",https://www.cars24.com/buy-used-toyota-glanza-2019-cars-faridabad-29926016706/,https://fastly-production.24c.in/hello-ar/dev/uploads/6e1745f9-c355-4c91-a308-0b9fc1bd1c36/e9c1fdc6-52b5-48dd-986b-c573e965d460/43.jpg?w=690&auto=format
