ListingID,CarName,Price,Year,KilometersDriven,FuelType,Location,ListingURL,ImageURL
1,Hyundai Verna,"2,90,000",2011,74527,PETROL,"Undri, Pune",https://www.cars24.com/buy-used-hyundai-verna-2011-cars-pune-10642559786/,https://fastly-production.24c.in/hello-ar/dev/uploads/61197fc2-1aeb-418f-b985-9d5e61b496f2/05fcfd1f-4670-4953-aaee-d66fa870bc6e/46.jpg?w=690&auto=format
2,Hyundai i10,"3,18,000",2013,103214,PETROL,"Tathawade, Pune",https://www.cars24.com/buy-used-hyundai-i10-2013-cars-pune-10683857729/,https://fastly-production.24c.in/hello-ar/dev/uploads/9cfcd24f-6922-4637-9ad4-f5c5159874d8/6af49c7f-f3c6-42fb-96e5-4e0a3c83d4f8/46.jpg?w=690&auto=format
3,Mahindra BOLERO NEO,"8,75,000",2021,28449,DIESEL,"Undri, Pune",https://www.cars24.com/buy-used-mahindra-bolero-neo-2021-cars-pune-10628559728/,https://fastly-production.24c.in/hello-ar/dev/uploads/b881bc26-5391-47e1-a21e-25ceb0724d02/94b7f070-3c49-41eb-8bf8-f4c84d18c8ac/46.jpg?w=690&auto=format
4,Hyundai i20,"4,46,000",2013,49055,PETROL,"Undri, Pune",https://www.cars24.com/buy-used-hyundai-i20-2013-cars-pune-10620950733/,https://fastly-production.24c.in/hello-ar/dev/uploads/37271d3d-fffc-44bf-8fec-e7b355d232be/01f7b8c3-32d6-4b9a-9cf3-22ce20c8bdda/46.jpg?w=690&auto=format
5,Hyundai i10,"2,66,000",2012,75703,PETROL,"Undri, Pune",https://www.cars24.com/buy-used-hyundai-i10-2012-cars-pune-10614318791/,https://fastly-production.24c.in/hello-ar/dev/uploads/06c0c9fb-fb1d-4b2a-b1a4-cda4ecbe5687/0f2defa3-9ef3-41f9-9af4-f9f84608896a/44.jpg?w=690&auto=format
6,Hyundai Eon,"2,56,000",2014,84885,PETROL,"Undri, Pune",https://www.cars24.com/buy-used-hyundai-eon-2014-cars-pune-10661159778/,https://fastly-production.24c.in/hello-ar/dev/uploads/2c50b058-bda1-41cc-907e-62fbf283e3f0/dc880bdf-bbd7-49af-ae62-971182cc7ad7/45.jpg?w=690&auto=format
7,Skoda Rapid,"5,92,000",2015,59133,DIESEL,"Tathawade, Pune",https://www.cars24.com/buy-used-skoda-rapid-2015-cars-pune-10310475712/,https://fastly-production.24c.in/hello-ar/dev/uploads/b342f7d2-ba53-45b0-a703-d0215efb650c/fc15e2dc-0bbb-41c9-a480-51d15495dace/45.jpg?w=690&auto=format
8,Hyundai i20,"3,81,000",2013,26363,PETROL,"Undri, Pune",https://www.cars24.com/buy-used-hyundai-i20-2013-cars-pune-10653056733/,https://fastly-production.24c.in/hello-ar/dev/uploads/f6f40ae9-59d4-498d-85c2-2cbb0cef479f/f8f31893-2c7e-487f-a5bf-532c325cd9ee/45.jpg?w=690&auto=format
9,Maruti Swift,"2,76,000",2011,82202,PETROL,"Tathawade, Pune",https://www.cars24.com/buy-used-maruti-swift-2011-cars-pune-10658514723/,https://fastly-production.24c.in/hello-ar/dev/uploads/f7c8c18e-a7f5-406b-b2b1-736f5c9fe961/fa49404c-fdd3-4d0a-8b1c-5f2445775f28/45.jpg?w=690&auto=format
10,Maruti Wagon R 1.0,"2,94,000",2013,115002,CNG,"Undri, Pune",https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2013-cars-pune-10600355756/,https://fastly-production.24c.in/hello-ar/dev/uploads/27d39c56-3830-4e83-bc43-7940e85bdea4/9bb660cf-c6e9-4712-90b6-19a31953b813/46.jpg?w=690&auto=format
11,Maruti Ertiga,"6,75,000",2015,67478,CNG,"Tathawade, Pune",https://www.cars24.com/buy-used-maruti-ertiga-2015-cars-pune-10377514796/,https://fastly-production.24c.in/hello-ar/dev/uploads/773a7f37-cb5b-42d4-82d9-4387e267228a/8c19f760-8720-4d77-8e0b-d1b6425538ae/44.jpg?w=690&auto=format
12,Hyundai Verna,"3,83,000",2013,99583,PETROL,"Tathawade, Pune",https://www.cars24.com/buy-used-hyundai-verna-2013-cars-pune-10309158777/,https://fastly-production.24c.in/hello-ar/dev/uploads/490cabd4-ec64-4e0c-85df-b6c8562e20a7/cd61d84d-1957-4be5-8236-738ae4d9127d/45.jpg?w=690&auto=format
13,Maruti Ertiga,"6,29,000",2014,59652,CNG,"Undri, Pune",https://www.cars24.com/buy-used-maruti-ertiga-2014-cars-pune-10317756737/,https://fastly-production.24c.in/hello-ar/dev/uploads/a4674f2e-b65f-474f-84a4-cf86da2f2f1f/71806bb8-bb4e-4482-a565-48442ef2ddaf/43.jpg?w=690&auto=format
14,Maruti Wagon R 1.0,"3,68,000",2017,79170,CNG,"Tathawade, Pune",https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2017-cars-pune-10377914748/,https://fastly-production.24c.in/hello-ar/dev/uploads/6c6627d0-df49-4494-8c1a-af5f726056fd/d5c2497b-66fd-494f-9675-aabc037be1b4/45.jpg?w=690&auto=format
15,Hyundai NEW SANTRO,"6,25,000",2021,17620,CNG,"Tathawade, Pune",https://www.cars24.com/buy-used-hyundai-new-santro-2021-cars-pune-10690055726/,https://fastly-production.24c.in/hello-ar/dev/uploads/54456f2b-c885-4241-9726-076acf213694/64cc1c5b-1a32-4fc3-aa53-9b1802c603a6/45.jpg?w=690&auto=format
16,Maruti Swift,"2,95,000",2012,90763,PETROL,"Tathawade, Pune",https://www.cars24.com/buy-used-maruti-swift-2012-cars-pune-10342014722/,https://fastly-production.24c.in/hello-ar/dev/uploads/2bf87b37-eddf-46d4-9aa2-9476bcb7ccd3/9b0ba75b-f1b8-412e-9e6f-43bb23c08cf8/45.jpg?w=690&auto=format
17,Maruti Dzire,"6,86,000",2017,18613,PETROL,"Undri, Pune",https://www.cars24.com/buy-used-maruti-dzire-2017-cars-pune-10696657732/,https://fastly-production.24c.in/hello-ar/dev/uploads/43517da2-311e-4890-9e96-8463e8cd0ab6/fb35b319-0ed7-4873-9d7f-97a216ba07b4/45.jpg?w=690&auto=format
18,Maruti Wagon R 1.0,"3,69,000",2016,40058,PETROL,"Tathawade, Pune",https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2016-cars-pune-10694510708/,https://fastly-production.24c.in/hello-ar/dev/uploads/a7cf0a5c-6c63-4f70-8de5-38e033cbdb7d/04ecd821-6b4d-424f-ae2c-4af7d0e07a60/45.jpg?w=690&auto=format
