ListingID,CarName,Price,Year,KilometersDriven,FuelType,Location,ListingURL,ImageURL
1,Hyundai Elite i20,"8,60,001",2020,75000,Diesel,"Vijaya Nagar, Bengaluru",https://www.olx.in/item/hyundai-elite-i20-14-sportz-o-crdi-2020-diesel-iid-1747722254,https://apollo-singapore.akamaized.net/v1/files/8udjhbtsj0oq3-IN/image;s=850x0
2,Renault Duster,"8,60,000",2018,34000,Petrol,"Banashankari Stage 2, Bengaluru",https://www.olx.in/item/renault-duster-petrol-rxs-cvt-2018-petrol-iid-1749497803,https://apollo-singapore.akamaized.net/v1/files/fp73gi93fnvc1-IN/image;s=850x0
3,Maruti Suzuki Swift,"2,70,000",2007,42000,Petrol,"Banashankari, Bengaluru",https://www.olx.in/item/maruti-suzuki-swift-2005-2010-13-vxi-2007-petrol-iid-1750172367,https://apollo-singapore.akamaized.net/v1/files/2hnjcyffep3b3-IN/image;s=850x0
4,Mercedes-Benz C-Class,"56,00,000",2022,6000,Diesel,"Kasturba Road, Bengaluru",https://www.olx.in/item/mercedes-benz-new-c-class-2022-diesel-iid-1744908461,https://apollo-singapore.akamaized.net/v1/files/9hrztnb7t8j32-IN/image;s=850x0
5,Ford Ecosport,"4,45,000",2013,38000,Petrol,"Banashankari, Bengaluru",https://www.olx.in/item/ford-ecosport-10-ecoboost-titanium-plus-2013-petrol-iid-1748592483,https://apollo-singapore.akamaized.net/v1/files/x5aixro9qok2-IN/image;s=850x0
6,Volkswagen Polo,"9,75,000",2021,13716,Petrol,"Sadashiva Nagar, Bengaluru",https://www.olx.in/item/volkswagen-polo-10-comfortline-plus-2021-petrol-iid-1750170774,https://apollo-singapore.akamaized.net/v1/files/a3594jhjt48a3-IN/image;s=850x0
7,Honda City,"5,45,000",2014,167000,Diesel,"Banashankari Stage 2, Bengaluru",https://www.olx.in/item/honda-city-2015-2017-i-dtec-sv-2014-diesel-iid-1744323422,https://apollo-singapore.akamaized.net/v1/files/6b0cts4le7y31-IN/image;s=850x0
8,Hyundai Elite i20,"8,10,000",2019,35000,Petrol,"Giri Nagar Phase 1, Bengaluru",https://www.olx.in/item/hyundai-elite-i20-12-asta-o-cvt-2019-petrol-iid-1717993766,https://apollo-singapore.akamaized.net/v1/files/q94wuni3ks241-IN/image;s=850x0
9,Toyota Innova,"5,75,000",2007,214000,Diesel,"Giri Nagar Phase 1, Bengaluru",https://www.olx.in/item/toyota-innova-25-v-8-str-2007-diesel-iid-1715432068,https://apollo-singapore.akamaized.net/v1/files/tert1yppocvt1-IN/image;s=850x0
10,Jeep Compass,"18,50,000",2018,13000,Diesel,"Giri Nagar Phase 1, Bengaluru",https://www.olx.in/item/jeep-compass-20-longitude-2018-diesel-iid-1695838722,https://apollo-singapore.akamaized.net/v1/files/qxhqtt98l9o61-IN/image;s=850x0
11,Tata Nexon,"8,95,000",2021,28665,Petrol,"Richmond Town, Bengaluru",https://www.olx.in/item/tata-nexon-12-revotron-xm-2021-petrol-iid-1748348524,https://apollo-singapore.akamaized.net/v1/files/ead45s0hjxt81-IN/image;s=850x0
12,Hyundai i10,"3,20,000",2011,65000,Petrol,"Banashankari, Bengaluru",https://www.olx.in/item/hyundai-i10-12-kappa-magna-2011-petrol-iid-1729082383,https://apollo-singapore.akamaized.net/v1/files/2lbtjdnsj9bv3-IN/image;s=850x0
13,Mahindra XUV500,"12,25,000",2017,75000,Diesel,"Basaveshvara Nagar, Bengaluru",https://www.olx.in/item/mahindra-xuv500-w10-199-mhawk-2017-diesel-iid-1749296730,https://apollo-singapore.akamaized.net/v1/files/khxrxr7bt1be3-IN/image;s=850x0
14,Maruti Suzuki Ertiga,"7,75,000",2017,70000,Petrol,"Basaveshvara Nagar, Bengaluru",https://www.olx.in/item/maruti-suzuki-ertiga-vxi-shvs-2017-petrol-iid-1749296321,https://apollo-singapore.akamaized.net/v1/files/gcx6jm7qrk3k-IN/image;s=850x0
15,Toyota Innova,"13,25,000",2014,158000,Diesel,"Basaveshvara Nagar, Bengaluru",https://www.olx.in/item/toyota-innova-25-v-7-str-2014-diesel-iid-1749071790,https://apollo-singapore.akamaized.net/v1/files/v9002api5j9n2-IN/image;s=850x0
16,Volkswagen Polo,"7,75,000",2016,77005,Petrol,"Sadashiva Nagar, Bengaluru",https://www.olx.in/item/volkswagen-polo-gt-tsi-2016-petrol-iid-1748708253,https://apollo-singapore.akamaized.net/v1/files/b73snulbay111-IN/image;s=850x0
17,Toyota Urban Cruiser,"11,00,000",2022,8922,Petrol,"Sadashiva Nagar, Bengaluru",https://www.olx.in/item/toyota-urban-cruiser-cruiser-premium-2022-petrol-iid-1748124953,https://apollo-singapore.akamaized.net/v1/files/wcsjio0w1b593-IN/image;s=850x0
18,Honda City,"5,25,000",2011,80454,Petrol,"Sadashiva Nagar, Bengaluru",https://www.olx.in/item/honda-city-v-at-2011-petrol-iid-1744420457,https://apollo-singapore.akamaized.net/v1/files/3ib1669zw8i53-IN/image;s=850x0
19,Mahindra Scorpio,"7,50,000",2013,65258,Diesel,"Sadashiva Nagar, Bengaluru",https://www.olx.in/item/mahindra-scorpio-vlx-bs-iii-2013-diesel-iid-1742900040,https://apollo-singapore.akamaized.net/v1/files/w047zsd5w05v2-IN/image;s=850x0
20,Hyundai Santro Xing,"2,10,000",2007,55000,Petrol,"Banashankari Stage 2, Bengaluru",https://www.olx.in/item/hyundai-santro-xing-xo-2007-petrol-iid-1748352925,https://apollo-singapore.akamaized.net/v1/files/h3m3h50zmv0t1-IN/image;s=850x0
21,Mercedes-Benz C-Class,"56,00,000",2022,1894,Diesel,"Kasturba Road, Bengaluru",https://www.olx.in/item/mercedes-benz-new-c-class-2022-diesel-iid-1744907855,https://apollo-singapore.akamaized.net/v1/files/gzgn1hyrw97r3-IN/image;s=850x0
22,Mercedes-Benz E-Class,"73,25,000",2023,1200,Diesel,"Kasturba Road, Bengaluru",https://www.olx.in/item/mercedes-benz-e-class-exclusive-e-220-d-2023-diesel-iid-1744906663,https://apollo-singapore.akamaized.net/v1/files/b4b8iop9wcb92-IN/image;s=850x0
23,Volkswagen Polo,"4,70,000",2014,59000,Diesel,"Banagiri Nagar, Bengaluru",https://www.olx.in/item/volkswagen-polo-2013-2015-12-mpi-trendline-2014-diesel-iid-1750169958,https://apollo-singapore.akamaized.net/v1/files/9o3ju81804xf-IN/image;s=850x0
24,Maruti Suzuki Eeco,"5,10,000",2021,36000,Petrol,"Basaveshvara Nagar, Bengaluru",https://www.olx.in/item/maruti-suzuki-eeco-5-seater-ac-2021-petrol-iid-1747112690,https://apollo-singapore.akamaized.net/v1/files/dznltymjaina-IN/image;s=850x0
25,Honda City,"9,45,000",2019,56000,Petrol,"Banashankari, Bengaluru",https://www.olx.in/item/honda-city-2014-2015-v-mt-2019-petrol-iid-1746643409,https://apollo-singapore.akamaized.net/v1/files/b2l98syj5x6x2-IN/image;s=850x0
26,Skoda Rapid,"10,85,000",2020,76761,Petrol,"Sadashiva Nagar, Bengaluru",https://www.olx.in/item/skoda-rapid-10-ambition-tsi-2020-petrol-iid-1744547477,https://apollo-singapore.akamaized.net/v1/files/mjxajno0o83j-IN/image;s=850x0
27,Volkswagen Polo,"4,70,000",2014,59000,Diesel,"Banashankari Stage 2, Bengaluru",https://www.olx.in/item/volkswagen-polo-2009-2013-diesel-trendline-12l-2014-diesel-iid-1750168982,https://apollo-singapore.akamaized.net/v1/files/td264c73eb7s1-IN/image;s=850x0
28,Maruti Suzuki Alto-800,"2,50,000",2013,34000,Petrol,"Karanataka bangalore nagarabhavi 2nd stage, Bengaluru",https://www.olx.in/item/maruti-suzuki-alto-800-lxi-anniversary-edition-2013-petrol-iid-1748591824,https://apollo-singapore.akamaized.net/v1/files/btn5b3xmjabu-IN/image;s=850x0
29,Maruti Suzuki Swift,"6,25,000",2018,69000,Petrol,"Banashankari Stage 2, Bengaluru",https://www.olx.in/item/maruti-suzuki-swift-vxi-manual-2018-petrol-iid-1742067900,https://apollo-singapore.akamaized.net/v1/files/585gcsbhw1pa3-IN/image;s=850x0
30,Hyundai i20,"3,35,000",2009,78000,Petrol,"Banashankari Stage 2, Bengaluru",https://www.olx.in/item/hyundai-i20-2009-2011-magna-2009-petrol-iid-1726918852,https://apollo-singapore.akamaized.net/v1/files/fvw8w6h3w38k1-IN/image;s=850x0
31,Mahindra XUV500,"9,00,000",2014,90000,Diesel,"Giri Nagar Phase 1, Bengaluru",https://www.olx.in/item/mahindra-xuv500-w8-2014-diesel-iid-1737316985,https://apollo-singapore.akamaized.net/v1/files/n0ufp37jlack1-IN/image;s=850x0
