ListingID,CarName,Price,Year,KilometersDriven,FuelType,Location,ListingURL,ImageURL
1,Toyota Fortuner,"12,50,000",2014,145000,Diesel,"Pitampura, Delhi",https://www.olx.in/item/toyota-fortuner-30-4x4-manual-2014-diesel-iid-1748035073,https://apollo-singapore.akamaized.net/v1/files/2rt682edrgbx-IN/image;s=850x0
2,MG Hector,"16,50,000",2021,35000,Petrol,"Pitampura, Delhi",https://www.olx.in/item/mg-hector-sharp-at-2021-petrol-iid-1749720776,https://apollo-singapore.akamaized.net/v1/files/5fxbhgobxpbs2-IN/image;s=850x0
3,Honda Amaze,"4,30,000",2015,65000,Petrol,"MBS Nagar, Delhi",https://www.olx.in/item/honda-amaze-sx-i-vtec-2015-petrol-iid-1747471087,https://apollo-singapore.akamaized.net/v1/files/7z4w65ny2wkc-IN/image;s=850x0
4,BMW X1,"30,25,000",2019,33000,Diesel,"Punjabi Bagh West, Delhi",https://www.olx.in/item/bmw-x1-sdrive-20d-xline-2019-diesel-iid-1750076919,https://apollo-singapore.akamaized.net/v1/files/bq3jie8qua4l3-IN/image;s=850x0
5,Audi Q3,"9,75,000",2014,65000,Diesel,"Pushpanjali Enclave, Delhi",https://www.olx.in/item/audi-q3-20-tdi-quattro-2014-diesel-iid-1750076796,https://apollo-singapore.akamaized.net/v1/files/svi5v9bmw5qz1-IN/image;s=850x0
6,Hyundai Creta,"9,25,000",2017,40000,Petrol,"Paschim Vihar, Delhi",https://www.olx.in/item/hyundai-creta-16-vtvt-at-sx-plus-2017-petrol-iid-1750076760,https://apollo-singapore.akamaized.net/v1/files/xw2x4ktcoprz-IN/image;s=850x0
7,Maruti Suzuki Swift,"5,39,000",2020,60000,Petrol,"Saraswati Vihar, Delhi",https://www.olx.in/item/maruti-suzuki-swift-lxi-option-2020-petrol-iid-1749496533,https://apollo-singapore.akamaized.net/v1/files/5el6ct9cujbg-IN/image;s=850x0
8,Maruti Suzuki Swift,"3,89,000",2014,64000,Petrol,"Rohini Institutional Area, Delhi",https://www.olx.in/item/maruti-suzuki-swift-vvt-zxi-plus-2014-petrol-iid-1749527563,https://apollo-singapore.akamaized.net/v1/files/69cqjuo4qg1e-IN/image;s=850x0
9,Maruti Suzuki Swift-Dzire,"3,65,000",2013,67000,Petro..,"Rohini Avantika, Delhi",https://www.olx.in/item/maruti-suzuki-swift-dzire-12-vxi-regal-limited-edition-2013-petro-iid-1749546567,https://apollo-singapore.akamaized.net/v1/files/rvr1mkmctjuv-IN/image;s=850x0
10,Maruti Suzuki Ciaz,"5,50,000",2017,86000,Diesel,"Paschim Vihar, Delhi",https://www.olx.in/item/maruti-suzuki-ciaz-smart-hybrid-delta-2017-diesel-iid-1748978608,https://apollo-singapore.akamaized.net/v1/files/uhzkhhhuuk6p3-IN/image;s=850x0
