ListingID,CarName,Price,Year,KilometersDriven,FuelType,Location,ListingURL,ImageURL
1,Audi A4,"42,00,000",2022,13000,Petrol,"Venktagiri Nagar, Hyderabad",https://www.olx.in/item/audi-a4-20-premium-plus-40-tfsi-2022-petrol-iid-1741869954,https://apollo-singapore.akamaized.net/v1/files/6rcwurnrq5xv3-IN/image;s=850x0
2,Hyundai i20,"5,45,000",2015,76000,Diesel,"Begumpet, Secunderabad",https://www.olx.in/item/hyundai-i20-14-magna-executive-2015-diesel-iid-1748101176,https://apollo-singapore.akamaized.net/v1/files/u8m0eq28zcu3-IN/image;s=850x0
3,Honda City,"7,35,000",2017,53789,Petrol,"Madhapur, Hyderabad",https://www.olx.in/item/honda-city-2015-2017-i-vtec-v-2017-petrol-iid-1749034725,https://apollo-singapore.akamaized.net/v1/files/uclnysag5lbq2-IN/image;s=850x0
4,Maruti Suzuki Alto-800,"2,65,000",2015,55000,Petrol,"Balkampet, Hyderabad",https://www.olx.in/item/maruti-suzuki-alto-800-2012-2016-lxi-2015-petrol-iid-1749066101,https://apollo-singapore.akamaized.net/v1/files/pdewptlkx818-IN/image;s=850x0
5,Kia Seltos,"9,90,000",2021,44972,Petrol,"Kukatpally, Hyderabad",https://www.olx.in/item/kia-seltos-htk-g-2021-petrol-iid-1748002991,https://apollo-singapore.akamaized.net/v1/files/bhpyz2glpgmh1-IN/image;s=850x0
6,Maruti Suzuki Swift,"5,45,000",2018,49824,Petrol,"Kukatpally, Hyderabad",https://www.olx.in/item/maruti-suzuki-swift-vxi-abs-bsiv-2018-petrol-iid-1747266309,https://apollo-singapore.akamaized.net/v1/files/mobgg31g54nm1-IN/image;s=850x0
7,Hyundai Elite i20,"9,25,000",2022,5600,Diesel,"Kukatpally, Hyderabad",https://www.olx.in/item/hyundai-elite-i20-14-sportz-o-crdi-2022-diesel-iid-1747263780,https://apollo-singapore.akamaized.net/v1/files/ox5gbc2isyto-IN/image;s=850x0
8,Maruti Suzuki Vitara-Brezza,"7,95,000",2020,12337,Petrol,"Kukatpally, Hyderabad",https://www.olx.in/item/maruti-suzuki-vitara-brezza-zxi-2020-petrol-iid-1742218488,https://apollo-singapore.akamaized.net/v1/files/bv3ybnweudv13-IN/image;s=850x0
9,Ford Ecosport,"5,25,000",2016,106000,Diesel,"Balkampet, Hyderabad",https://www.olx.in/item/ford-ecosport-15-tdci-trend-2016-diesel-iid-1745723372,https://apollo-singapore.akamaized.net/v1/files/7fxufr33yljn-IN/image;s=850x0
10,Maruti Suzuki Ciaz,"8,25,000",2019,89000,Diesel,"Balkampet, Hyderabad",https://www.olx.in/item/maruti-suzuki-ciaz-delta-15-2019-diesel-iid-1745722474,https://apollo-singapore.akamaized.net/v1/files/35aertoptya03-IN/image;s=850x0
11,Maruti Suzuki Wagon-R-1-0,"2,95,000",2012,75000,CNG & Hybrids,"Balkampet, Hyderabad",https://www.olx.in/item/maruti-suzuki-wagon-r-10-2010-2013-lxi-cng-2012-cng-hybrids-iid-1741825064,https://apollo-singapore.akamaized.net/v1/files/idx78fnarilc-IN/image;s=850x0
12,Maruti Suzuki Swift,"4,85,000",2014,68000,Diesel,"Balkampet, Hyderabad",https://www.olx.in/item/maruti-suzuki-swift-2011-2014-vdi-2014-diesel-iid-1741421616,https://apollo-singapore.akamaized.net/v1/files/deyfaytfvaqt1-IN/image;s=850x0
