ListingID,CarName,Price,Year,KilometersDriven,FuelType,Location,ListingURL,ImageURL
1,Mercedes-Benz C-Class,"22,51,111",2015,62000,Diesel,Bandra West,https://www.olx.in/item/mercedes-benz-c-class-20-220d-2015-diesel-iid-1748434328,https://apollo-singapore.akamaized.net/v1/files/7h8syfl9getl3-IN/image;s=850x0
2,Mercedes-Benz E-Class,"15,50,000",2014,72000,Diesel,Bandra West,https://www.olx.in/item/mercedes-benz-e-class-e-250-cdi-avantgarde-2014-diesel-iid-1746698894,https://apollo-singapore.akamaized.net/v1/files/j6g541fcsfcs-IN/image;s=850x0
3,Audi Q7,"39,99,999",2016,66000,Diesel,Bandra West,https://www.olx.in/item/audi-q7-30-45-tdi-technology-pack-2016-diesel-iid-1748591242,https://apollo-singapore.akamaized.net/v1/files/l1is4so3o10h3-IN/image;s=850x0
4,Hyundai i10,"2,99,000",2013,12000,Petrol,Mahim,https://www.olx.in/item/hyundai-i10-sportz-2013-petrol-iid-1750068651,https://apollo-singapore.akamaized.net/v1/files/gh3nwyfoyd6b1-IN/image;s=850x0
5,Kia Seltos,"15,35,000",2019,47425,Diesel,Chembur,https://www.olx.in/item/kia-seltos-htx-plus-at-d-2019-diesel-iid-1750068450,https://apollo-singapore.akamaized.net/v1/files/hn3ebco31dkv1-IN/image;s=850x0
6,Maruti Suzuki Ertiga,"6,75,000",2015,51000,Petrol,Mahim,https://www.olx.in/item/maruti-suzuki-ertiga-vxi-cng-2015-petrol-iid-1750068049,https://apollo-singapore.akamaized.net/v1/files/wy0we2gl796q-IN/image;s=850x0
7,Tata EV,"12,95,000",2021,31000,Electric,Chembur,https://www.olx.in/item/tata-nexon-ev-xz-plus-2021-electric-iid-1749056118,https://apollo-singapore.akamaized.net/v1/files/xewqnirvh0r03-IN/image;s=850x0
8,Maruti Suzuki Swift,"3,78,000",2012,80000,Diesel,Chembur,https://www.olx.in/item/maruti-suzuki-swift-ddis-vdi-2012-diesel-iid-1744456637,https://apollo-singapore.akamaized.net/v1/files/98gpunoch6ls2-IN/image;s=850x0
9,Hyundai Verna,"4,60,000",2013,64000,Diesel,Chembur,https://www.olx.in/item/hyundai-verna-ex-16-at-crdi-2013-diesel-iid-1744454309,https://apollo-singapore.akamaized.net/v1/files/xou7hsi3111u3-IN/image;s=850x0
10,BMW 3 Series,"15,55,000",2015,77000,Diesel,Bandra West,https://www.olx.in/item/bmw-3-series-20-320d-m-sport-2015-diesel-iid-1748969003,https://apollo-singapore.akamaized.net/v1/files/fz4ptmgndkgh1-IN/image;s=850x0
11,Maruti Suzuki Wagon-R-1-0,"4,15,000",2017,68000,CNG & Hybrids,Chembur,https://www.olx.in/item/maruti-suzuki-wagon-r-10-lxi-cng-2017-cng-hybrids-iid-1744584853,https://apollo-singapore.akamaized.net/v1/files/3huszkwiuyrb3-IN/image;s=850x0
12,BMW X1,"6,11,000",2012,123000,Diesel,Chembur,https://www.olx.in/item/bmw-x1-2010-2012-sdrive20d-2012-diesel-iid-1744578171,https://apollo-singapore.akamaized.net/v1/files/gd7xwwgfdmga3-IN/image;s=850x0
13,Mitsubishi Pajero Sport,"11,85,000",2016,80000,Diesel,Chembur,https://www.olx.in/item/mitsubishi-pajero-sport-4x2-automatic-2016-diesel-iid-1744576385,https://apollo-singapore.akamaized.net/v1/files/i2nelfdgtwzv2-IN/image;s=850x0
14,Hyundai Creta,"8,80,000",2015,76000,Diesel,Chembur,https://www.olx.in/item/hyundai-creta-16-crdi-sx-plus-at-2015-diesel-iid-1744547903,https://apollo-singapore.akamaized.net/v1/files/orjjeu0qgoth1-IN/image;s=850x0
15,Maruti Suzuki Swift,"3,68,000",2012,62000,Petrol,Chembur,https://www.olx.in/item/maruti-suzuki-swift-vvt-zxi-2012-petrol-iid-1744531304,https://apollo-singapore.akamaized.net/v1/files/rxq5n2516lln3-IN/image;s=850x0
16,Maruti Suzuki Baleno,"5,60,000",2017,58000,Petrol,Chembur,https://www.olx.in/item/maruti-suzuki-baleno-zeta-2017-petrol-iid-1744530368,https://apollo-singapore.akamaized.net/v1/files/grsds43qg3yz-IN/image;s=850x0
17,BMW 7 Series,"21,85,000",2013,45000,Diesel,Chembur,https://www.olx.in/item/bmw-7-series-730ld-signature-2013-diesel-iid-1744496674,https://apollo-singapore.akamaized.net/v1/files/2033bw8ymvwq3-IN/image;s=850x0
18,Hyundai Creta,"9,45,000",2017,68000,Petrol,Chembur,https://www.olx.in/item/hyundai-creta-16-vtvt-at-sx-plus-2017-petrol-iid-1744466940,https://apollo-singapore.akamaized.net/v1/files/wgymgu9r10e22-IN/image;s=850x0
19,Jeep Compass,"25,00,000",2021,21000,Diesel,Matunga Road,https://www.olx.in/item/jeep-compass-s-4x4-2021-diesel-iid-1749422955,https://apollo-singapore.akamaized.net/v1/files/r1misq8o5jad2-IN/image;s=850x0
20,Toyota Innova,"8,75,000",2015,118367,Diesel,Sion West,https://www.olx.in/item/toyota-innova-25-g-diesel-8-seater-2015-diesel-iid-1743652129,https://apollo-singapore.akamaized.net/v1/files/r78oqfjay1253-IN/image;s=850x0
21,Land Rover Range Rover Evoque,"39,49,999",2017,55830,Diesel,Bandra West,https://www.olx.in/item/land-rover-range-evoque-hse-2017-diesel-iid-1748599203,https://apollo-singapore.akamaized.net/v1/files/qlb033jwkwgk3-IN/image;s=850x0
22,Toyota Yaris,"6,99,999",2018,82000,Petrol,Chembur,https://www.olx.in/item/toyota-yaris-j-cvt-2018-petrol-iid-1741750650,https://apollo-singapore.akamaized.net/v1/files/6ghr73oz2y3p-IN/image;s=850x0
23,Honda City,"6,50,000",2015,78583,CNG & Hybrids,Sion West,https://www.olx.in/item/honda-city-v-at-sunroof-i-vtec-2015-cng-hybrids-iid-1740215694,https://apollo-singapore.akamaized.net/v1/files/nn3irywh71e83-IN/image;s=850x0
24,Land Rover Discovery,"44,99,999",2019,27700,Diesel,Bandra West,https://www.olx.in/item/land-rover-discovery-hse-30-td6-2019-diesel-iid-1743115060,https://apollo-singapore.akamaized.net/v1/files/irahifgihq1t2-IN/image;s=850x0
25,Toyota Fortuner,"32,99,000",2017,57708,Diesel,Kurla West,https://www.olx.in/item/toyota-fortuner-28-2wd-at-2017-diesel-iid-1748244341,https://apollo-singapore.akamaized.net/v1/files/pficlwma15j21-IN/image;s=850x0
26,Hyundai Verna,"8,00,000",2017,23000,Petrol,Santacruz East,https://www.olx.in/item/hyundai-verna-ex-16-vtvt-at-2017-petrol-iid-1743651650,https://apollo-singapore.akamaized.net/v1/files/8r818a73xlg62-IN/image;s=850x0
27,Mahindra TUV,"6,25,000",2016,70000,Diesel,Bandra West,https://www.olx.in/item/mahindra-tuv-300-mhawk100-t8-dual-tone-2016-diesel-iid-1747250024,https://apollo-singapore.akamaized.net/v1/files/khyn0rbiz2rt3-IN/image;s=850x0
28,Honda City,"8,25,000",2017,55000,Diesel,Santacruz West,https://www.olx.in/item/honda-city-15-vx-i-dtec-mt-2017-diesel-iid-1748984477,https://apollo-singapore.akamaized.net/v1/files/4s94xenlgipn-IN/image;s=850x0
29,Maruti Suzuki Wagon-R,"1,10,000",2008,55000,Petrol,Kurla West,https://www.olx.in/item/maruti-suzuki-wagon-r-vxi-2008-petrol-iid-1730896548,https://apollo-singapore.akamaized.net/v1/files/8tcwcge5835i2-IN/image;s=850x0
30,Mercedes-Benz B Class,"8,25,000",2015,74000,Diesel,Bandra West,https://www.olx.in/item/mercedes-benz-b-class-b180-cdi-2015-diesel-iid-1748966899,https://apollo-singapore.akamaized.net/v1/files/ufku7xy7vg4w-IN/image;s=850x0
31,Ford Fiesta,"1,25,000",2007,117000,Petrol,Vile Parle East,https://www.olx.in/item/ford-fiesta-16-sxi-abs-2007-petrol-iid-1747714495,https://apollo-singapore.akamaized.net/v1/files/kuvn17lf2g73-IN/image;s=850x0
32,Tata Tiago,"4,75,000",2018,31800,Petrol,Vile Parle East,https://www.olx.in/item/tata-tiago-12-revotron-xza-2018-petrol-iid-1747017765,https://apollo-singapore.akamaized.net/v1/files/j98e5ce54d511-IN/image;s=850x0
33,Maruti Suzuki Wagon-R,"5,95,000",2021,29000,CNG & Hybrids,Sion East,https://www.olx.in/item/maruti-suzuki-wagon-r-lxi-cng-optional-2021-cng-hybrids-iid-1744224642,https://apollo-singapore.akamaized.net/v1/files/5u0jvuewaubd1-IN/image;s=850x0
34,Maruti Suzuki Swift,"3,75,000",2012,82086,Petrol,Sion West,https://www.olx.in/item/maruti-suzuki-swift-vxi-2012-petrol-iid-1737856699,https://apollo-singapore.akamaized.net/v1/files/io3llh3yrdl72-IN/image;s=850x0
