ListingID,CarName,Price,Year,KilometersDriven,FuelType,Location,ListingURL,ImageURL
1,Maruti Suzuki Baleno,"7,90,000",2021,15000,Petrol,"Pune Vidyapith, Pune",https://www.olx.in/item/maruti-suzuki-baleno-zeta-cvt-2021-petrol-iid-1746850466,https://apollo-singapore.akamaized.net/v1/files/k4k0iv6urx0l2-IN/image;s=850x0
2,Nissan Micra,"2,77,000",2012,87000,Diesel,"Pune Cantonment, Pune",https://www.olx.in/item/nissan-micra-xv-d-2012-diesel-iid-1745280346,https://apollo-singapore.akamaized.net/v1/files/eamq10pejln82-IN/image;s=850x0
3,Audi A6,"12,99,000",2014,98000,Diesel,"Pune Vidyapith, Pune",https://www.olx.in/item/audi-a6-20-tdi-premium-2014-diesel-iid-1749284083,https://apollo-singapore.akamaized.net/v1/files/n932apwe2j8q-IN/image;s=850x0
4,Maruti Suzuki Wagon-R-1-0,"3,35,000",2013,78000,CNG & Hybrids,"Gultekadi, Pune",https://www.olx.in/item/maruti-suzuki-wagon-r-10-lxi-cng-2013-cng-hybrids-iid-1750096255,https://apollo-singapore.akamaized.net/v1/files/2kf67f7qkhph1-IN/image;s=850x0
5,Kia Sonet,"11,25,000",2021,25000,Diesel,"Shivaji Nagar, Pune",https://www.olx.in/item/kia-sonet-15-gtx-plus-diesel-2021-diesel-iid-1749553814,https://apollo-singapore.akamaized.net/v1/files/2cq393zm2vg81-IN/image;s=850x0
6,Kia Sonet,"11,25,000",2021,25000,Diesel,"Pune Vidyapith, Pune",https://www.olx.in/item/kia-sonet-15-gtx-plus-diesel-2021-diesel-iid-1749553619,https://apollo-singapore.akamaized.net/v1/files/vu69gvd2ii6k-IN/image;s=850x0
7,Honda City,"6,15,000",2016,74000,Diesel,"Shivaji Nagar, Pune",https://www.olx.in/item/honda-city-2014-2015-i-dtec-v-2016-diesel-iid-1750095815,https://apollo-singapore.akamaized.net/v1/files/8wdwuxsa0p2b-IN/image;s=850x0
8,Maruti Suzuki Celerio,"4,50,000",2016,45000,Petrol,"Central Street Camp, Pune",https://www.olx.in/item/maruti-suzuki-celerio-10-zxi-amt-2016-petrol-iid-1748961709,https://apollo-singapore.akamaized.net/v1/files/u885ziav7bhd1-IN/image;s=850x0
9,Hyundai Grand i10,"3,99,000",2014,101000,Petrol,"Central Street Camp, Pune",https://www.olx.in/item/hyundai-grand-i10-asta-12-kappa-vtvt-o-2014-petrol-iid-1749051852,https://apollo-singapore.akamaized.net/v1/files/aq4rbnqklevs2-IN/image;s=850x0
10,Ford Ecosport,"3,75,000",2013,45000,Petrol,"Central Street Camp, Pune",https://www.olx.in/item/ford-ecosport-2013-2015-10-ecoboost-titanium-2013-petrol-iid-1749698525,https://apollo-singapore.akamaized.net/v1/files/jtaf7fpolp5p3-IN/image;s=850x0
11,Maruti Suzuki Vitara-Brezza,"8,51,000",2017,83000,Diesel,"Central Street Camp, Pune",https://www.olx.in/item/maruti-suzuki-vitara-brezza-zdi-plus-2017-diesel-iid-1749893751,https://apollo-singapore.akamaized.net/v1/files/f7hef3zxikpw-IN/image;s=850x0
12,Maruti Suzuki Ertiga,"6,75,000",2015,115000,CNG & Hy..,"Khadki, Pune",https://www.olx.in/item/maruti-suzuki-ertiga-14-vxi-cng-anniversary-edition-2015-cng-hy-iid-1749222874,https://apollo-singapore.akamaized.net/v1/files/9fmhipq3olyf1-IN/image;s=850x0
13,Hyundai i10,"3,45,000",2012,89000,CNG & Hybrids,"Khadki, Pune",https://www.olx.in/item/hyundai-i10-asta-12-at-kappa2-with-sunroof-2012-cng-hybrids-iid-1749220822,https://apollo-singapore.akamaized.net/v1/files/t7xr5rio66e3-IN/image;s=850x0
14,Hyundai Aura,"1,70,000",2023,1234,CNG & Hybrids,"Khadki, Pune",https://www.olx.in/item/hyundai-aura-12-s-cng-2023-cng-hybrids-iid-1745984105,https://apollo-singapore.akamaized.net/v1/files/mz4quc4vr7xk2-IN/image;s=850x0
15,Maruti Suzuki Wagon-R,"1,45,000",2023,1234,CNG & Hybrids,"Cantonment Residential Area, Pune",https://www.olx.in/item/maruti-suzuki-wagon-r-lxi-cng-2023-cng-hybrids-iid-1735618292,https://apollo-singapore.akamaized.net/v1/files/8n5kojf4e2r12-IN/image;s=850x0
16,Ford Figo,"5,25,000",2018,89000,Diesel,"Swargate, Pune",https://www.olx.in/item/ford-figo-15d-titanium-mt-2018-diesel-iid-1748510936,https://apollo-singapore.akamaized.net/v1/files/htd75cwwgtj41-IN/image;s=850x0
17,Mercedes-Benz GLS,"71,50,000",2019,56000,Diesel,"Pune Cantonment, Pune",https://www.olx.in/item/mercedes-benz-gls-350-d-2019-diesel-iid-1750087879,https://apollo-singapore.akamaized.net/v1/files/712pc7mekqeo3-IN/image;s=850x0
18,Hyundai Grand i10,"2,85,000",2013,66037,CNG & Hybrids,"Pune Vidyapith, Pune",https://www.olx.in/item/hyundai-grand-i10-2013-2016-magna-2013-cng-hybrids-iid-1749544803,https://apollo-singapore.akamaized.net/v1/files/vp12xlunc7j22-IN/image;s=850x0
19,Maruti Suzuki Swift-Dzire,"6,99,000",2017,61000,Diesel,"Shivaji Nagar, Pune",https://www.olx.in/item/maruti-suzuki-swift-dzire-2015-2017-vdi-abs-2017-diesel-iid-1748505253,https://apollo-singapore.akamaized.net/v1/files/kd1zyvo7xixs-IN/image;s=850x0
20,Maruti Suzuki Celerio,"4,85,000",2018,31000,Petrol,"Vishrant Wadi, Pune",https://www.olx.in/item/maruti-suzuki-celerio-zxi-amt-2018-petrol-iid-1748986750,https://apollo-singapore.akamaized.net/v1/files/p0qia6shj4qj2-IN/image;s=850x0
21,Toyota Innova Crysta,"21,50,000",2018,84000,Diesel,"Koregaon park, Pune",https://www.olx.in/item/toyota-innova-crysta-28z-automatic-2018-diesel-iid-1742674346,https://apollo-singapore.akamaized.net/v1/files/lqunflea1m453-IN/image;s=850x0
22,MG Hector,"18,49,000",2021,66000,Diesel,"Swargate, Pune",https://www.olx.in/item/mg-hector-sharp-diesel-manual-2021-diesel-iid-1748004830,https://apollo-singapore.akamaized.net/v1/files/c02n4zcxu50e-IN/image;s=850x0
23,Hyundai i10,"1,85,000",2009,55000,Petrol,"Sopan Baug, Pune",https://www.olx.in/item/hyundai-i10-12-kappa-magna-2009-petrol-iid-1749478122,https://apollo-singapore.akamaized.net/v1/files/42f5w5qgy5im-IN/image;s=850x0
