ListingID,CarName,Price,Year,KilometersDriven,FuelType,Location,ListingURL,ImageURL
1,Hyundai Grand i10 Asta AT 1.2 Kappa VTVT,5.87 Lakh,2015,11000,Petrol,"Spinny Hub, Mantri Mall, Bangalore",https://www.spinny.com/buy-used-cars/bangalore/hyundai/grand-i10/asta-at-12-kappa-vtvt-malleshwaram-2015/11021811/?referrer=/used-cars-in-bangalore/s/,https://spn-mda.spinny.com/img/cRXuFtjkQR6ZpFTNHGDypg/tab/file.JPG?w=300&dpr=1.0
2,Hyundai Xcent SX AT (O) Petrol,5.18 Lakh,2014,56000,Petrol,"Spinny Park, Yelahanka, Bangalore",https://www.spinny.com/buy-used-cars/bangalore/hyundai/xcent/sx-at-o-petrol-yelahanka-2014/11090069/?referrer=/used-cars-in-bangalore/s/,https://spn-mda.spinny.com/img/LJ0dJEfgR9OAxkBLG80TWg/tab/file.JPG?w=300&dpr=1.0
3,Hyundai i20 Asta 1.4 CRDI,5.32 Lakh,2013,84000,Diesel,"Spinny Park, Yelahanka, Bangalore",https://www.spinny.com/buy-used-cars/bangalore/hyundai/i20/asta-14-crdi-yelahanka-2013/10603325/?referrer=/used-cars-in-bangalore/s/,https://spn-mda.spinny.com/img/WMIQ85qSR1%2BCPivZFql91A/tab/file.JPG?w=300&dpr=1.0
4,Hyundai Grand i10 Sportz 1.2 Kappa VTVT,5.40 Lakh,2016,33000,Petrol,"Spinny Hub, Mantri Mall, Bangalore",https://www.spinny.com/buy-used-cars/bangalore/hyundai/grand-i10/sportz-12-kappa-vtvt-malleshwaram-2016/11163959/?referrer=/used-cars-in-bangalore/s/,https://spn-mda.spinny.com/img/EzLo4hKoS%2ByVkV1C71RjAQ/tab/file.JPG?w=300&dpr=1.0
5,Hyundai Creta 1.6 SX AT VTVT,12.45 Lakh,2019,14000,Petrol,"Spinny Park, Yelahanka, Bangalore",https://www.spinny.com/buy-used-cars/bangalore/hyundai/creta/16-sx-at-vtvt-yelahanka-2019/11137933/?referrer=/used-cars-in-bangalore/s/,https://spn-mda.spinny.com/img/1TMxkJWtTmSgphM3vixfog/tab/file.JPG?w=300&dpr=1.0
6,Kia Sonet HTK Plus 1.0 iMT,9.99 Lakh,2021,25000,Petrol,"Spinny Park, Yelahanka, Bangalore",https://www.spinny.com/buy-used-cars/bangalore/kia/sonet/htk-plus-10-imt-yelahanka-2021/10735015/?referrer=/used-cars-in-bangalore/s/,https://spn-mda.spinny.com/img/RwzH1_DNTuil8IEZx_wtYQ/tab/file.JPG?w=300&dpr=1.0
7,Hyundai i10 Magna Petrol,4.15 Lakh,2016,70000,Petrol,"Spinny Hub, Mantri Mall, Bangalore",https://www.spinny.com/buy-used-cars/bangalore/hyundai/i10/magna-petrol-malleshwaram-2016/11129543/?referrer=/used-cars-in-bangalore/s/,https://spn-mda.spinny.com/img/8cIw3NSQQ3KTD7KMGRrDkA/tab/file.JPG?w=300&dpr=1.0
8,Ford EcoSport Titanium 1.5L Ti-VCT,9.70 Lakh,2020,20000,Petrol,"Spinny Hub, Mantri Mall, Bangalore",https://www.spinny.com/buy-used-cars/bangalore/ford/ecosport/titanium-15l-ti-vct-malleshwaram-2020/10940496/?referrer=/used-cars-in-bangalore/s/,https://spn-mda.spinny.com/img/iU_1rrqsSzONS%2BrcqtmomQ/tab/file.JPG?w=300&dpr=1.0
9,Renault Triber RXZ AMT,8.59 Lakh,2022,12000,Petrol,"Spinny Hub, Bangalore Vega Mall",https://www.spinny.com/buy-used-cars/bangalore/renault/triber/rxz-amt-btm-layout-2022/10845905/?referrer=/used-cars-in-bangalore/s/,https://spn-mda.spinny.com/img/iQUeI0APS5ivQd7F4X1UNA/tab/file.JPG?w=300&dpr=1.0
10,Honda Brio VX MT,4.15 Lakh,2014,45000,Petrol,"Spinny Hub, Mantri Mall, Bangalore",https://www.spinny.com/buy-used-cars/bangalore/honda/brio/vx-mt-malleshwaram-2014/10882249/?referrer=/used-cars-in-bangalore/s/,https://spn-mda.spinny.com/img/N2PVAHXyQ1Sl6I5d7T%2BGMQ/tab/file.JPG?w=300&dpr=1.0
