ListingID,CarName,Price,Year,KilometersDriven,FuelType,Location,ListingURL,ImageURL
1,Maruti Suzuki Baleno Alpha Petrol,5.76 Lakh,2016,46000,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri",https://www.spinny.com/buy-used-cars/delhi/maruti-suzuki/baleno/alpha-petrol-rajouri-garden-2016/10614977/?referrer=/used-cars-in-delhi/s/,https://spn-mda.spinny.com/img/LupEGi3ITeyBCKvZ1lZ2dQ/tab/file.JPG?w=300&dpr=1.0
2,Maruti Suzuki Baleno Delta Petrol,6.53 Lakh,2021,26000,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri",https://www.spinny.com/buy-used-cars/delhi/maruti-suzuki/baleno/delta-petrol-rajouri-garden-2021/11037660/?referrer=/used-cars-in-delhi/s/,https://spn-mda.spinny.com/img/fw0g1xaOR2O_oRSNg03d2A/tab/file.JPG?w=300&dpr=1.0
3,Hyundai i10 Magna 1.2 Petrol,2.39 Lakh,2012,46000,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri",https://www.spinny.com/buy-used-cars/delhi/hyundai/i10/magna-12-petrol-rajouri-garden-2012/10258849/?referrer=/used-cars-in-delhi/s/,https://spn-mda.spinny.com/img/H0HoAlJqQDquqyGaBbtkCw/tab/file.JPG?w=300&dpr=1.0
4,Maruti Suzuki Celerio ZXI,3.32 Lakh,2015,76000,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi",https://www.spinny.com/buy-used-cars/delhi/maruti-suzuki/celerio/zxi-dwarka-sector-21-2015/10671310/?referrer=/used-cars-in-delhi/s/,https://spn-mda.spinny.com/img/ouHcWJiNRiu%2BEEA5MygNFQ/tab/file.JPG?w=300&dpr=1.0
5,Hyundai Grand i10 Sportz (O) 1.2 kappa VTVT,4.63 Lakh,2017,72000,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri",https://www.spinny.com/buy-used-cars/delhi/hyundai/grand-i10/sportz-o-12-kappa-vtvt-rajouri-garden-2017/10434941/?referrer=/used-cars-in-delhi/s/,https://spn-mda.spinny.com/img/NjV0jHUlQsSkIku8jHprDw/tab/file.JPG?w=300&dpr=1.0
6,Maruti Suzuki S-Cross Alpha 1.3,4.84 Lakh,2016,117000,Diesel,"Spinny Hub, Rcube Monad Mall, Rajouri",https://www.spinny.com/buy-used-cars/delhi/maruti-suzuki/s-cross/alpha-13-rajouri-garden-2016/3418704/?referrer=/used-cars-in-delhi/s/,https://spn-mda.spinny.com/img/W1dD3coET9WLhkxPBcUfMA/tab/file?w=300&dpr=1.0
7,Hyundai i10 Magna 1.1 Petrol,1.89 Lakh,2010,70000,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri",https://www.spinny.com/buy-used-cars/delhi/hyundai/i10/magna-11-petrol-rajouri-garden-2010/10585943/?referrer=/used-cars-in-delhi/s/,https://spn-mda.spinny.com/img/SE9jKBidQ9WcxVIMSO1zWA/tab/file.JPG?w=300&dpr=1.0
8,Hyundai i10 Asta Petrol,2.41 Lakh,2012,40000,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi",https://www.spinny.com/buy-used-cars/delhi/hyundai/i10/asta-petrol-dwarka-sector-21-2012/10241855/?referrer=/used-cars-in-delhi/s/,https://spn-mda.spinny.com/img/jbw9HCK%2BRfuXfYplt7L5oQ/tab/file.JPG?w=300&dpr=1.0
9,Ford Figo Duratec Petrol ZXI 1.2,2.39 Lakh,2012,45000,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri",https://www.spinny.com/buy-used-cars/delhi/ford/figo/duratec-petrol-zxi-12-rajouri-garden-2012/10398541/?referrer=/used-cars-in-delhi/s/,https://spn-mda.spinny.com/img/EMKnBhimSt6LT2aZeAtDTg/tab/file.JPG?w=300&dpr=1.0
10,Toyota Etios G,2.59 Lakh,2011,45000,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri",https://www.spinny.com/buy-used-cars/delhi/toyota/etios/g-rajouri-garden-2011/10372036/?referrer=/used-cars-in-delhi/s/,https://spn-mda.spinny.com/img/eC6uohWUTHSMtyXXrt457Q/tab/file.JPG?w=300&dpr=1.0
11,Kia Sonet HTX 1.0 iMT,10.52 Lakh,2021,17000,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi",https://www.spinny.com/buy-used-cars/delhi/kia/sonet/htx-10-imt-dwarka-sector-21-2021/10685022/?referrer=/used-cars-in-delhi/s/,https://spn-mda.spinny.com/img/EmVE_iGpQpuuYV5ryiA%2BnA/tab/file.JPG?w=300&dpr=1.0
12,Maruti Suzuki Baleno Alpha Petrol,6.53 Lakh,2018,52000,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi",https://www.spinny.com/buy-used-cars/delhi/maruti-suzuki/baleno/alpha-petrol-dwarka-sector-21-2018/10532271/?referrer=/used-cars-in-delhi/s/,https://spn-mda.spinny.com/img/Q1trRnBbRgCcILgkXCb8IA/tab/file.JPG?w=300&dpr=1.0
13,Hyundai Venue S 1.2,8.09 Lakh,2021,8000,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi",https://www.spinny.com/buy-used-cars/delhi/hyundai/venue/s-12-dwarka-sector-21-2021/11033643/?referrer=/used-cars-in-delhi/s/,https://spn-mda.spinny.com/img/MN0T1cZxQjWhaZbXcpTrIg/tab/file.JPG?w=300&dpr=1.0
14,Ford EcoSport Titanium 1.5L Ti-VCT,7.27 Lakh,2019,61000,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri",https://www.spinny.com/buy-used-cars/delhi/ford/ecosport/titanium-15l-ti-vct-rajouri-garden-2019/10611265/?referrer=/used-cars-in-delhi/s/,https://spn-mda.spinny.com/img/IIzYYd2ARxuJCKM5JziWzg/tab/file.JPG?w=300&dpr=1.0
15,Maruti Suzuki Baleno Alpha Petrol,6.94 Lakh,2019,29000,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri",https://www.spinny.com/buy-used-cars/delhi/maruti-suzuki/baleno/alpha-petrol-rajouri-garden-2019/10779143/?referrer=/used-cars-in-delhi/s/,https://spn-mda.spinny.com/img/82eqjsnmQcODkyf5xbXDHA/tab/file.JPG?w=300&dpr=1.0
16,Nissan Magnite XV Turbo CVT,8.42 Lakh,2021,40000,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi",https://www.spinny.com/buy-used-cars/delhi/nissan/magnite/xv-turbo-cvt-dwarka-sector-21-2021/10710115/?referrer=/used-cars-in-delhi/s/,https://spn-mda.spinny.com/img/Av89W2SLQ6235cQmRRK2wQ/tab/file.JPG?w=300&dpr=1.0
17,Hyundai Aura SX Plus 1.0 Petrol,7.63 Lakh,2020,8000,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri",https://www.spinny.com/buy-used-cars/delhi/hyundai/aura/sx-plus-10-petrol-rajouri-garden-2020/10507351/?referrer=/used-cars-in-delhi/s/,https://spn-mda.spinny.com/img/HXKLYpbnR4OwO5XXyYLiLw/tab/file.JPG?w=300&dpr=1.0
18,Land Rover Discovery Sport HSE,30.50 Lakh,2017,50000,Diesel,"Max Hub @ Trillium Avenue, Gurgaon",https://www.spinny.com/buy-used-cars/gurgaon/land-rover/discovery-sport/hse-sector-29-2017/9056141/?referrer=/used-cars-in-delhi/s/,https://spn-mda.spinny.com/img/EEOH7gpBQxeRzpIxV%2BaDYA/tab/file.JPG?w=300&dpr=1.0
19,BMW 5 Series 520d Luxury Line,44.90 Lakh,2020,50000,Diesel,"Max Hub @ Trillium Avenue, Gurgaon",https://www.spinny.com/buy-used-cars/gurgaon/bmw/5-series/520d-luxury-line-sector-29-2020/9072862/?referrer=/used-cars-in-delhi/s/,https://spn-mda.spinny.com/img/pzHUlqpATQy886ZgDkCqyg/tab/file.JPG?w=300&dpr=1.0
20,BMW X1 sDrive20d xLine,26.90 Lakh,2019,44000,Diesel,"Max Hub @ Trillium Avenue, Gurgaon",https://www.spinny.com/buy-used-cars/gurgaon/bmw/x1/sdrive20d-xline-sector-29-2019/9897048/?referrer=/used-cars-in-delhi/s/,https://spn-mda.spinny.com/img/TA%2BeZf2ZT1q3gEW%2BBxv0mg/tab/file.JPG?w=300&dpr=1.0
21,BMW X3 xDrive 20d Luxury Line,44.90 Lakh,2019,59000,Diesel,"Max Hub @ Trillium Avenue, Gurgaon",https://www.spinny.com/buy-used-cars/gurgaon/bmw/x3/xdrive-20d-luxury-line-sector-29-2019/9540236/?referrer=/used-cars-in-delhi/s/,https://spn-mda.spinny.com/img/ok_zoErjTqWur3ufar6Dlw/tab/file.JPG?w=300&dpr=1.0
22,Volvo XC40 T4 R-Design,35.90 Lakh,2020,36000,Petrol,"Max Hub @ Trillium Avenue, Gurgaon",https://www.spinny.com/buy-used-cars/gurgaon/volvo/xc40/t4-r-design-sector-29-2020/8897642/?referrer=/used-cars-in-delhi/s/,https://spn-mda.spinny.com/img/P5DTXmrqSbKs1i9bZdXhZg/tab/file.JPG?w=300&dpr=1.0
23,Renault Kwid RXT,2.39 Lakh,2015,89000,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi",https://www.spinny.com/buy-used-cars/delhi/renault/kwid/rxt-dwarka-sector-21-2015/10609307/?referrer=/used-cars-in-delhi/s/,https://spn-mda.spinny.com/img/Hj1tQ8gYRdKVX_0%2BcryDHg/tab/file.JPG?w=300&dpr=1.0
24,Maruti Suzuki Wagon R 1.0 VXI,2.49 Lakh,2011,43000,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi",https://www.spinny.com/buy-used-cars/delhi/maruti-suzuki/wagon-r-10/vxi-dwarka-sector-21-2011/10747721/?referrer=/used-cars-in-delhi/s/,https://spn-mda.spinny.com/img/3UHpkIluQ5%2BWzg5ErCTs_w/tab/file.JPG?w=300&dpr=1.0
25,Maruti Suzuki Swift VXI,3.46 Lakh,2013,40000,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri",https://www.spinny.com/buy-used-cars/delhi/maruti-suzuki/swift/vxi-rajouri-garden-2013/10592744/?referrer=/used-cars-in-delhi/s/,https://spn-mda.spinny.com/img/ZKOaiyXhQhC91lzG6N9nkg/tab/file.JPG?w=300&dpr=1.0
26,Maruti Suzuki Swift LXI,2.36 Lakh,2011,124000,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri",https://www.spinny.com/buy-used-cars/delhi/maruti-suzuki/swift/lxi-rajouri-garden-2011/10558617/?referrer=/used-cars-in-delhi/s/,https://spn-mda.spinny.com/img/7NO2fKrmScKAFiW%2B8krO5g/tab/file.JPG?w=300&dpr=1.0
27,Hyundai Grand i10 Asta 1.2 Kappa VTVT,3.89 Lakh,2014,32000,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi",https://www.spinny.com/buy-used-cars/delhi/hyundai/grand-i10/asta-12-kappa-vtvt-dwarka-sector-21-2014/10974014/?referrer=/used-cars-in-delhi/s/,https://spn-mda.spinny.com/img/Eo0_vjVoQ9CKfyQu2XQROw/tab/file.JPG?w=300&dpr=1.0
28,Hyundai Elite i20 Sportz 1.2,4.58 Lakh,2015,76000,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri",https://www.spinny.com/buy-used-cars/delhi/hyundai/elite-i20/sportz-12-rajouri-garden-2015/10296729/?referrer=/used-cars-in-delhi/s/,https://spn-mda.spinny.com/img/tJfaQakzRK69Wza4NZ4vSg/tab/file.JPG?w=300&dpr=1.0
29,Hyundai i10 Magna 1.2 CNG (Outside Fitted),2.59 Lakh,2012,66000,Petrol+cng,"Spinny Hub, Rcube Monad Mall, Rajouri",https://www.spinny.com/buy-used-cars/delhi/hyundai/i10/magna-12-cng-outside-fitted-rajouri-garden-2012/10480878/?referrer=/used-cars-in-delhi/s/,https://spn-mda.spinny.com/img/saMohhrXQRm_%2BCT0%2BlZ3cQ/tab/file.JPG?w=300&dpr=1.0
30,Tata Tiago Revotron XZ,4.36 Lakh,2018,51000,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi",https://www.spinny.com/buy-used-cars/delhi/tata/tiago/revotron-xz-dwarka-sector-21-2018/10886291/?referrer=/used-cars-in-delhi/s/,https://spn-mda.spinny.com/img/QJFvkYOuTBey4RzO_G6VLQ/tab/file.JPG?w=300&dpr=1.0
31,Nissan Magnite XV Turbo CVT,8.42 Lakh,2021,40000,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi",https://www.spinny.com/buy-used-cars/delhi/nissan/magnite/xv-turbo-cvt-dwarka-sector-21-2021/10710115/?referrer=/used-cars-in-delhi/s/,https://spn-mda.spinny.com/img/Av89W2SLQ6235cQmRRK2wQ/tab/file.JPG?w=300&dpr=1.0
32,Hyundai Aura SX Plus 1.0 Petrol,7.63 Lakh,2020,8000,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri",https://www.spinny.com/buy-used-cars/delhi/hyundai/aura/sx-plus-10-petrol-rajouri-garden-2020/10507351/?referrer=/used-cars-in-delhi/s/,https://spn-mda.spinny.com/img/HXKLYpbnR4OwO5XXyYLiLw/tab/file.JPG?w=300&dpr=1.0
33,Kia Sonet GTX Plus 1.0 DCT,12.65 Lakh,2021,13000,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri",https://www.spinny.com/buy-used-cars/delhi/kia/sonet/gtx-plus-10-dct-rajouri-garden-2021/10968879/?referrer=/used-cars-in-delhi/s/,https://spn-mda.spinny.com/img/S%2BmwECSfSDmCuvKmaw4KjQ/tab/file.JPG?w=300&dpr=1.0
34,Maruti Suzuki Swift ZXI AMT,5.90 Lakh,2018,38000,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri",https://www.spinny.com/buy-used-cars/delhi/maruti-suzuki/swift/zxi-amt-rajouri-garden-2018/10880127/?referrer=/used-cars-in-delhi/s/,https://spn-mda.spinny.com/img/cdB_EmDhSLiijdys%2Bw8%2ByQ/tab/file.JPG?w=300&dpr=1.0
35,Ford EcoSport Titanium + 1.5L Ti-VCT AT,8.88 Lakh,2019,35000,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi",https://www.spinny.com/buy-used-cars/delhi/ford/ecosport/titanium-15l-ti-vct-at-dwarka-sector-21-2019/10838780/?referrer=/used-cars-in-delhi/s/,https://spn-mda.spinny.com/img/dAmFDcoSQfqKmURYwbeDsQ/tab/file.JPG?w=300&dpr=1.0
36,Maruti Suzuki S-Cross Zeta 1.5,7.30 Lakh,2020,70000,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri",https://www.spinny.com/buy-used-cars/delhi/maruti-suzuki/s-cross/zeta-15-rajouri-garden-2020/10478350/?referrer=/used-cars-in-delhi/s/,https://spn-mda.spinny.com/img/JZhdoAn0Ra6f7e29eFcnEQ/tab/file.JPG?w=300&dpr=1.0
37,Kia Seltos GTX Plus DCT,15.79 Lakh,2019,32000,Petrol,"Spinny Hub, Rcube Monad Mall, Rajouri",https://www.spinny.com/buy-used-cars/delhi/kia/seltos/gtx-plus-dct-rajouri-garden-2019/10761537/?referrer=/used-cars-in-delhi/s/,https://spn-mda.spinny.com/img/OiJEQ5d5S%2BuumoleIXICxQ/tab/file.JPG?w=300&dpr=1.0
38,Hyundai Elite i20 Sportz 1.2,5.77 Lakh,2017,59000,Petrol,"Spinny Hub, Taj Vivanta, Dwarka, Delhi",https://www.spinny.com/buy-used-cars/delhi/hyundai/elite-i20/sportz-12-dwarka-sector-21-2017/10360269/?referrer=/used-cars-in-delhi/s/,https://spn-mda.spinny.com/img/m3SDTTMVSmmKhEza_OyVrg/tab/file.JPG?w=300&dpr=1.0
