ListingID,CarName,Price,Year,KilometersDriven,FuelType,Location,ListingURL,ImageURL
1,Maruti Suzuki Vitara Brezza ZDi Plus,9.24 Lakh,2018,64000,Diesel,"Spinny Hub, D,Mart, Madhapur, Hyderabad",https://www.spinny.com/buy-used-cars/hyderabad/maruti-suzuki/vitara-brezza/zdi-plus-kukatpally-2018/8383080/?referrer=/used-cars-in-hyderabad/s/,https://spn-mda.spinny.com/img/jUqwr_9NQYm1vyCGVST9fQ/tab/file.JPG?w=300&dpr=1.0
2,Volkswagen Ameo Comfortline 1.5L (D),6.82 Lakh,2019,42000,Diesel,"Spinny Hub, DSL Virtue Mall, Hyderabad",https://www.spinny.com/buy-used-cars/hyderabad/volkswagen/ameo/comfortline-15l-d-uppal-2019/11037907/?referrer=/used-cars-in-hyderabad/s/,https://spn-mda.spinny.com/img/4vjKJ4giRUWQNPlQ7PBZMw/tab/file.JPG?w=300&dpr=1.0
3,Tata Hexa XT,10.76 Lakh,2018,75000,Diesel,"Spinny Hub, DSL Virtue Mall, Hyderabad",https://www.spinny.com/buy-used-cars/hyderabad/tata/hexa/xt-uppal-2018/9366782/?referrer=/used-cars-in-hyderabad/s/,https://spn-mda.spinny.com/img/AmZ9GVw6S7K58m4J2ACRPA/tab/file.JPG?w=300&dpr=1.0
4,Tata Hexa XTA,9.80 Lakh,2017,124000,Diesel,"Spinny Hub, DSL Virtue Mall, Hyderabad",https://www.spinny.com/buy-used-cars/hyderabad/tata/hexa/xta-uppal-2017/10680717/?referrer=/used-cars-in-hyderabad/s/,https://spn-mda.spinny.com/img/Kw8TwJHmR2ed0V1NpZqqtA/tab/file.JPG?w=300&dpr=1.0
5,Maruti Suzuki Alto 800 VXI,4.29 Lakh,2022,3000,Petrol,"Spinny Hub, Forum Sujana Mall, Hyderabad",https://www.spinny.com/buy-used-cars/hyderabad/maruti-suzuki/alto-800/vxi-kukatpally-2022/11115241/?referrer=/used-cars-in-hyderabad/s/,https://spn-mda.spinny.com/img/6lcgM6SWQz68wMnBhim07A/tab/file.JPG?w=300&dpr=1.0
6,Maruti Suzuki Ciaz ZDi,6.43 Lakh,2014,52000,Diesel,"Spinny Hub, Forum Sujana Mall, Hyderabad",https://www.spinny.com/buy-used-cars/hyderabad/maruti-suzuki/ciaz/zdi-kukatpally-2014/10825621/?referrer=/used-cars-in-hyderabad/s/,https://spn-mda.spinny.com/img/7m4uf3Y6Su%2BOFNZQv4y0UQ/tab/file.JPG?w=300&dpr=1.0
7,Hyundai Grand i10 Asta (O) AT 1.2 kappa VTVT,5.99 Lakh,2016,30000,Petrol,"Spinny Hub, DSL Virtue Mall, Hyderabad",https://www.spinny.com/buy-used-cars/hyderabad/hyundai/grand-i10/asta-o-at-12-kappa-vtvt-uppal-2016/11072119/?referrer=/used-cars-in-hyderabad/s/,https://spn-mda.spinny.com/img/DGH0UDh0SpeS4pi7NLue7w/tab/file.JPG?w=300&dpr=1.0
8,Tata Tiago Revotron XZA AMT,5.60 Lakh,2018,32000,Petrol,"Spinny Hub, DSL Virtue Mall, Hyderabad",https://www.spinny.com/buy-used-cars/hyderabad/tata/tiago/revotron-xza-amt-uppal-2018/11122513/?referrer=/used-cars-in-hyderabad/s/,https://spn-mda.spinny.com/img/3DKHJbPgTKW6g3M4UX26kA/tab/file.JPG?w=300&dpr=1.0
9,Nissan Kicks XV Diesel,9.43 Lakh,2019,28000,Diesel,"Spinny Hub, D,Mart, Madhapur, Hyderabad",https://www.spinny.com/buy-used-cars/hyderabad/nissan/kicks/xv-diesel-kukatpally-2019/4755796/?referrer=/used-cars-in-hyderabad/s/,https://spn-mda.spinny.com/img/i3dUlwmVR8i9H9Vudr7ZcA/tab/file.JPG?w=300&dpr=1.0
10,Nissan Magnite XV Premium Turbo CVT (O),9.30 Lakh,2021,24000,Petrol,"Spinny Hub, D,Mart, Madhapur, Hyderabad",https://www.spinny.com/buy-used-cars/hyderabad/nissan/magnite/xv-premium-turbo-cvt-o-kukatpally-2021/8545759/?referrer=/used-cars-in-hyderabad/s/,https://spn-mda.spinny.com/img/Q8sZGkEZSwObJqxHryV60w/tab/file.JPG?w=300&dpr=1.0
11,Maruti Suzuki S-Cross Alpha 1.3,9.29 Lakh,2018,101000,Diesel,"Spinny Hub, Sarath City Mall, Hyderabad",https://www.spinny.com/buy-used-cars/hyderabad/maruti-suzuki/s-cross/alpha-13-kondapur-2018/10729181/?referrer=/used-cars-in-hyderabad/s/,https://spn-mda.spinny.com/img/CXfbeBuXTDOrlXuOd1o5Rw/tab/file.JPG?w=300&dpr=1.0
12,Maruti Suzuki Eeco AC 5 STR,4.99 Lakh,2019,19000,Petrol,"Spinny Hub, DSL Virtue Mall, Hyderabad",https://www.spinny.com/buy-used-cars/hyderabad/maruti-suzuki/eeco/ac-5-str-uppal-2019/10806405/?referrer=/used-cars-in-hyderabad/s/,https://spn-mda.spinny.com/img/vGoQv%2BHdTbuvx%2B8UcSzT7g/tab/file.JPG?w=300&dpr=1.0
13,Toyota Yaris J CVT,7.69 Lakh,2018,31000,Petrol,"Spinny Hub, Sarath City Mall, Hyderabad",https://www.spinny.com/buy-used-cars/hyderabad/toyota/yaris/j-cvt-kondapur-2018/10881727/?referrer=/used-cars-in-hyderabad/s/,https://spn-mda.spinny.com/img/Oq7LbQk4SriTEKRjBbmRxw/tab/file.JPG?w=300&dpr=1.0
14,Maruti Suzuki Ignis Zeta AMT Petrol Dual Tone,5.95 Lakh,2017,32000,Petrol,"Spinny Hub, Sarath City Mall, Hyderabad",https://www.spinny.com/buy-used-cars/hyderabad/maruti-suzuki/ignis/zeta-amt-petrol-dual-tone-kondapur-2017/11047421/?referrer=/used-cars-in-hyderabad/s/,https://spn-mda.spinny.com/img/CvtbSHwnTqySSgD_6MuSxQ/tab/file.JPG?w=300&dpr=1.0
15,Maruti Suzuki Alto K10 VXI (O),3.85 Lakh,2018,23000,Petrol,"Spinny Hub, DSL Virtue Mall, Hyderabad",https://www.spinny.com/buy-used-cars/hyderabad/maruti-suzuki/alto-k10/vxi-o-uppal-2018/11065487/?referrer=/used-cars-in-hyderabad/s/,https://spn-mda.spinny.com/img/hXAXLhsfTcaHM04SyddGrw/tab/file.JPG?w=300&dpr=1.0
