ListingID,CarName,Price,Year,KilometersDriven,FuelType,Location,ListingURL,ImageURL
1,Hyundai Grand i10 Nios Era 1.2 Kappa VTVT,5.48 Lakh,2021,23000,Petrol,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai",https://www.spinny.com/buy-used-cars/mumbai/hyundai/grand-i10-nios/era-12-kappa-vtvt-dadar-west-2021/10953606/?referrer=/used-cars-in-mumbai/s/,https://spn-mda.spinny.com/img/vaWhRX_dQOi9t%2BKz9ud3Mw/tab/file.JPG?w=300&dpr=1.0
2,Honda Amaze 1.2 VX CVT i-VTEC,8.82 Lakh,2022,6000,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai",https://www.spinny.com/buy-used-cars/mumbai/honda/amaze/12-vx-cvt-i-vtec-vidyavihar-2022/11102065/?referrer=/used-cars-in-mumbai/s/,https://spn-mda.spinny.com/img/DJjMqw_LSnqEMt2Gq_1xFQ/tab/file.JPG?w=300&dpr=1.0
3,Tata Altroz XM Plus 1.2,6.58 Lakh,2021,23000,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai",https://www.spinny.com/buy-used-cars/mumbai/tata/altroz/xm-plus-12-vidyavihar-2021/10888930/?referrer=/used-cars-in-mumbai/s/,https://spn-mda.spinny.com/img/HoI7ecvFR1yq9ZowJVg6vg/tab/file.JPG?w=300&dpr=1.0
4,Tata Punch Adventure Rhythm Pack MT,6.78 Lakh,2022,10000,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai",https://www.spinny.com/buy-used-cars/mumbai/tata/punch/adventure-rhythm-pack-mt-vidyavihar-2022/10921316/?referrer=/used-cars-in-mumbai/s/,https://spn-mda.spinny.com/img/N4OXtnSSSl%2BYJe8tCKq1RA/tab/file.JPG?w=300&dpr=1.0
5,Renault Triber RXT,6.63 Lakh,2022,7000,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai",https://www.spinny.com/buy-used-cars/mumbai/renault/triber/rxt-vidyavihar-2022/10900500/?referrer=/used-cars-in-mumbai/s/,https://spn-mda.spinny.com/img/mxYO90uwTDa9fvu5nMCedQ/tab/file.JPG?w=300&dpr=1.0
6,Maruti Suzuki Baleno Delta Petrol,5.69 Lakh,2018,22000,Petrol,"Spinny Hub, Korum Mall, Thane",https://www.spinny.com/buy-used-cars/mumbai/maruti-suzuki/baleno/delta-petrol-samat-nagar-2018/10994875/?referrer=/used-cars-in-mumbai/s/,https://spn-mda.spinny.com/img/e_vjXvDvRaCOIn3XKizKcA/tab/file.JPG?w=300&dpr=1.0
7,BMW X1 sDrive20d xLine,26.90 Lakh,2018,53000,Diesel,"Spinny Hub, Kohinoor Square Mall, Dadar, Mumbai",https://www.spinny.com/buy-used-cars/mumbai/bmw/x1/sdrive20d-xline-dadar-west-2018/9358274/?referrer=/used-cars-in-mumbai/s/,https://spn-mda.spinny.com/img/gwSSrAGdSOKKFy74SWcWQg/tab/file.JPG?w=300&dpr=1.0
8,Hyundai New Santro 1.1 Magna,4.73 Lakh,2022,5000,Petrol,"Spinny Hub, Neelkanth Business Park, Vidyavihar, Mumbai",https://www.spinny.com/buy-used-cars/mumbai/hyundai/new-santro-11/magna-vidyavihar-2022/10893753/?referrer=/used-cars-in-mumbai/s/,https://spn-mda.spinny.com/img/MragIXc4QLCs6Ajdq2QQIA/tab/file.JPG?w=300&dpr=1.0
9,Maruti Suzuki Baleno Zeta Petrol,7.14 Lakh,2020,24000,Petrol,"Spinny Hub, Seawoods, Navi Mumbai",https://www.spinny.com/buy-used-cars/mumbai/maruti-suzuki/baleno/zeta-petrol-seawoods-2020/11090600/?referrer=/used-cars-in-mumbai/s/,https://spn-mda.spinny.com/img/uJ2qk5rlQVytbC15sFmHeg/tab/file.JPG?w=300&dpr=1.0
10,Hyundai Grand i10 Nios Sportz 1.2 Kappa VTVT Dual Tone,7.28 Lakh,2022,11000,Petrol,"Spinny Hub, Korum Mall, Thane",https://www.spinny.com/buy-used-cars/mumbai/hyundai/grand-i10-nios/sportz-12-kappa-vtvt-dual-tone-samat-nagar-2022/11039993/?referrer=/used-cars-in-mumbai/s/,https://spn-mda.spinny.com/img/qAfh9ZM5R_aJeXODM2DSVw/tab/file.JPG?w=300&dpr=1.0
