ListingID,CarName,Price,Year,KilometersDriven,FuelType,Location,ListingURL,ImageURL
1,Maruti Suzuki Wagon R 1.0 LXI CNG,4.02 Lakh,2015,62000,Petrol+cng,"Spinny Park, Hinjewadi, Pune",https://www.spinny.com/buy-used-cars/pune/maruti-suzuki/wagon-r-10/lxi-cng-hinjawadi-2015/10828808/?referrer=/used-cars-in-pune/s/,https://spn-mda.spinny.com/img/GJ0gX3OwS5ergV4RAzepYw/tab/file.JPG?w=300&dpr=1.0
2,Kia Carens Prestige Plus 1.5 Diesel 7 STR,15.72 Lakh,2022,10000,Diesel,"Spinny Park, Hinjewadi, Pune",https://www.spinny.com/buy-used-cars/pune/kia/carens/prestige-plus-15-diesel-7-str-hinjawadi-2022/10722465/?referrer=/used-cars-in-pune/s/,https://spn-mda.spinny.com/img/J%2ByiZbrgRjy5oirviLEm4A/tab/file.JPG?w=300&dpr=1.0
3,Chevrolet Sail 1.2 LS ABS,3.46 Lakh,2017,38000,Petrol,"Spinny Hub, Seasons Mall, Pune",https://www.spinny.com/buy-used-cars/pune/chevrolet/sail/12-ls-abs-hadapsar-2017/10228720/?referrer=/used-cars-in-pune/s/,https://spn-mda.spinny.com/img/kZ%2BiEUGMTxGXntdG2g6qEQ/tab/file.JPG?w=300&dpr=1.0
4,Toyota Corolla Altis VL AT Petrol,9.39 Lakh,2015,69000,Petrol,"Spinny Hub, Seasons Mall, Pune",https://www.spinny.com/buy-used-cars/pune/toyota/corolla-altis/vl-at-petrol-hadapsar-2015/10668821/?referrer=/used-cars-in-pune/s/,https://spn-mda.spinny.com/img/_QD5ubCiREWrOic%2BVifREQ/tab/file.JPG?w=300&dpr=1.0
5,Toyota Etios Liva GD,3.64 Lakh,2012,139000,Diesel,"Spinny Park, Hinjewadi, Pune",https://www.spinny.com/buy-used-cars/pune/toyota/etios-liva/gd-hinjawadi-2012/10706002/?referrer=/used-cars-in-pune/s/,https://spn-mda.spinny.com/img/iRhAJrM7T6O%2BX7WX8DEg0A/tab/file.JPG?w=300&dpr=1.0
6,Hyundai Grand i10 Asta 1.2 Kappa VTVT,4.64 Lakh,2015,38000,Petrol,"Spinny Hub, Seasons Mall, Pune",https://www.spinny.com/buy-used-cars/pune/hyundai/grand-i10/asta-12-kappa-vtvt-hadapsar-2015/11036945/?referrer=/used-cars-in-pune/s/,https://spn-mda.spinny.com/img/W32xy8ZoQS%2Bl7t3dPuk3vg/tab/file.JPG?w=300&dpr=1.0
7,Hyundai Elite i20 Sportz 1.2,5.93 Lakh,2017,39000,Petrol,"Spinny Park, Hinjewadi, Pune",https://www.spinny.com/buy-used-cars/pune/hyundai/elite-i20/sportz-12-hinjawadi-2017/11134529/?referrer=/used-cars-in-pune/s/,https://spn-mda.spinny.com/img/foEY4rS4RGGNMXn11n2sNg/tab/file.JPG?w=300&dpr=1.0
8,Nissan Micra Active XV,3.99 Lakh,2017,35000,Petrol,"Spinny Park, Hinjewadi, Pune",https://www.spinny.com/buy-used-cars/pune/nissan/micra-active/xv-hinjawadi-2017/10867841/?referrer=/used-cars-in-pune/s/,https://spn-mda.spinny.com/img/lDMz6Xc2SB2wcNCnzFiVNQ/tab/file.JPG?w=300&dpr=1.0
9,Hyundai Grand i10 Nios Sportz 1.2 Kappa VTVT,6.60 Lakh,2020,21000,Petrol,"Spinny Park, Hinjewadi, Pune",https://www.spinny.com/buy-used-cars/pune/hyundai/grand-i10-nios/sportz-12-kappa-vtvt-hinjawadi-2020/11004687/?referrer=/used-cars-in-pune/s/,https://spn-mda.spinny.com/img/TCdeMVyRSdOTtDE%2BYosi_g/tab/file.JPG?w=300&dpr=1.0
10,Maruti Suzuki Wagon R 1.0 LXI CNG,4.18 Lakh,2018,95000,Petrol+cng,"Spinny Hub, Seasons Mall, Pune",https://www.spinny.com/buy-used-cars/pune/maruti-suzuki/wagon-r-10/lxi-cng-hadapsar-2018/11058449/?referrer=/used-cars-in-pune/s/,https://spn-mda.spinny.com/img/65wfiI85TM%2BYi5eeOSYjWg/tab/file.JPG?w=300&dpr=1.0
