CarName,Price,Year,KilometersDriven,Fuel Type,Location
Maruti Ertiga,"9,41,000",2019,"73,608 KM",PETROL,"Kompally, Hyderabad"
KIA SONET,"8,25,000",2020,"76,615 KM",PETROL,"Kompally, Hyderabad"
Nissan Micra,"4,76,000",2018,"77,108 KM",PETROL,"Kompally, Hyderabad"
Hyundai i20 Active,"7,61,000",2018,"42,092 KM",PETROL,"Kompally, Hyderabad"
Maruti Alto,"4,59,000",2022,"13,397 KM",PETROL,"Bachupally, Hyderabad"
Honda BR-V,"8,07,000",2017,"90,431 KM",PETROL,"Bachupally, Hyderabad"
Renault Kwid,"4,68,000",2020,"66,696 KM",PETROL,"Kompally, Hyderabad"
Hyundai i10,"3,46,000",2014,"80,797 KM",PETROL,"Kompally, Hyderabad"
Hyundai Santro Xing,"2,96,000",2012,"45,549 KM",PETROL,"Bachupally, Hyderabad"
Toyota Corolla Altis,"11,88,000",2019,"55,896 KM",PETROL,"Kompally, Hyderabad"
Hyundai i10,"3,63,000",2014,"39,568 KM",PETROL,"Attapur, Hyderabad"
Toyota URBAN CRUISER,"11,57,000",2022,"23,718 KM",PETROL,"Bachupally, Hyderabad"
Maruti Wagon R 1.0,"3,40,000",2014,"82,353 KM",PETROL,"Kompally, Hyderabad"
Maruti New Wagon-R,"5,40,000",2020,"66,284 KM",CNG,"Kompally, Hyderabad"
Mahindra TUV300,"8,29,000",2018,"36,250 KM",DIESEL,"Attapur, Hyderabad"
Honda City,"6,05,000",2015,"63,480 KM",PETROL,"Bachupally, Hyderabad"
Hyundai VENUE,"8,52,000",2022,"35,265 KM",PETROL,"Vanasthalipuram, Hyderabad."
Hyundai Santro Xing,"1,69,000",2010,"81,843 KM",PETROL,"Attapur, Hyderabad"
Tata ALTROZ,"7,23,000",2020,"58,192 KM",PETROL,"Bachupally, Hyderabad"
Maruti Alto K10,"3,14,000",2015,"67,557 KM",PETROL,"Kompally, Hyderabad"
Ford Ecosport,"8,19,000",2018,"58,647 KM",DIESEL,"Bachupally, Hyderabad"
Tata Tiago,"6,38,000",2021,"14,765 KM",PETROL,"Kompally, Hyderabad"
Renault Duster,"3,74,000",2012,"67,879 KM",DIESEL,"Bachupally, Hyderabad"
Maruti Alto 800,"2,33,000",2016,"60,610 KM",PETROL,"Kompally, Hyderabad"
Maruti Alto,"1,91,000",2012,"64,934 KM",PETROL,"Vanasthalipuram, Hyderabad."
Hyundai Elite i20,"6,16,000",2017,"64,067 KM",DIESEL,"Kompally, Hyderabad"
MG HECTOR,"14,44,000",2019,"48,926 KM",PETROL,"Vanasthalipuram, Hyderabad."
Hyundai VENUE,"10,02,000",2022,"15,817 KM",PETROL,"Bachupally, Hyderabad"
Renault Kwid,"2,90,000",2016,"42,203 KM",PETROL,"Kompally, Hyderabad"
Mahindra XUV500,"7,94,000",2018,"1,10,140 KM",DIESEL,"Kompally, Hyderabad"
Maruti Swift,"5,49,000",2021,"1,18,937 KM",PETROL,"Kompally, Hyderabad"
Volkswagen Polo,"7,03,000",2021,"30,088 KM",PETROL,"Bachupally, Hyderabad"
Maruti Alto 800,"2,52,000",2016,"91,603 KM",PETROL,"Kompally, Hyderabad"
Tata ALTROZ,"9,41,000",2022,"10,425 KM",PETROL,"Bachupally, Hyderabad"
Hyundai Elite i20,"5,95,000",2015,"81,886 KM",DIESEL,"Kompally, Hyderabad"
Maruti Vitara Brezza,"8,91,000",2021,"13,969 KM",PETROL,"Kompally, Hyderabad"
Maruti Alto 800,"3,41,000",2018,"34,681 KM",PETROL,"Bachupally, Hyderabad"
Renault Kwid,"2,91,000",2016,"41,832 KM",PETROL,"Kompally, Hyderabad"
Hyundai Grand i10,"5,14,000",2016,"42,765 KM",PETROL,"Bachupally, Hyderabad"
Maruti Baleno,"7,55,000",2020,"80,632 KM",PETROL,"Attapur, Hyderabad"
Renault Kwid,"3,28,000",2017,"28,009 KM",PETROL,"Kompally, Hyderabad"
Hyundai Santro Xing,"1,85,000",2010,"90,566 KM",PETROL,"Kompally, Hyderabad"
Hyundai Eon,"3,27,000",2017,"39,226 KM",PETROL,"Kompally, Hyderabad"
Honda Jazz,"4,95,000",2016,"1,24,214 KM",DIESEL,"Kompally, Hyderabad"
Tata Tiago,"4,69,000",2018,"34,628 KM",PETROL,"Kompally, Hyderabad"
Hyundai NEW SANTRO,"4,91,000",2019,"79,467 KM",PETROL,"Kompally, Hyderabad"
Honda Amaze,"6,40,000",2018,"44,996 KM",PETROL,"Vanasthalipuram, Hyderabad."
Maruti Alto 800,"2,51,000",2012,"82,618 KM",CNG,"Bachupally, Hyderabad"
Maruti S PRESSO,"4,78,000",2019,"58,229 KM",PETROL,"Kompally, Hyderabad"
Datsun Go,"2,74,000",2017,"72,762 KM",PETROL,"Bachupally, Hyderabad"
