CarName,Price,Year,KilometersDriven,Fuel Type,Location
Maruti Alto,"1,16,000",2010,"50,962 KM",PETROL,"GIP Mall, Noida"
Tata NEXON,"7,40,000",2020,"61,698 KM",PETROL,"Metro Walk, Rohini, New Delhi"
Hyundai GRAND I10 NIOS,"5,99,000",2019,"76,421 KM",PETROL,"GIP Mall, Noida"
Maruti S PRESSO,"3,84,000",2019,"20,792 KM",PETROL,"Parsvnath City Mall, Faridabad"
Toyota Corolla Altis,"3,56,000",2011,"67,066 KM",PETROL,"Metro Walk, Rohini, New Delhi"
Hyundai AURA,"6,82,000",2020,"67,853 KM",CNG,"Sector-18, Noida"
Maruti Vitara Brezza,"8,17,000",2019,"55,523 KM",DIESEL,"M3M Urbana, Golf Course Ext., Gurugram"
Maruti Swift,"3,84,000",2015,"1,17,499 KM",DIESEL,"Spaze Platinum, Sohna Road, Gurugram"
Renault Duster,"3,16,000",2014,"97,491 KM",DIESEL,"M3M Urbana, Golf Course Ext., Gurugram"
Maruti Vitara Brezza,"7,90,000",2019,"50,767 KM",DIESEL,"M3M Urbana, Golf Course Ext., Gurugram"
Maruti Baleno,"4,71,000",2019,"97,494 KM",PETROL,"Spaze Platinum, Sohna Road, Gurugram"
Honda Amaze,"6,49,000",2019,"43,184 KM",CNG,"Chhatarpur, Delhi"
Maruti New Wagon-R,"4,59,000",2019,"48,404 KM",CNG,"Metro Walk, Rohini, New Delhi"
Hyundai Elite i20,"5,44,000",2018,"53,083 KM",PETROL,"Spaze Platinum, Sohna Road, Gurugram"
Toyota Glanza,"7,86,000",2019,"37,778 KM",PETROL,"Parsvnath City Mall, Faridabad"
Maruti Wagon R 1.0,"2,60,000",2014,"79,204 KM",PETROL,"Spaze Platinum, Sohna Road, Gurugram"
Maruti Vitara Brezza,"7,17,000",2018,"30,549 KM",DIESEL,"Parsvnath City Mall, Faridabad"
Maruti Alto K10,"3,06,000",2017,"41,428 KM",PETROL,"M3M Urbana, Golf Course Ext., Gurugram"
Maruti Vitara Brezza,"7,24,000",2019,"61,307 KM",DIESEL,"M3M Urbana, Golf Course Ext., Gurugram"
Maruti Wagon R 1.0,"1,81,000",2010,"61,569 KM",PETROL,"Chhatarpur, Delhi"
Honda Amaze,"6,46,000",2019,"37,783 KM",PETROL,"M3M Urbana, Golf Course Ext., Gurugram"
Ford Ecosport,"6,36,000",2018,"79,371 KM",DIESEL,"Metro Walk, Rohini, New Delhi"
Maruti Swift,"5,36,000",2020,"44,817 KM",PETROL,"Metro Walk, Rohini, New Delhi"
Maruti Alto K10,"2,48,000",2014,"47,899 KM",PETROL,"Spaze Platinum, Sohna Road, Gurugram"
Maruti Swift,"5,69,000",2018,"34,966 KM",PETROL,"Metro Walk, Rohini, New Delhi"
Maruti Alto 800,"2,49,000",2016,"89,634 KM",PETROL,"Parsvnath City Mall, Faridabad"
Maruti Alto K10,"2,98,000",2016,"32,031 KM",PETROL,"Spaze Platinum, Sohna Road, Gurugram"
Hyundai Elite i20,"5,82,000",2017,"81,711 KM",PETROL,"Parsvnath City Mall, Faridabad"
Maruti Swift,"5,67,000",2018,"64,216 KM",PETROL,"Metro Walk, Rohini, New Delhi"
Maruti Alto 800,"3,21,400",2017,"25,868 KM",PETROL,"Metro Walk, Rohini, New Delhi"
Hyundai Grand i10,"3,93,000",2017,"92,995 KM",PETROL,"Metro Walk, Rohini, New Delhi"
Maruti Swift,"6,11,000",2018,"66,434 KM",DIESEL,"Parsvnath City Mall, Faridabad"
Maruti Alto K10,"3,05,000",2017,"47,967 KM",PETROL,"Metro Walk, Rohini, New Delhi"
Maruti Baleno,"5,97,000",2019,"50,555 KM",PETROL,"Vasant Kunj, New Delhi"
Hyundai Elite i20,"6,11,000",2018,"54,617 KM",PETROL,"Metro Walk, Rohini, New Delhi"
Maruti Swift,"3,73,000",2013,"77,946 KM",PETROL,"Metro Walk, Rohini, New Delhi"
Maruti Baleno,"6,19,000",2019,"47,644 KM",PETROL,"M3M Urbana, Golf Course Ext., Gurugram"
Maruti Celerio,"3,99,000",2018,"84,043 KM",CNG,"M3M Urbana, Golf Course Ext., Gurugram"
Maruti Ciaz,"8,06,000",2019,"92,089 KM",DIESEL,"Metro Walk, Rohini, New Delhi"
Honda Amaze,"6,04,000",2019,"67,773 KM",CNG,"Spaze Platinum, Sohna Road, Gurugram"
Renault Kwid,"4,57,000",2019,"15,922 KM",PETROL,"Chhatarpur, Delhi"
Toyota Etios Liva,"5,17,000",2019,"82,515 KM",CNG,"Spaze Platinum, Sohna Road, Gurugram"
Hyundai Verna,"3,94,000",2014,"94,348 KM",PETROL,"Metro Walk, Rohini, New Delhi"
Maruti Celerio X,"4,80,000",2019,"20,802 KM",PETROL,"Parsvnath City Mall, Faridabad"
Maruti Swift,"4,61,000",2017,"1,02,887 KM",PETROL,"Parsvnath City Mall, Faridabad"
Maruti New Wagon-R,"4,92,000",2020,"76,171 KM",CNG,"Parsvnath City Mall, Faridabad"
Maruti Swift Dzire,"4,13,000",2014,"1,08,939 KM",PETROL,"Metro Walk, Rohini, New Delhi"
Maruti Alto 800,"2,81,000",2016,"98,428 KM",PETROL,"Parsvnath City Mall, Faridabad"
Maruti Swift,"3,91,000",2014,"44,060 KM",DIESEL,"Vasant Kunj, New Delhi"
Hyundai Elite i20,"6,34,000",2018,"30,206 KM",PETROL,"Spaze Platinum, Sohna Road, Gurugram"
Maruti Celerio,"3,59,000",2017,"93,026 KM",CNG,"Metro Walk, Rohini, New Delhi"
Maruti Celerio,"4,62,000",2019,"1,12,479 KM",CNG,"Parsvnath City Mall, Faridabad"
Hyundai Elite i20,"6,42,000",2018,"77,753 KM",PETROL,"M3M Urbana, Golf Course Ext., Gurugram"
Maruti New Wagon-R,"5,16,000",2021,"77,064 KM",CNG,"Metro Walk, Rohini, New Delhi"
Hyundai Creta,"10,35,000",2019,"26,704 KM",PETROL,"Spaze Platinum, Sohna Road, Gurugram"
Maruti Swift,"5,33,000",2019,"74,150 KM",PETROL,"Vasant Kunj, New Delhi"
Honda WR-V,"5,96,000",2018,"27,235 KM",PETROL,"Spaze Platinum, Sohna Road, Gurugram"
Ford Ecosport,"6,44,000",2018,"99,668 KM",DIESEL,"M3M Urbana, Golf Course Ext., Gurugram"
Renault TRIBER,"5,75,000",2019,"30,714 KM",PETROL,"GIP Mall, Noida"
Maruti S PRESSO,"4,39,000",2021,"58,737 KM",CNG,"Vasant Kunj, New Delhi"
Maruti Swift,"3,25,000",2014,"68,744 KM",DIESEL,"M3M Urbana, Golf Course Ext., Gurugram"
Hyundai i10,"1,56,200",2011,"62,026 KM",PETROL,"Sector-18, Noida"
Hyundai AURA,"7,66,000",2021,"47,673 KM",CNG,"Spaze Platinum, Sohna Road, Gurugram"
