,CarName,Price,Year,KilometersDriven,Fuel Type,Location
0,Toyota Innova Crysta,"20,93,000",2022,"13,719 KM",PETROL,"Garuda Mall, Magrath Road, Bengaluru"
1,Maruti Ertiga,"5,89,000",2012,"1,38,142 KM",DIESEL,"Bellahalli, Bengaluru"
2,Ford Ecosport,"6,07,000",2015,"1,30,981 KM",DIESEL,"Bellahalli, Bengaluru"
3,Volkswagen Polo,"8,34,000",2019,"32,585 KM",PETROL,"Bellahalli, Bengaluru"
4,Hyundai Creta,"8,64,000",2016,"81,853 KM",PETROL,"Bellahalli, Bengaluru"
5,Honda Amaze,"3,48,000",2013,"87,031 KM",PETROL,"Bellahalli, Bengaluru"
6,Maruti Swift Dzire,"4,33,000",2012,"84,260 KM",PETROL,"Bellahalli, Bengaluru"
7,Honda City,"6,66,000",2016,"66,119 KM",PETROL,"Bellahalli, Bengaluru"
8,Ford Figo Aspire,"7,06,000",2020,"32,053 KM",PETROL,"Horamavu Agara Road, Bengaluru"
9,Hyundai Creta,"11,29,000",2018,"60,341 KM",PETROL,"Bellahalli, Bengaluru"
10,Volkswagen Polo,"3,34,000",2010,"52,771 KM",PETROL,"Bellahalli, Bengaluru"
11,Tata NEXON,"10,46,000",2020,"25,496 KM",PETROL,"Garuda Mall, Magrath Road, Bengaluru"
12,Volkswagen Vento,"8,41,000",2018,"56,460 KM",PETROL,"Bellahalli, Bengaluru"
13,Mahindra XUV500,"8,29,000",2014,"89,047 KM",DIESEL,"Hosur Road, Singasandra, Bengaluru"
14,Tata TIGOR,"6,27,000",2018,"62,039 KM",PETROL,"Horamavu Agara Road, Bengaluru"
15,Maruti Swift,"5,15,000",2014,"32,639 KM",PETROL,"Hosur Road, Singasandra, Bengaluru"
16,Tata ALTROZ,"7,37,000",2021,"47,004 KM",DIESEL,"Sonnappanahalli, Bengaluru"
17,Honda City,"5,19,000",2014,"58,997 KM",PETROL,"Bellahalli, Bengaluru"
18,Renault Kwid,"3,57,000",2018,"44,462 KM",PETROL,"Bellahalli, Bengaluru"
19,Hyundai Elite i20,"5,82,000",2014,"27,082 KM",PETROL,"Bellahalli, Bengaluru"
20,Mahindra XUV500,"10,19,000",2016,"44,530 KM",DIESEL,"Bellahalli, Bengaluru"
21,Tata NEXON,"10,51,000",2020,"11,321 KM",PETROL,"Garuda Mall, Magrath Road, Bengaluru"
22,Ford Ecosport,"9,03,000",2019,"4,981 KM",PETROL,"Garuda Mall, Magrath Road, Bengaluru"
23,Hyundai Elite i20,"5,92,000",2016,"57,459 KM",PETROL,"Bellahalli, Bengaluru"
24,Skoda Rapid,"5,91,000",2017,"1,24,707 KM",PETROL,"Bellahalli, Bengaluru"
25,Honda Brio,"3,72,000",2013,"49,766 KM",PETROL,"Bellahalli, Bengaluru"
26,Hyundai i20,"3,54,000",2012,"64,958 KM",DIESEL,"Bellahalli, Bengaluru"
27,Honda City,"15,45,000",2022,"9,029 KM",PETROL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
28,Toyota Etios Liva,"2,89,000",2011,"79,431 KM",PETROL,"Bellahalli, Bengaluru"
29,Tata ALTROZ,"8,95,000",2021,"61,761 KM",DIESEL,"Horamavu Agara Road, Bengaluru"
30,Tata Tiago,"5,05,000",2018,"37,147 KM",PETROL,"Sonnappanahalli, Bengaluru"
31,Renault Duster,"4,52,000",2014,"1,09,706 KM",DIESEL,"Horamavu Agara Road, Bengaluru"
32,Maruti Ciaz,"4,89,000",2016,"70,252 KM",PETROL,"Bellahalli, Bengaluru"
33,Maruti Swift,"5,90,000",2016,"38,025 KM",PETROL,"Bellahalli, Bengaluru"
34,Hyundai Grand i10,"4,83,000",2014,"31,976 KM",PETROL,"Hosur Road, Singasandra, Bengaluru"
35,Maruti Alto K10,"3,18,000",2016,"65,484 KM",PETROL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
36,Volkswagen Vento,"3,69,000",2013,"1,10,086 KM",DIESEL,"Hosur Road, Singasandra, Bengaluru"
37,Maruti Alto,"4,40,000",2021,"16,314 KM",PETROL,"Horamavu Agara Road, Bengaluru"
38,Maruti Swift,"5,89,000",2015,"57,155 KM",PETROL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
39,Jeep Compass,"12,26,000",2018,"79,040 KM",DIESEL,"Bellahalli, Bengaluru"
40,Volkswagen Polo,"9,68,000",2022,"33,075 KM",PETROL,"Sonnappanahalli, Bengaluru"
41,Hyundai Creta,"12,93,000",2019,"81,128 KM",DIESEL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
42,Maruti Celerio,"5,13,000",2020,"27,528 KM",PETROL,"Bellahalli, Bengaluru"
43,Hyundai NEW SANTRO,"5,07,000",2018,"25,447 KM",PETROL,"GT World Mall, Bengaluru"
44,Renault Duster,"7,76,000",2019,"91,088 KM",PETROL,"Bellahalli, Bengaluru"
45,Hyundai Creta,"8,46,000",2016,"37,550 KM",PETROL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
46,Hyundai Elite i20,"7,05,000",2016,"52,955 KM",PETROL,"Bellahalli, Bengaluru"
47,Volkswagen Jetta,"6,54,000",2013,"1,08,691 KM",PETROL,"Bellahalli, Bengaluru"
48,Hyundai i20 Active,"6,13,000",2017,"32,345 KM",PETROL,"Hosur Road, Singasandra, Bengaluru"
49,Maruti Ertiga,"5,90,000",2013,"88,808 KM",DIESEL,"Sonnappanahalli, Bengaluru"
50,Maruti Swift,"4,19,000",2013,"69,748 KM",PETROL,"Bellahalli, Bengaluru"
51,Maruti Celerio,"4,83,000",2019,"13,293 KM",PETROL,"Bellahalli, Bengaluru"
52,Renault Duster,"7,58,000",2018,"50,384 KM",PETROL,"GT World Mall, Bengaluru"
53,Hyundai i10,"2,58,000",2010,"43,529 KM",PETROL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
54,Maruti Swift,"4,00,000",2014,"1,23,305 KM",PETROL,"Bellahalli, Bengaluru"
55,Hyundai i20,"3,49,000",2012,"82,207 KM",PETROL,"Hosur Road, Singasandra, Bengaluru"
56,Renault Kwid,"3,61,000",2019,"31,992 KM",PETROL,"Hosur Road, Singasandra, Bengaluru"
57,Maruti Baleno,"7,34,000",2019,"1,00,510 KM",DIESEL,"Sonnappanahalli, Bengaluru"
58,Tata ALTROZ,"8,07,000",2021,"18,823 KM",PETROL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
59,Hyundai Verna,"5,72,000",2013,"54,542 KM",PETROL,"GT World Mall, Bengaluru"
60,Maruti Alto K10,"2,38,000",2011,"25,928 KM",PETROL,"Hosur Road, Singasandra, Bengaluru"
61,Renault Duster,"5,41,000",2013,"68,896 KM",DIESEL,"Bellahalli, Bengaluru"
62,Honda City,"5,11,000",2014,"94,378 KM",DIESEL,"Bellahalli, Bengaluru"
63,MG HECTOR,"14,56,000",2019,"28,093 KM",PETROL,"Garuda Mall, Magrath Road, Bengaluru"
64,Skoda Rapid,"4,94,000",2015,"1,07,208 KM",DIESEL,"Bellahalli, Bengaluru"
65,Maruti BREZZA,"10,85,000",2023,"6,278 KM",PETROL,"Horamavu Agara Road, Bengaluru"
66,Jeep Compass,"13,92,000",2018,"18,610 KM",PETROL,"Bellahalli, Bengaluru"
67,Renault Duster,"9,61,000",2019,"24,030 KM",DIESEL,"Garuda Mall, Magrath Road, Bengaluru"
68,Maruti Ertiga,"6,98,000",2014,"38,536 KM",PETROL,"GT World Mall, Bengaluru"
69,Renault Kwid,"3,14,000",2015,"88,900 KM",PETROL,"Hosur Road, Singasandra, Bengaluru"
70,Maruti Dzire,"6,27,000",2018,"41,998 KM",PETROL,"Hosur Road, Singasandra, Bengaluru"
71,Mahindra XUV 3OO,"8,04,000",2019,"29,953 KM",DIESEL,"Garuda Mall, Magrath Road, Bengaluru"
72,Maruti Wagon R 1.0,"3,69,000",2015,"48,394 KM",PETROL,"Bellahalli, Bengaluru"
73,Volkswagen Polo,"5,37,000",2016,"56,550 KM",PETROL,"Bellahalli, Bengaluru"
74,Hyundai Elite i20,"7,04,000",2020,"49,087 KM",PETROL,"Horamavu Agara Road, Bengaluru"
75,Mahindra XUV500,"7,35,000",2014,"1,33,312 KM",DIESEL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
76,Maruti Swift,"4,15,000",2013,"92,529 KM",PETROL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
77,Volkswagen Polo,"7,02,000",2016,"96,698 KM",PETROL,"Sonnappanahalli, Bengaluru"
78,Volkswagen Ameo,"4,10,000",2016,"94,548 KM",PETROL,"Bellahalli, Bengaluru"
79,Hyundai i10,"2,91,000",2013,"46,280 KM",PETROL,"Hosur Road, Singasandra, Bengaluru"
80,Maruti Wagon R 1.0,"4,29,000",2017,"15,993 KM",PETROL,"Sonnappanahalli, Bengaluru"
81,Hyundai GRAND I10 NIOS,"7,21,000",2020,"8,643 KM",PETROL,"Bellahalli, Bengaluru"
82,Maruti Swift,"4,28,000",2013,"1,13,671 KM",DIESEL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
83,Maruti Ritz,"2,95,000",2010,"91,149 KM",PETROL,"Hosur Road, Singasandra, Bengaluru"
84,Hyundai Eon,"2,95,600",2014,"29,940 KM",PETROL,"Sonnappanahalli, Bengaluru"
85,Renault Kwid,"3,70,000",2016,"11,318 KM",PETROL,"Bellahalli, Bengaluru"
86,Maruti Swift,"5,86,000",2018,"34,500 KM",PETROL,"GT World Mall, Bengaluru"
87,Maruti Swift,"4,37,000",2014,"93,108 KM",DIESEL,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
88,Hyundai Elite i20,"7,92,000",2020,"24,799 KM",PETROL,"Horamavu Agara Road, Bengaluru"
89,Hyundai New Elantra,"14,91,000",2019,"24,185 KM",PETROL,"Bellahalli, Bengaluru"
90,Maruti New Wagon-R,"4,96,000",2019,"28,454 KM",PETROL,"Bellahalli, Bengaluru"
91,Maruti Vitara Brezza,"7,31,000",2016,"54,840 KM",DIESEL,"Garuda Mall, Magrath Road, Bengaluru"
92,Datsun Redi Go,"2,50,000",2016,"40,818 KM",PETROL,"Bellahalli, Bengaluru"
93,Maruti Swift,"3,22,000",2010,"80,777 KM",DIESEL,"Hosur Road, Singasandra, Bengaluru"
94,Mahindra XUV500,"11,80,000",2016,"64,061 KM",DIESEL,"Garuda Mall, Magrath Road, Bengaluru"
95,Maruti A Star,"2,13,000",2010,"64,103 KM",PETROL,"Hosur Road, Singasandra, Bengaluru"
96,Maruti Dzire,"6,42,000",2017,"67,184 KM",DIESEL,"Bellahalli, Bengaluru"
97,Maruti Baleno,"5,75,000",2016,"60,044 KM",PETROL,"Horamavu Agara Road, Bengaluru"
98,Hyundai Elite i20,"4,95,000",2015,"1,02,118 KM",PETROL,"Bellahalli, Bengaluru"
99,Hyundai Creta,"13,87,000",2020,"52,422 KM",PETROL,"Garuda Mall, Magrath Road, Bengaluru"
100,Renault Kwid,"4,42,000",2018,"26,869 KM",PETROL,"Bellahalli, Bengaluru"
101,Maruti Swift,"3,65,000",2011,"46,387 KM",PETROL,"Bellahalli, Bengaluru"
102,Maruti Swift Dzire,"4,79,000",2012,"1,00,047 KM",DIESEL,"Bellahalli, Bengaluru"
103,Maruti IGNIS,"6,56,000",2021,"31,530 KM",PETROL,"Bellahalli, Bengaluru"
104,Hyundai Creta,"8,45,000",2017,"36,540 KM",PETROL,"Garuda Mall, Magrath Road, Bengaluru"
105,Mahindra TUV300,"6,53,000",2016,"73,641 KM",DIESEL,"Horamavu Agara Road, Bengaluru"
106,Ford Ecosport,"5,89,000",2017,"80,390 KM",PETROL,"Bellahalli, Bengaluru"
107,Hyundai Elite i20,"6,05,000",2015,"38,785 KM",DIESEL,"Horamavu Agara Road, Bengaluru"
108,Maruti Alto 800,"2,67,000",2015,"62,554 KM",PETROL,"Hosur Road, Singasandra, Bengaluru"
109,Maruti Swift Dzire,"6,78,000",2017,"88,411 KM",DIESEL,"Bellahalli, Bengaluru"
110,Renault Kwid,"3,76,000",2018,"72,220 KM",PETROL,"Bellahalli, Bengaluru"
