Company,CarName
Maruti,Maruti Ertiga
KIA,KIA SONET
Nissan,Nissan Micra
Hyundai,Hyundai i20 Active
Maruti,Maruti Alto
Honda,Honda BR-V
Renault,Renault Kwid
Hyundai,Hyundai i10
Hyundai,Hyundai Santro Xing
Toyota,Toyota Corolla Altis
Toyota,Toyota URBAN CRUISER
Maruti,Maruti Wagon R 1.0
Maruti,Maruti New Wagon-R
Mahindra,Mahindra TUV300
Honda,Honda City
Hyundai,Hyundai VENUE
Tata,Tata ALTROZ
Maruti,Maruti Alto K10
Ford,Ford Ecosport
Tata,Tata Tiago
Renault,Renault Duster
Maruti,Maruti Alto 800
Hyundai,Hyundai Elite i20
MG,MG HECTOR
Mahindra,Mahindra XUV500
Maruti,Maruti Swift
Volkswagen,Volkswagen Polo
Maruti,Maruti Vitara Brezza
Hyundai,Hyundai Grand i10
Maruti,Maruti Baleno
Hyundai,Hyundai Eon
Honda,Honda Jazz
Hyundai,Hyundai NEW SANTRO
Honda,Honda Amaze
Maruti,Maruti S PRESSO
Datsun,Datsun Go
Honda,Honda Brio
Toyota,Toyota Innova Crysta
Tata,Tata NEXON
Hyundai,Hyundai Verna
Hyundai,Hyundai Creta
Maruti,Maruti Ciaz
Mahindra,Mahindra XUV 3OO
Maruti,Maruti Swift Dzire
Honda,Honda WR-V
Maruti,Maruti Eeco
Maruti,Maruti Dzire
KIA,KIA SELTOS
Maruti,Maruti IGNIS
Hyundai,Hyundai Xcent
Mahindra,Mahindra Kuv100
Maruti,Maruti Celerio X
Maruti,Maruti S Cross
Toyota,Toyota YARIS
Maruti,Maruti Wagon R Stingray
Hyundai,Hyundai i20
Nissan,Nissan MAGNITE
Mahindra,Mahindra MARAZZO
Mahindra,Mahindra Scorpio
Honda,Honda Civic
Hyundai,Hyundai New Elantra
Maruti,Maruti Ritz
Datsun,Datsun Redi Go
Skoda,Skoda Rapid
Hyundai,Hyundai AURA
Hyundai,Hyundai ALCAZAR
Tata,Tata Harrier
Maruti,Maruti Celerio
Hyundai,Hyundai NEW I20
KIA,KIA CARENS
Jeep,Jeep Compass
Volkswagen,Volkswagen Ameo
Hyundai,Hyundai GRAND I10 NIOS
Toyota,Toyota Glanza
Volkswagen,Volkswagen Jetta
Tata,Tata TIGOR
Renault,Renault TRIBER
Volkswagen,Volkswagen Vento
Datsun,Datsun Go Plus
Hyundai,Hyundai NEW I20 N
Ford,Ford Figo Aspire
Ford,Ford FREESTYLE
Ford,Ford New Figo
Tata,Tata Safari
Renault,Renault Captur
