Company,CarName
Maruti,Maruti Ertiga
Hyundai,Hyundai i10
Toyota,Toyota Corolla Altis
Honda,Honda City
Maruti,Maruti Alto 800
Hyundai,Hyundai Verna
Mahindra,Mahindra XUV500
Renault,Renault Duster
Maruti,Maruti Dzire
Volkswagen,Volkswagen Jetta
Hyundai,Hyundai Elite i20
Volkswagen,Volkswagen Polo
Maruti,Maruti Swift
Renault,Renault Kwid
Honda,Honda BR-V
Hyundai,Hyundai Grand i10
Maruti,Maruti Alto K10
Hyundai,Hyundai Xcent
Toyota,Toyota Innova
Hyundai,Hyundai NEW SANTRO
Maruti,Maruti Vitara Brezza
Hyundai,Hyundai Eon
Maruti,Maruti Wagon R 1.0
Maruti,Maruti Swift Dzire
Honda,Honda Amaze
Hyundai,Hyundai Creta
Toyota,Toyota Etios Liva
Maruti,Maruti Baleno
Maruti,Maruti Zen Estilo
Maruti,Maruti XL6
Datsun,Datsun Redi Go
Tata,Tata PUNCH
Hyundai,Hyundai VENUE
Jeep,Jeep Compass
KIA,KIA SELTOS
Maruti,Maruti Celerio
Hyundai,Hyundai i20
Maruti,Maruti Ritz
Skoda,Skoda Rapid
Volkswagen,Volkswagen Ameo
Ford,Ford Ecosport
Nissan,Nissan Terrano
Mahindra,Mahindra Thar
Nissan,Nissan Micra
KIA,KIA SONET
Tata,Tata Tiago
Maruti,Maruti Ciaz
Maruti,Maruti Alto
Maruti,Maruti Celerio X
Volkswagen,Volkswagen Vento
Toyota,Toyota URBAN CRUISER
Tata,Tata Harrier
Hyundai,Hyundai i20 Active
Hyundai,Hyundai AURA
Honda,Honda CRV
Maruti,Maruti Wagon R Stingray
Honda,Honda Jazz
Tata,Tata NEXON
Maruti,Maruti New Wagon-R
Datsun,Datsun Go
Mahindra,Mahindra TUV300
Hyundai,Hyundai GRAND I10 NIOS
Renault,Renault TRIBER
Honda,Honda WR-V
Honda,Honda Brio
Toyota,Toyota Etios
Maruti,Maruti IGNIS
Hyundai,Hyundai New Elantra
Tata,Tata TIGOR
Toyota,Toyota Glanza
Mahindra,Mahindra XUV 3OO
Maruti,Maruti S PRESSO
Maruti,Maruti S Cross
Tata,Tata ALTROZ
MG,MG HECTOR
Hyundai,Hyundai NEW I20
Maruti,Maruti BREZZA
Toyota,Toyota YARIS
Tata,Tata Zest
Ford,Ford Figo Aspire
Datsun,Datsun Go Plus
