,CarName,Price,Year,KilometersDriven,Fuel Type,Location
0,Audi A4,"42,00,000",2022,"13,000 km",Petrol,"Venktagiri Nagar, Hyderabad"
1,Hyundai i20,"5,45,000",2015,"76,000 km",Diesel,"Begumpet, Secunderabad, Hyderabad"
2,Honda City,"7,35,000",2017,"53,789 km",Petrol,"Madhapur, Hyderabad"
3,Maruti Suzuki Alto-800,"2,65,000",2015,"55,000 km",Petrol,"Balkampet, Hyderabad"
4,Kia Seltos,"9,90,000",2021,"44,972 km",Petrol,"Kukatpally, Hyderabad"
5,Maruti Suzuki Swift,"5,45,000",2018,"49,824 km",Petrol,"Kukatpally, Hyderabad"
6,Hyundai Elite i20,"9,25,000",2022,"5,600 km",Diesel,"Kukatpally, Hyderabad"
7,Maruti Suzuki Vitara-Brezza,"7,95,000",2020,"12,337 km",Petrol,"Kukatpally, Hyderabad"
8,Ford Ecosport,"5,25,000",2016,"106,000 km",Diesel,"Balkampet, Hyderabad"
9,Maruti Suzuki Ciaz,"8,25,000",2019,"89,000 km",Diesel,"Balkampet, Hyderabad"
10,Maruti Suzuki Wagon-R-1-0,"2,95,000",2012,"75,000 km",CNG & Hybrids,"Balkampet, Hyderabad"
11,Maruti Suzuki Swift,"4,85,000",2014,"68,000 km",Diesel,"Balkampet, Hyderabad"
12,Kia Seltos,"12,85,000",2019,"88,000 km",Diesel,"Balkampet, Hyderabad"
13,Hyundai Santro,"4,50,000",2019,"48,000 km",Petrol,"Balkampet, Hyderabad"
14,Toyota Etios,"7,30,000",2019,"56,000 km",Diesel,"Balkampet, Hyderabad"
15,Hyundai Grand i10,"4,50,000",2016,"85,000 km",Diesel,"Balkampet, Hyderabad"
16,Toyota Etios,"7,00,000",2019,"56,000 km",Diesel,"Balkampet, Hyderabad"
17,Toyota Etios,"7,30,000",2019,"73,000 km",Diesel,"Balkampet, Hyderabad"
18,Toyota Etios,"7,00,000",2019,"84,000 km",Diesel,"Balkampet, Hyderabad"
19,Hyundai Verna,"5,50,000",2013,"87,000 km",Diesel,"Balkampet, Hyderabad"
20,Mahindra XUV500,"11,70,000",2016,"127,800 km",Diesel,"Madhapur, Hyderabad"
21,Maruti Suzuki Ertiga,"10,99,000",2022,"29,000 km",Petrol,"Balkampet, Hyderabad"
22,Hyundai i20,"6,00,000",2015,"52,800 km",Diesel,"Madhapur, Hyderabad"
23,Maruti Suzuki Celerio,"4,75,000",2016,"50,480 km",Petrol,"Madhapur, Hyderabad"
24,Maruti Suzuki Wagon-R,"3,20,000",2012,"75,000 km",Petrol,"Ameerpet, Hyderabad"
25,Maruti Suzuki Swift,"5,35,000",2016,"35,000 km",Petrol,"Kukatpally, Hyderabad"
26,Skoda Rapid,"10,99,000",2021,"8,400 km",Petrol,"Yousuf Guda, Hyderabad"
27,Jaguar F-Pace,"43,00,000",2017,"79,000 km",Diesel,"Yousuf Guda, Hyderabad"
28,Maruti Suzuki Wagon-R,"1,60,000",2009,"90,000 km",LPG,"Kukatpally, Hyderabad"
29,Mahindra XUV500,"13,45,000",2018,"33,000 km",Diesel,"Begumpet, Hyderabad"
30,Toyota Innova Crysta,"28,50,000",2021,"16,303 km",Diesel,"Kukatpally, Hyderabad"
31,Hyundai Santro Xing,"1,75,000",2008,"62,000 km",Petrol,"Balkampet, Hyderabad"
32,Maruti Suzuki Eeco,"5,50,000",2021,"33,000 km",Petrol,"Balkampet, Hyderabad"
33,Kia Sonet,"9,55,000",2022,"6,831 km",Petrol,"Kukatpally, Hyderabad"
34,Hyundai Venue,"10,75,000",2021,"11,000 km",Petrol,"Kukatpally, Hyderabad"
35,Maruti Suzuki Omni,"3,40,000",2017,"28,000 km",Petrol,"Balkampet, Hyderabad"
36,Hyundai Grand i10,"5,20,000",2015,"53,000 km",Petrol,"Yousuf Guda, Hyderabad"
37,Hyundai Grand i10,"4,95,000",2017,"85,000 km",Petrol,"Bala Nagar, Hyderabad"
38,Maruti Suzuki Eeco,"5,80,000",2022,"120,000 km",Petrol,"Balkampet, Hyderabad"
39,Jaguar F-Pace,"51,50,000",2018,"32,000 km",Diesel,"Venktagiri Nagar, Hyderabad"
40,Maruti Suzuki Swift-Dzire,"7,80,000",2021,"56,000 km",CNG & Hybrids,"Ameerpet, Hyderabad"
41,Maruti Suzuki Wagon-R,"4,85,000",2018,"53,000 km",Petrol,"Madhapur, Hyderabad"
42,MG Hector,"16,50,000",2021,"39,100 km",Petrol,"Kukatpally, Hyderabad"
43,Hyundai Creta,"13,50,000",2019,"28,529 km",Diesel,"Begumpet, Hyderabad"
44,Maruti Suzuki Ritz,"2,75,000",2015,"80,000 km",Diesel,"Begumpet, Hyderabad"
45,Maruti Suzuki Eeco,"5,25,000",2019,"28,000 km",Petrol,"BK Guda, Hyderabad"
46,Toyota Innova,"5,85,000",2010,"180,287 km",Diesel,"Madhapur, Hyderabad"
47,Ford Endeavour,"36,00,000",2020,"43,895 km",Diesel,"Madhapur, Hyderabad"
48,Renault KWID,"3,95,000",2018,"24,300 km",Petrol,"Madhapur, Hyderabad"
49,Hyundai i20,"2,90,000",2011,"72,000 km",Diesel,"Madhapur, Hyderabad"
50,Maruti Suzuki Ertiga,"8,80,000",2017,"104,000 km",Diesel,"Madhapur, Hyderabad"
51,Mahindra XUV500,"6,45,000",2013,"135,000 km",Diesel,"Madhapur, Hyderabad"
52,Toyota Fortuner,"33,25,000",2018,"97,000 km",Diesel,"Madhapur, Hyderabad"
53,Hyundai Creta,"15,35,000",2019,"49,000 km",Diesel,"Madhapur, Hyderabad"
54,Maruti Suzuki Swift,"7,25,000",2019,"39,000 km",Petrol,"Madhapur, Hyderabad"
55,Mahindra XUV500,"20,45,000",2021,"55,000 km",Diesel,"Madhapur, Hyderabad"
56,Tata Zest,"5,85,000",2020,"61,200 km",Diesel,"Balkampet, Hyderabad"
57,Jeep Compass,"28,50,000",2021,"25,000 km",Diesel,"Venktagiri Nagar, Hyderabad"
58,Hyundai Verna,"4,10,000",2012,"110,000 km",Diesel,"Kukatpally, Hyderabad"
59,Maruti Suzuki Vitara-Brezza,"7,75,000",2021,"15,504 km",Petrol,"Kukatpally, Hyderabad"
60,Chevrolet Optra Magnum,"2,10,000",2011,"124,579 km",Diesel,"Kukatpally, Hyderabad"
61,Hyundai New Santro,"5,50,000",2020,"19,989 km",Petrol,"Kukatpally, Hyderabad"
62,Hyundai Santro Xing,"1,80,000",2009,"45,000 km",Petrol,"Balkampet, Hyderabad"
63,Tata Safari,"18,90,000",2021,"29,606 km",Diesel,"Kukatpally, Hyderabad"
64,Renault KWID,"4,25,000",2021,"19,655 km",Petrol,"Kukatpally, Hyderabad"
65,Renault KWID,"3,35,000",2017,"51,000 km",Petrol,"Kukatpally, Hyderabad"
66,Honda City,"5,45,000",2016,"64,531 km",Petrol,"Kukatpally, Hyderabad"
67,Maruti Suzuki Ertiga,"8,75,000",2020,"75,443 km",Petrol,"Kukatpally, Hyderabad"
68,Hyundai Elite i20,"6,95,000",2017,"81,000 km",Petrol,"Kukatpally, Hyderabad"
69,Maruti Suzuki Wagon-R,"4,50,000",2017,"47,000 km",Petrol,"BK Guda, Hyderabad"
70,Maruti Suzuki Swift-Dzire,"7,25,000",2017,"66,000 km",Diesel,"Old Bowenpally, Secunderabad, Hyderabad"
71,Maruti Suzuki Swift-Dzire,"7,75,000",2018,"83,000 km",Diesel,"Old Bowenpally, Secunderabad, Hyderabad"
72,Honda Amaze,"6,95,000",2021,"30,600 km",Petrol,"Kukatpally, Hyderabad"
73,Maruti Suzuki Vitara-Brezza,"9,85,000",2018,"73,282 km",Diesel,"Madhapur, Hyderabad"
74,Jeep Compass,"16,00,000",2018,"26,000 km",Petrol,"Venktagiri Nagar, Hyderabad"
75,Mahindra Xylo,"2,65,000",2016,"110,000 km",Diesel,"Balkampet, Hyderabad"
76,Volkswagen Polo,"3,45,000",2012,"80,000 km",Diesel,"Madhapur, Hyderabad"
77,Mercedes-Benz M-Class,"24,50,000",2014,"160,450 km",Diesel,"Kukatpally, Hyderabad"
78,Honda City,"8,45,000",2019,"27,550 km",Petrol,"Kukatpally, Hyderabad"
79,Hyundai Venue,"12,45,000",2022,"3,834 km",Petrol,"Kukatpally, Hyderabad"
80,Maruti Suzuki Swift,"5,65,000",2017,"69,000 km",Petrol,"Balkampet, Hyderabad"
81,Hyundai Creta,"15,95,000",2022,"42,443 km",Diesel,"Kukatpally, Hyderabad"
82,Maruti Suzuki Baleno,"7,10,000",2021,"27,602 km",Petrol,"Kukatpally, Hyderabad"
83,Mahindra Bolero,"3,45,000",2012,"91,000 km",Diesel,"Kukatpally, Hyderabad"
84,Maruti Suzuki S-Cross1,"9,20,000",2018,"74,428 km",Diesel,"South Park, Hyderabad"
85,Maruti Suzuki Swift,"2,30,000",2007,"90,000 km",Petrol,"Qutbullapur, Hyderabad"
86,Honda Civic,"2,50,000",2007,"91,000 km",Petrol,"Kukatpally, Hyderabad"
87,Maruti Suzuki Omni,"2,75,000",2013,"10,000 km",Petrol,"Balkampet, Hyderabad"
88,Maruti Suzuki Ertiga,"10,55,000",2019,"45,273 km",Diesel,"Kukatpally, Hyderabad"
89,Skoda Rapid,"8,45,000",2019,"92,016 km",Diesel,"Kukatpally, Hyderabad"
90,Hyundai i20,"6,25,000",2019,"53,000 km",Petrol,"Kukatpally, Hyderabad"
