,CarName,Price,Year,KilometersDriven,Fuel Type,Location
0,Mercedes-Benz C-Class,"22,51,111",2015,"62,000 km",Diesel,"Bandra West, Mumbai"
1,Mercedes-Benz E-Class,"15,50,000",2014,"72,000 km",Diesel,"Bandra West, Mumbai"
2,Audi Q7,"39,99,999",2016,"66,000 km",Diesel,"Bandra West, Mumbai"
3,Hyundai i10,"2,99,000",2013,"12,000 km",Petrol,"Mahim, Mumbai"
4,Kia Seltos,"15,35,000",2019,"47,425 km",Diesel,"Chembur, Mumbai"
5,Maruti Suzuki Ertiga,"6,75,000",2015,"51,000 km",Petrol,"Mahim, Mumbai"
6,Tata EV,"12,95,000",2021,"31,000 km",Electric,"Chembur, Mumbai"
7,Maruti Suzuki Swift,"3,78,000",2012,"80,000 km",Diesel,"Chembur, Mumbai"
8,Hyundai Verna,"4,60,000",2013,"64,000 km",Diesel,"Chembur, Mumbai"
9,BMW 3 Series,"15,55,000",2015,"77,000 km",Diesel,"Bandra West, Mumbai"
10,Maruti Suzuki Wagon-R-1-0,"4,15,000",2017,"68,000 km",CNG & Hybrids,"Chembur, Mumbai"
11,BMW X1,"6,11,000",2012,"123,000 km",Diesel,"Chembur, Mumbai"
12,Mitsubishi Pajero Sport,"11,85,000",2016,"80,000 km",Diesel,"Chembur, Mumbai"
13,Hyundai Creta,"8,80,000",2015,"76,000 km",Diesel,"Chembur, Mumbai"
14,Maruti Suzuki Swift,"3,68,000",2012,"62,000 km",Petrol,"Chembur, Mumbai"
15,Maruti Suzuki Baleno,"5,60,000",2017,"58,000 km",Petrol,"Chembur, Mumbai"
16,BMW 7 Series,"21,85,000",2013,"45,000 km",Diesel,"Chembur, Mumbai"
17,Hyundai Creta,"9,45,000",2017,"68,000 km",Petrol,"Chembur, Mumbai"
18,Jeep Compass,"25,00,000",2021,"21,000 km",Diesel,"Matunga Road, Mumbai"
19,Toyota Innova,"8,75,000",2015,"118,367 km",Diesel,"Sion West, Mumbai"
20,Land Rover Range Rover Evoque,"39,49,999",2017,"55,830 km",Diesel,"Bandra West, Mumbai"
21,Toyota Yaris,"6,99,999",2018,"82,000 km",Petrol,"Chembur, Mumbai"
22,Honda City,"6,50,000",2015,"78,583 km",CNG & Hybrids,"Sion West, Mumbai"
23,Land Rover Discovery,"44,99,999",2019,"27,700 km",Diesel,"Bandra West, Mumbai"
24,Toyota Fortuner,"32,99,000",2017,"57,708 km",Diesel,"Kurla West, Mumbai"
25,Hyundai Verna,"8,00,000",2017,"23,000 km",Petrol,"Santacruz East, Mumbai"
26,Mahindra TUV,"6,25,000",2016,"70,000 km",Diesel,"Bandra West, Mumbai"
27,Honda City,"8,25,000",2017,"55,000 km",Diesel,"Santacruz West, Mumbai"
28,Maruti Suzuki Wagon-R,"1,10,000",2008,"55,000 km",Petrol,"Kurla West, Mumbai"
29,Mercedes-Benz B Class,"8,25,000",2015,"74,000 km",Diesel,"Bandra West, Mumbai"
30,Ford Fiesta,"1,25,000",2007,"117,000 km",Petrol,"Vile Parle East, Mumbai"
31,Tata Tiago,"4,75,000",2018,"31,800 km",Petrol,"Vile Parle East, Mumbai"
32,Maruti Suzuki Wagon-R,"5,95,000",2021,"29,000 km",CNG & Hybrids,"Sion East, Mumbai"
33,Maruti Suzuki Swift,"3,75,000",2012,"82,086 km",Petrol,"Sion West, Mumbai"
34,Toyota Innova Hycross,"3,00,000",2023,10 km,Petrol,"Bandra West, Mumbai"
35,BMW 5 Series,"18,21,000",2016,"96,500 km",Diesel,"Chembur, Mumbai"
36,Maruti Suzuki Alto-800,"2,85,000",2015,"51,000 km",CNG & Hybri..,"Chembur, Mumbai"
37,Honda Mobilio,"5,25,000",2015,"46,500 km",Petrol,"Chembur, Mumbai"
38,Toyota Innova Crysta,"17,99,000",2017,"54,369 km",Diesel,"Kurla West, Mumbai"
39,Maruti Suzuki Swift-Dzire,"7,50,000",2019,"79,000 km",Diesel,"Dadar East, Mumbai"
40,Renault Duster,"6,25,111",2016,"78,000 km",Diesel,"Bandra West, Mumbai"
41,BMW M4 Competition,"1,60,00,000",2023,"7,000 km",Petrol,"Santacruz West, Mumbai"
42,Toyota Innova Crysta,"19,51,000",2018,"78,365 km",Diesel,"Kurla West, Mumbai"
43,Maruti Suzuki S-Presso,"4,85,000",2020,"37,000 km",CNG & Hybrids,"Santacruz West, Mumbai"
44,Mercedes-Benz GL-Class,"24,00,000",2013,"85,000 km",Diesel,"Santacruz West, Mumbai"
45,Tata EV,"13,45,000",2021,"10,229 km",Electric,"Chembur, Mumbai"
46,Mercedes-Benz B Class,"17,99,000",2017,"58,000 km",Petrol,"Chembur, Mumbai"
47,Audi Q3,"15,75,000",2015,"70,000 km",Diesel,"Mahim, Mumbai"
48,Maruti Suzuki S-Cross,"5,80,000",2016,95500.0 km,Diesel,"Mahim, Mumbai"
49,Maruti Suzuki maruti-suzuki-brezza,"8,50,000",2019,"70,428 km",Diesel,"Sion West, Mumbai"
50,Hyundai Grand i10,"4,00,000",2014,"47,000 km",Petrol,"Kurla West, Mumbai"
51,Toyota Innova Crysta,"17,49,999",2016,"99,751 km",Diesel,"Chembur, Mumbai"
52,Maruti Suzuki Ritz,"4,10,000",2014,"78,000 km",Diesel,"Chembur, Mumbai"
53,Maruti Suzuki Ertiga,"6,95,000",2015,"68,408 km",CNG & ..,"Tilak Nagar, Mumbai"
54,Toyota Innova,"11,50,000",2014,"79,914 km",Diesel,"Kurla West, Mumbai"
55,Audi Q5,"9,99,998",2010,"99,999 km",Diesel,"Bandra West, Mumbai"
56,Honda City,"4,99,999",2014,"79,000 km",Electric,"Bandra West, Mumbai"
57,Honda Jazz,"5,99,000",2016,"34,356 km",Petrol,"Kurla West, Mumbai"
58,Toyota Innova Crysta,"25,51,000",2020,"60,723 km",Diesel,"Kurla West, Mumbai"
59,Maruti Suzuki Swift-Dzire,"6,25,111",2018,"26,500 km",Petrol,"Bandra West, Mumbai"
60,Audi A6,"14,75,000",2013,"26,221 km",Diesel,"Santacruz West, Mumbai"
61,Honda Brio,"3,40,000",2012,"58,309 km",Petrol,"Chembur, Mumbai"
62,Toyota Innova Crysta,"17,40,000",2017,"93,000 km",Diesel,"Khar West, Mumbai"
63,Hyundai Venue,"12,45,000",2022,"5,000 km",Petrol,"Santacruz West, Mumbai"
64,Mercedes-Benz E-Class,"8,75,000",2012,"67,000 km",Petrol,"Mahim, Mumbai"
65,Honda City,"6,75,000",2015,"69,000 km",Diesel,"Sion West, Mumbai"
66,Chevrolet Beat,"1,35,000",2010,"89,700 km",Petrol,"Kurla West, Mumbai"
67,Tata Nexon,"14,19,999",2022,"20,630 km",Diesel,"Bandra West, Mumbai"
68,Toyota Glanza,"7,75,000",2019,"33,824 km",Petrol,"Kurla West, Mumbai"
69,Renault Duster,"5,65,000",2015,"68,000 km",Diesel,"Mahim, Mumbai"
70,Toyota Camry,"13,25,000",2014,"40,000 km",Petrol,"Khar West, Mumbai"
71,Toyota Innova,"5,78,000",2011,"110,000 km",Diesel,"Chembur, Mumbai"
72,Toyota Innova Crysta,"19,85,000",2019,"109,000 km",Diesel,"Chembur, Mumbai"
73,Mercedes-Benz C-Class,"7,55,000",2011,"72,000 km",Diesel,"Chembur, Mumbai"
74,Hyundai i10,"2,68,000",2011,"64,000 km",Petrol,"Chembur, Mumbai"
75,Volkswagen VentoTest,"3,45,000",2012,"61,000 km",Petrol,"Chembur, Mumbai"
76,Ford Figo Aspire,"3,45,000",2015,"66,700 km",CNG & Hybrids,"Chembur, Mumbai"
77,Mercedes-Benz GLE Class,"48,75,000",2018,"38,000 km",Diesel,"Bandra West, Mumbai"
78,Honda WRV,"7,95,000",2018,"34,000 km",Petrol,"Chembur, Mumbai"
79,Maruti Suzuki Swift-Dzire,"5,25,000",2015,"22,882 km",Petrol,"Vile Parle East, Mumbai"
80,Maruti Suzuki Swift-Dzire,"2,02,000",2009,"93,000 km",Petrol,"Santacruz West, Mumbai"
81,Honda City,"4,35,000",2012,"30,000 km",Petrol,"Bandra West, Mumbai"
82,Maruti Suzuki Swift-Dzire,"7,11,000",2018,"74,000 km",Diesel,"Vile Parle West, Mumbai"
83,Hyundai Creta,"10,50,000",2018,"49,000 km",Petrol,"Chembur, Mumbai"
84,Tata Tigor,"4,95,000",2017,"34,000 km",Petrol,"Chembur, Mumbai"
85,Hyundai Elantra,"7,25,000",2014,"71,000 km",Diesel,"Chembur, Mumbai"
86,Hyundai i20,"3,69,000",2012,"75,000 km",Diesel,"Chembur, Mumbai"
87,Honda City,"6,65,000",2016,"65,000 km",Petrol,"Dadar East, Mumbai"
88,Maruti Suzuki Ertiga,"10,40,000",2021,"86,864 km",Petrol,"Matunga East, Mumbai"
89,Maruti Suzuki Wagon-R,"3,55,000",2016,"140,782 km",Petrol,"Bandra East, Mumbai"
90,Maruti Suzuki Ertiga,"10,25,000",2020,"28,000 km",Electric,"Bandra West, Mumbai"
91,Toyota Innova,"10,50,000",2016,"94,000 km",Diesel,"Bandra West, Mumbai"
92,Maruti Suzuki XL6,"10,75,000",2020,"16,806 km",Petrol,"Chembur, Mumbai"
93,Volkswagen Passat,"9,75,000",2012,"35,000 km",Diesel,"Chembur, Mumbai"
94,Maruti Suzuki Ritz,"1,85,000",2010,"58,346 km",Petrol,"Chembur, Mumbai"
95,Nissan Sunny,"2,95,000",2013,"77,000 km",Petrol,"Vile Parle East, Mumbai"
96,Toyota Corolla Altis,"15,50,000",2019,"24,500 km",Petrol,"Chembur, Mumbai"
97,Audi A8 L,"19,25,000",2012,"58,000 km",Diesel,"Vile Parle East, Mumbai"
98,Maruti Suzuki maruti-suzuki-dzire,"7,15,000",2018,"27,000 km",Petrol,"Chembur, Mumbai"
99,BMW X7,"1,19,00,000",2021,"7,000 km",Petrol,"Bandra West, Mumbai"
100,BMW 3 Series,"45,99,000",2020,"19,800 km",Petrol,"Bandra West, Mumbai"
101,Toyota Innova,"5,50,000",2010,"149,754 km",Diesel,"Kurla West, Mumbai"
102,Audi A6,"19,49,999",2016,"68,000 km",Diesel,"Bandra West, Mumbai"
103,Hyundai Creta,"19,49,999",2022,"13,500 km",Diesel,"Bandra West, Mumbai"
104,BMW X3,"39,99,000",2019,"73,000 km",Diesel,"Mahim, Mumbai"
105,Mercedes-Benz C-Class,"5,25,000",2011,"63,000 km",Petrol,"Bandra West, Mumbai"
106,Hyundai i20,"3,60,000",2013,"51,000 km",Petrol,"Chembur, Mumbai"
107,Maruti Suzuki S-Cross,"5,99,900",2015,"84,000 km",Diesel,"Chembur, Mumbai"
108,Volkswagen Polo,"2,75,000",2012,"67,000 km",Diesel,"Chembur, Mumbai"
109,Renault Duster,"3,78,000",2012,"80,000 km",Diesel,"Chembur, Mumbai"
110,Toyota Land Cruiser Prado,"9,99,999",2007,"214,000 km",Petrol,"Bandra West, Mumbai"
111,Toyota Urban Cruiser,"10,99,000",2022,"3,242 km",Petrol,"Kurla West, Mumbai"
112,Maruti Suzuki S-Presso,"4,85,000",2020,"37,354 km",Petrol,"Guru Teg Bahadur Nagar, Mumbai"
113,Maruti Suzuki Wagon-R-1-0,"2,45,000",2011,"62,000 km",Petrol,"Khar West, Mumbai"
114,Hyundai i20,"3,60,000",2012,"69,000 km",Petrol,"Wadala West, Mumbai"
115,Maruti Suzuki Swift,"3,90,000",2014,"68,000 km",Petrol,"Dadar East, Mumbai"
116,Audi A8 L,"23,50,000",2012,"36,326 km",Diesel,"Santacruz West, Mumbai"
117,Nissan Terrano,"5,00,000",2013,"84,000 km",Diesel,"Matunga Road, Mumbai"
118,Honda Brio,"3,10,000",2013,"68,000 km",Petrol,"Matunga Road, Mumbai"
119,Mercedes-Benz A-class Limousine,"41,90,000",2021,"4,500 km",Petrol,"Vile Parle West, Mumbai"
