CarName,Price,Year,KilometersDriven,Fuel Type,Location
Toyota Fortuner,"12,50,000",2014,"145,000 km",Diesel,"Pitampura, Delhi"
MG Hector,"16,50,000",2021,"35,000 km",Petrol,"Pitampura, Delhi"
Honda Amaze,"4,30,000",2015,"65,000 km",Petrol,"MBS Nagar, Delhi"
BMW X1,"30,25,000",2019,"33,000 km",Diesel,"Punjabi Bagh West, Delhi"
Audi Q3,"9,75,000",2014,"65,000 km",Diesel,"Pushpanjali Enclave, Delhi"
Hyundai Creta,"9,25,000",2017,"40,000 km",Petrol,"Paschim Vihar, Delhi"
Maruti Suzuki Swift,"5,39,000",2020,"60,000 km",Petrol,"Saraswati Vihar, Delhi"
Maruti Suzuki Swift,"3,89,000",2014,"64,000 km",Petrol,"Rohini Institutional Area, Delhi"
Maruti Suzuki Swift-Dzire,"3,65,000",2013,"67,000 km",Petro..,"Rohini Avantika, Delhi"
Maruti Suzuki Ciaz,"5,50,000",2017,"86,000 km",Diesel,"Paschim Vihar, Delhi"
Maruti Suzuki Ertiga,"6,60,000",2015,"29,000 km",Petrol,"Pitampura, Delhi"
Maruti Suzuki Alto-800,"2,40,000",2014,"240,003 km",Petrol,"Ramesh Nagar, Delhi"
Ford Figo Aspire,"4,85,000",2017,"7,000 km",Petrol,"Pitampura, Delhi"
Maruti Suzuki Vitara-Brezza,"8,25,000",2018,"68,000 km",Diesel,"Ramesh Nagar, Delhi"
Hyundai Creta,"13,75,000",2021,"12,000 km",Petrol,"Pitampura, Delhi"
Maruti Suzuki Vitara-Brezza,"9,90,000",2022,"3,200 km",Petrol,"Pitampura, Delhi"
Mercedes-Benz GLS,"1,15,00,000",2021,"22,000 km",Petrol,"Pitampura, Delhi"
Volkswagen Passat,"3,95,000",2011,"72,000 km",Diesel,"Punjabi Bagh West, Delhi"
Maruti Suzuki Celerio,"4,21,000",2015,"35,000 km",Petrol,"Punjabi Bagh West, Delhi"
Toyota Etios,"2,00,000",2011,"65,000 km",Petrol,"Pitampura, Delhi"
Audi A3,"12,75,000",2016,"62,000 km",Diesel,"Vikaspuri, Delhi"
Maruti Suzuki Vitara-Brezza,"14,00,000",2022,"30,000 km",Petrol,"Tilak Nagar, Delhi"
Maruti Suzuki Ciaz,"5,61,000",2017,"38,500 km",Diesel,"Rajouri Garden, Delhi"
Ford Figo,"2,00,000",2013,"49,000 km",Petrol,"Rohini Sector 7, Delhi"
Maruti Suzuki Ertiga,"11,50,000",2022,"210,000 km",Petrol,"Rajouri Garden, Delhi"
Hyundai i10,"1,75,000",2011,"83,000 km",Petrol,"Punjabi Bagh West, Delhi"
Hyundai Creta,"15,25,000",2022,"1,300 km",Petrol,"Vikaspuri, Delhi"
Renault Kiger,"7,21,000",2022,"22,000 km",Petrol,"Rajouri Garden, Delhi"
Honda Amaze,"7,25,000",2019,"13,000 km",Petrol,"Pitampura, Delhi"
Maruti Suzuki Baleno,"7,25,000",2020,"28,000 km",Petrol,"Vikaspuri, Delhi"
Maruti Suzuki Celerio,"3,95,000",2017,"40,000 km",Petrol,"Rajouri Garden, Delhi"
Volkswagen VentoTest,"4,50,000",2014,"70,000 km",Petrol,"Pitampura, Delhi"
Maruti Suzuki Zen-Estilo,"1,35,000",2010,"79,000 km",Petrol,"Rohini Sector 3, Delhi"
Tata Nexon,"7,25,000",2019,"62,000 km",Petrol,"Rohini Sector 4, Delhi"
Maruti Suzuki Swift,"6,75,000",2021,"20,000 km",Petrol,"Bali Nagar, Delhi"
Maruti Suzuki Ertiga,"10,50,000",2022,"25,000 km",Petrol,"Vikaspuri, Delhi"
Maruti Suzuki Wagon-R,"5,40,000",2022,"20,000 km",CNG & Hybrids,"Pitampura, Delhi"
Hyundai Grand i10,"3,95,000",2016,"65,830 km",CNG & Hybrids,"Paschim Vihar, Delhi"
Maruti Suzuki S-Presso,"3,65,000",2020,"48,000 km",Petrol,"Pitampura, Delhi"
Hyundai i20,"8,00,000",2022,"5,000 km",Petrol,"Pitampura, Delhi"
Mercedes-Benz CLA,"27,75,000",2018,"21,000 km",Petrol,"Vikaspuri, Delhi"
Ford Endeavour,"23,90,000",2017,"61,000 km",Diesel,"Vikaspuri, Delhi"
Audi Q7,"14,75,000",2013,"28,000 km",Diesel,"Pitampura, Delhi"
Mahindra XUV500,"8,95,000",2016,"56,000 km",Diesel,"Ramesh Nagar, Delhi"
Mercedes-Benz GLC Class,"69,50,000",2020,"38,000 km",Diesel,"Pitampura, Delhi"
Hyundai i10,"1,50,000",2011,"71,000 km",CNG & Hybrids,"Meera Bagh, Delhi"
Maruti Suzuki Baleno,"4,70,000",2016,"61,000 km",CNG & Hybrids,"Pitampura, Delhi"
Hyundai New i20,"7,91,000",2021,"25,400 km",Petrol,"Vikaspuri, Delhi"
Maruti Suzuki S-Cross1,"6,25,000",2017,"64,000 km",Diesel,"Pitampura, Delhi"
Maruti Suzuki Swift,"3,10,000",2012,65000.0 km,Petrol,"Peera Garhi, Delhi"
Toyota Corolla Altis,"10,50,001",2018,"71,000 km",Petrol,"Rajouri Garden, Delhi"
Toyota Etios,"2,70,000",2011,"70,000 km",Petrol,"Pitampura, Delhi"
Maruti Suzuki Ciaz,"6,21,000",2016,"29,000 km",Petrol,"Rajouri Garden, Delhi"
Ford Ecosport,"5,25,000",2017,"62,000 km",Diesel,"Pitampura, Delhi"
Ford Ecosport,"4,25,000",2015,"66,000 km",Diesel,"Pitampura, Delhi"
Honda City,"7,55,000",2018,"62,000 km",Petrol,"Pitampura, Delhi"
Honda City,"5,55,000",2016,"52,000 km",Petrol,"Pitampura, Delhi"
Land Rover Defender,"1,10,00,000",2021,"26,000 km",Petrol,"Rajouri Garden, Delhi"
Mercedes-Benz GLS,"24,00,000",2014,"120,000 km",Diesel,"Paschim Vihar, Delhi"
Honda Mobilio,"4,95,000",2015,"63,000 km",Petrol,"Pitampura, Delhi"
Mercedes-Benz C-Class,"23,75,000",2018,"10,000 km",Diesel,"Pitampura, Delhi"
Maruti Suzuki Swift-Dzire,"5,95,000",2019,"53,000 km",Petrol,"Pitampura, Delhi"
Maruti Suzuki Swift-Dzire,"6,25,000",2020,"43,000 km",Petrol,"Pitampura, Delhi"
Ford Ecosport,"5,25,000",2017,"65,000 km",Diesel,"Pitampura, Delhi"
Ford Ecosport,"4,15,000",2015,"67,000 km",Diesel,"Pitampura, Delhi"
Honda City,"5,95,000",2015,"58,000 km",Petrol,"Pitampura, Delhi"
