CarName,Price,Year,KilometersDriven,Fuel Type,Location
Audi A4,"42,00,000",2022,"13,000 km",Petrol,"Venktagiri Nagar, Hyderabad"
Hyundai i20,"5,45,000",2015,"76,000 km",Diesel,"Begumpet, Secunderabad"
Honda City,"7,35,000",2017,"53,789 km",Petrol,"Madhapur, Hyderabad"
Maruti Suzuki Alto-800,"2,65,000",2015,"55,000 km",Petrol,"Balkampet, Hyderabad"
Kia Seltos,"9,90,000",2021,"44,972 km",Petrol,"Kukatpally, Hyderabad"
Maruti Suzuki Swift,"5,45,000",2018,"49,824 km",Petrol,"Kukatpally, Hyderabad"
Hyundai Elite i20,"9,25,000",2022,"5,600 km",Diesel,"Kukatpally, Hyderabad"
Maruti Suzuki Vitara-Brezza,"7,95,000",2020,"12,337 km",Petrol,"Kukatpally, Hyderabad"
Ford Ecosport,"5,25,000",2016,"106,000 km",Diesel,"Balkampet, Hyderabad"
Maruti Suzuki Ciaz,"8,25,000",2019,"89,000 km",Diesel,"Balkampet, Hyderabad"
Maruti Suzuki Wagon-R-1-0,"2,95,000",2012,"75,000 km",CNG & Hybrids,"Balkampet, Hyderabad"
Maruti Suzuki Swift,"4,85,000",2014,"68,000 km",Diesel,"Balkampet, Hyderabad"
Kia Seltos,"12,85,000",2019,"88,000 km",Diesel,"Balkampet, Hyderabad"
Hyundai Santro,"4,50,000",2019,"48,000 km",Petrol,"Balkampet, Hyderabad"
Toyota Etios,"7,30,000",2019,"56,000 km",Diesel,"Balkampet, Hyderabad"
Hyundai Grand i10,"4,50,000",2016,"85,000 km",Diesel,"Balkampet, Hyderabad"
Toyota Etios,"7,00,000",2019,"56,000 km",Diesel,"Balkampet, Hyderabad"
Toyota Etios,"7,30,000",2019,"73,000 km",Diesel,"Balkampet, Hyderabad"
Toyota Etios,"7,00,000",2019,"84,000 km",Diesel,"Balkampet, Hyderabad"
Hyundai Verna,"5,50,000",2013,"87,000 km",Diesel,"Balkampet, Hyderabad"
Mahindra XUV500,"11,70,000",2016,"127,800 km",Diesel,"Madhapur, Hyderabad"
Maruti Suzuki Ertiga,"10,99,000",2022,"29,000 km",Petrol,"Balkampet, Hyderabad"
Hyundai i20,"6,00,000",2015,"52,800 km",Diesel,"Madhapur, Hyderabad"
Maruti Suzuki Celerio,"4,75,000",2016,"50,480 km",Petrol,"Madhapur, Hyderabad"
Maruti Suzuki Wagon-R,"3,20,000",2012,"75,000 km",Petrol,"Ameerpet, Hyderabad"
Maruti Suzuki Swift,"5,35,000",2016,"35,000 km",Petrol,"Kukatpally, Hyderabad"
Skoda Rapid,"10,99,000",2021,"8,400 km",Petrol,"Yousuf Guda, Hyderabad"
Jaguar F-Pace,"43,00,000",2017,"79,000 km",Diesel,"Yousuf Guda, Hyderabad"
Maruti Suzuki Wagon-R,"1,60,000",2009,"90,000 km",LPG,"Kukatpally, Hyderabad"
Mahindra XUV500,"13,45,000",2018,"33,000 km",Diesel,"Begumpet, Hyderabad"
Toyota Innova Crysta,"28,50,000",2021,"16,303 km",Diesel,"Kukatpally, Hyderabad"
Hyundai Santro Xing,"1,75,000",2008,"62,000 km",Petrol,"Balkampet, Hyderabad"
Maruti Suzuki Eeco,"5,50,000",2021,"33,000 km",Petrol,"Balkampet, Hyderabad"
Kia Sonet,"9,55,000",2022,"6,831 km",Petrol,"Kukatpally, Hyderabad"
Hyundai Venue,"10,75,000",2021,"11,000 km",Petrol,"Kukatpally, Hyderabad"
Maruti Suzuki Omni,"3,40,000",2017,"28,000 km",Petrol,"Balkampet, Hyderabad"
Hyundai Grand i10,"5,20,000",2015,"53,000 km",Petrol,"Yousuf Guda, Hyderabad"
Hyundai Grand i10,"4,95,000",2017,"85,000 km",Petrol,"Bala Nagar, Hyderabad"
Maruti Suzuki Eeco,"5,80,000",2022,"120,000 km",Petrol,"Balkampet, Hyderabad"
Jaguar F-Pace,"51,50,000",2018,"32,000 km",Diesel,"Venktagiri Nagar, Hyderabad"
Maruti Suzuki Swift-Dzire,"7,80,000",2021,"56,000 km",CNG & Hybrids,"Ameerpet, Hyderabad"
Maruti Suzuki Wagon-R,"4,85,000",2018,"53,000 km",Petrol,"Madhapur, Hyderabad"
MG Hector,"16,50,000",2021,"39,100 km",Petrol,"Kukatpally, Hyderabad"
Hyundai Creta,"13,50,000",2019,"28,529 km",Diesel,"Begumpet, Hyderabad"
Maruti Suzuki Ritz,"2,75,000",2015,"80,000 km",Diesel,"Begumpet, Hyderabad"
Maruti Suzuki Eeco,"5,25,000",2019,"28,000 km",Petrol,"BK Guda, Hyderabad"
Toyota Innova,"5,85,000",2010,"180,287 km",Diesel,"Madhapur, Hyderabad"
Ford Endeavour,"36,00,000",2020,"43,895 km",Diesel,"Madhapur, Hyderabad"
Renault KWID,"3,95,000",2018,"24,300 km",Petrol,"Madhapur, Hyderabad"
Hyundai i20,"2,90,000",2011,"72,000 km",Diesel,"Madhapur, Hyderabad"
Maruti Suzuki Ertiga,"8,80,000",2017,"104,000 km",Diesel,"Madhapur, Hyderabad"
Mahindra XUV500,"6,45,000",2013,"135,000 km",Diesel,"Madhapur, Hyderabad"
Toyota Fortuner,"33,25,000",2018,"97,000 km",Diesel,"Madhapur, Hyderabad"
Hyundai Creta,"15,35,000",2019,"49,000 km",Diesel,"Madhapur, Hyderabad"
Maruti Suzuki Swift,"7,25,000",2019,"39,000 km",Petrol,"Madhapur, Hyderabad"
Mahindra XUV500,"20,45,000",2021,"55,000 km",Diesel,"Madhapur, Hyderabad"
Tata Zest,"5,85,000",2020,"61,200 km",Diesel,"Balkampet, Hyderabad"
Jeep Compass,"28,50,000",2021,"25,000 km",Diesel,"Venktagiri Nagar, Hyderabad"
Hyundai Verna,"4,10,000",2012,"110,000 km",Diesel,"Kukatpally, Hyderabad"
Maruti Suzuki Vitara-Brezza,"7,75,000",2021,"15,504 km",Petrol,"Kukatpally, Hyderabad"
Chevrolet Optra Magnum,"2,10,000",2011,"124,579 km",Diesel,"Kukatpally, Hyderabad"
Hyundai New Santro,"5,50,000",2020,"19,989 km",Petrol,"Kukatpally, Hyderabad"
Hyundai Santro Xing,"1,80,000",2009,"45,000 km",Petrol,"Balkampet, Hyderabad"
Tata Safari,"18,90,000",2021,"29,606 km",Diesel,"Kukatpally, Hyderabad"
Renault KWID,"4,25,000",2021,"19,655 km",Petrol,"Kukatpally, Hyderabad"
Renault KWID,"3,35,000",2017,"51,000 km",Petrol,"Kukatpally, Hyderabad"
Honda City,"5,45,000",2016,"64,531 km",Petrol,"Kukatpally, Hyderabad"
Maruti Suzuki Ertiga,"8,75,000",2020,"75,443 km",Petrol,"Kukatpally, Hyderabad"
Hyundai Elite i20,"6,95,000",2017,"81,000 km",Petrol,"Kukatpally, Hyderabad"
Maruti Suzuki Wagon-R,"4,50,000",2017,"47,000 km",Petrol,"BK Guda, Hyderabad"
Maruti Suzuki Swift-Dzire,"7,25,000",2017,"66,000 km",Diesel,"Old Bowenpally, Secunderabad"
Maruti Suzuki Swift-Dzire,"7,75,000",2018,"83,000 km",Diesel,"Old Bowenpally, Secunderabad"
Honda Amaze,"6,95,000",2021,"30,600 km",Petrol,"Kukatpally, Hyderabad"
Maruti Suzuki Vitara-Brezza,"9,85,000",2018,"73,282 km",Diesel,"Madhapur, Hyderabad"
Jeep Compass,"16,00,000",2018,"26,000 km",Petrol,"Venktagiri Nagar, Hyderabad"
Mahindra Xylo,"2,65,000",2016,"110,000 km",Diesel,"Balkampet, Hyderabad"
Volkswagen Polo,"3,45,000",2012,"80,000 km",Diesel,"Madhapur, Hyderabad"
Mercedes-Benz M-Class,"24,50,000",2014,"160,450 km",Diesel,"Kukatpally, Hyderabad"
Honda City,"8,45,000",2019,"27,550 km",Petrol,"Kukatpally, Hyderabad"
Hyundai Venue,"12,45,000",2022,"3,834 km",Petrol,"Kukatpally, Hyderabad"
Maruti Suzuki Swift,"5,65,000",2017,"69,000 km",Petrol,"Balkampet, Hyderabad"
Hyundai Creta,"15,95,000",2022,"42,443 km",Diesel,"Kukatpally, Hyderabad"
Maruti Suzuki Baleno,"7,10,000",2021,"27,602 km",Petrol,"Kukatpally, Hyderabad"
Mahindra Bolero,"3,45,000",2012,"91,000 km",Diesel,"Kukatpally, Hyderabad"
Maruti Suzuki S-Cross1,"9,20,000",2018,"74,428 km",Diesel,"South Park, Hyderabad"
Maruti Suzuki Swift,"2,30,000",2007,"90,000 km",Petrol,"Qutbullapur, Hyderabad"
Honda Civic,"2,50,000",2007,"91,000 km",Petrol,"Kukatpally, Hyderabad"
Maruti Suzuki Omni,"2,75,000",2013,"10,000 km",Petrol,"Balkampet, Hyderabad"
Maruti Suzuki Ertiga,"10,55,000",2019,"45,273 km",Diesel,"Kukatpally, Hyderabad"
Skoda Rapid,"8,45,000",2019,"92,016 km",Diesel,"Kukatpally, Hyderabad"
Hyundai i20,"6,25,000",2019,"53,000 km",Petrol,"Kukatpally, Hyderabad"
Hyundai i10,"3,40,000",2011,"55,000 km",Petrol,"Balkampet, Hyderabad"
Volkswagen VentoTest,"3,40,000",2011,"130,000 km",Diesel,"Balkampet, Hyderabad"
Tata Bolt,"2,95,000",2016,"85,000 km",Diesel,"Balkampet, Hyderabad"
Mercedes-Benz GLE Class,"79,49,000",2020,"29,019 km",Diesel,"Madhapur, Hyderabad"
Maruti Suzuki Vitara-Brezza,"7,80,000",2017,"100,000 km",Diesel,"Balkampet, Hyderabad"
Maruti Suzuki Wagon-R-1-0,"2,15,000",2011,"122,000 km",Petrol,"Balkampet, Hyderabad"
Maruti Suzuki Swift,"7,39,000",2022,"27,000 km",Petrol,"BK Guda, Hyderabad"
Hyundai i20,"4,50,000",2013,"98,000 km",Petrol,"BK Guda, Hyderabad"
Mercedes-Benz GLC Class,"34,50,000",2017,"91,794 km",Diesel,"Madhapur, Hyderabad"
Honda City,"6,60,000",2016,"97,000 km",Diesel,"Bowenpally, Hyderabad"
Hyundai Venue,"14,69,000",2023,"11,000 km",Diesel,"Yousuf Guda, Hyderabad"
Maruti Suzuki Swift,"5,45,000",2014,"86,000 km",Diesel,"Madhapur, Hyderabad"
Maruti Suzuki Vitara-Brezza,"9,65,000",2021,"12,228 km",Petrol,"Kukatpally, Hyderabad"
Honda City,"7,60,000",2017,"37,666 km",Petrol,"Madhapur, Hyderabad"
Maruti Suzuki XL6,"11,50,000",2019,"60,000 km",Petrol,"Sanath Nagar, Hyderabad"
Honda City ZX,"13,50,000",2021,"26,000 km",Petrol,"Balkampet, Hyderabad"
Honda City ZX,"2,50,000",2007,"60,000 km",Petrol,"Sundar Nagar, Hyderabad"
Maruti Suzuki Wagon-R,"1,95,000",2007,"80,000 km",LPG,"Anjaneya Nagar, Hyderabad"
Tata Indica Ev2,"1,95,000",2015,"88,000 km",Diesel,"Balkampet, Hyderabad"
Maruti Suzuki Wagon-R-1-0,"4,60,000",2016,"68,000 km",Petrol,"BK Guda, Hyderabad"
BMW X5,"67,50,000",2019,"37,998 km",Diesel,"Madhapur, Hyderabad"
Mahindra Xylo,"5,40,000",2018,"90,000 km",Diesel,"Balkampet, Hyderabad"
Maruti Suzuki Swift-Dzire,"3,60,000",2009,"106,947 km",Diesel,"Madhapur, Hyderabad"
Mahindra Thar,"16,50,000",2021,"32,100 km",Diesel,"Kukatpally, Hyderabad"
Hyundai i20,"7,45,000",2017,"51,000 km",Diesel,"Madhapur, Hyderabad"
Hyundai i10,"2,65,000",2011,"60,000 km",Petrol,"Panjagutta, Hyderabad"
Skoda Rapid,"4,00,000",2015,"77,000 km",..,"Madhapur, Hyderabad"
Maruti Suzuki Ertiga,"6,00,000",2012,"98,000 km",Diesel,"Balkampet, Hyderabad"
Hyundai i10,"3,20,000",2013,"38,000 km",Petrol,"Balkampet, Hyderabad"
Maruti Suzuki Vitara-Brezza,"9,00,000",2019,"75,173 km",Diesel,"Madhapur, Hyderabad"
Maruti Suzuki S-Cross1,"9,20,000",2018,"74,428 km",Diesel,"Madhapur, Hyderabad"
Maruti Suzuki Eeco,"4,50,000",2017,"63,000 km",CNG & Hybrids,"Balkampet, Hyderabad"
Mahindra Marazzo,"8,80,000",2020,"71,000 km",Diesel,"Balkampet, Hyderabad"
Hyundai i20,"8,75,000",2019,"36,000 km",Petrol,"Madhapur, Hyderabad"
Hyundai i20,"8,75,000",2018,"76,000 km",Petrol,"Madhapur, Hyderabad"
Mahindra XUV500,"16,75,000",2019,"91,000 km",Diesel,"Madhapur, Hyderabad"
Maruti Suzuki Swift,"4,95,000",2014,"96,000 km",Diesel,"Kukatpally, Hyderabad"
Hyundai Santro Xing,"1,60,000",2010,"44,000 km",Petrol,"Kukatpally, Hyderabad"
Maruti Suzuki Swift-Dzire,"7,50,000",2018,"98,000 km",Petrol,"Moosapet, Hyderabad"
Toyota Innova Crysta,"19,75,000",2018,"47,977 km",Diesel,"Madhapur, Hyderabad"
Maruti Suzuki Swift-Dzire,"6,20,000",2018,"92,000 km",Diesel,"Balkampet, Hyderabad"
Maruti Suzuki S-Cross,"9,75,000",2019,"93,000 km",Diesel,"Ameerpet, Hyderabad"
Hyundai Verna,"9,45,000",2020,"40,489 km",Petrol,"Madhapur, Hyderabad"
Ford Ecosport,"8,45,000",2019,"70,179 km",Petrol,"Madhapur, Hyderabad"
BMW X3,"49,00,000",2019,"57,700 km",Diesel,"Madhapur, Hyderabad"
Maruti Suzuki Wagon-R,"3,65,000",2014,"90,000 km",LPG,"Old Bowenpally Sri Sai Enclave, Secunderabad"
Maruti Suzuki Swift,"6,95,000",2018,"81,000 km",Diesel,"Old Bowenpally Sri Sai Enclave, Secunderabad"
Renault KWID,"5,25,000",2021,"28,000 km",Petrol,"Old Bowenpally Sri Sai Enclave, Secunderabad"
BMW X3,"38,00,000",2017,"54,000 km",Diesel,"Venktagiri Nagar, Hyderabad"
Hyundai i20 Active,"5,95,000",2017,"80,000 km",Petrol,"Panjagutta, Hyderabad"
Hyundai Xcent,"4,45,000",2015,"80,000 km",Petrol,"Panjagutta, Hyderabad"
Maruti Suzuki Swift-Dzire,"3,90,000",2011,"73,000 km",Diesel,"Balkampet, Hyderabad"
Audi Q3,"15,50,000",2013,"76,000 km",Diesel,"Madhapur, Hyderabad"
BMW X5,"38,50,000",2016,"110,000 km",Diesel,"Madhapur, Hyderabad"
Honda City,"8,25,000",2017,"74,000 km",Petrol,"Begumpet, Hyderabad"
Hyundai Xcent Prime,"3,80,000",2016,"112,467 km",Diesel,"Madhapur, Hyderabad"
Toyota Innova Crysta,"20,95,000",2019,"123,000 km",Diesel,"Balkampet, Hyderabad"
Ford Ecosport,"6,95,000",2016,"72,000 km",Diesel,"Old Bowenpally Sri Sai Enclave, Secunderabad"
Tata Nexon,"8,95,000",2018,"100,000 km",Diesel,"Old Bowenpally Sri Sai Enclave, Secunderabad"
Tata Tiago,"5,45,000",2017,"62,000 km",Petrol,"Kukatpally, Hyderabad"
Mini Cooper Countryman,"36,50,000",2019,"27,000 km",Petrol,"Venktagiri Nagar, Hyderabad"
Audi A6,"50,00,000",2020,"24,000 km",Petrol,"Madhapur, Hyderabad"
Honda Amaze,"5,85,000",2015,"30,000 km",Petrol,"Madhapur, Hyderabad"
Renault KWID,"4,10,000",2018,"86,000 km",Petrol,"Old Bowenpally Sri Sai Enclave, Secunderabad"
Maruti Suzuki Baleno,"6,75,000",2019,"27,000 km",Petrol,"Venktagiri Nagar, Hyderabad"
Mercedes-Benz GLC Class,"59,00,000",2017,"27,000 km",Petrol,"Venktagiri Nagar, Hyderabad"
Volkswagen Polo,"5,10,000",2016,"88,363 km",Diesel,"Balkampet, Hyderabad"
Hyundai Grand i10,"4,75,000",2017,"89,242 km",Diesel,"Balkampet, Hyderabad"
Volkswagen VentoTest,"2,95,000",2011,"68,963 km",Petrol,"Balkampet, Hyderabad"
Toyota Etios,"2,90,000",2011,"69,853 km",Petrol,"Balkampet, Hyderabad"
Maruti Suzuki maruti-suzuki-dzire,"7,60,000",2018,"53,000 km",Petrol,"Madhapur, Hyderabad"
Maruti Suzuki Eeco,"2,95,000",2014,"61,563 km",Petrol,"Balkampet, Hyderabad"
Hyundai i10,"3,90,000",2013,"29,000 km",Petrol,"BK Guda, Hyderabad"
Hyundai Elite i20,"7,60,000",2017,"77,000 km",Diesel,"BK Guda, Hyderabad"
Mahindra XUV700,"30,00,000",2022,"17,000 km",Diesel,"Balkampet, Hyderabad"
Hyundai Verna,"7,50,000",2016,"45,499 km",Diesel,"BK Guda, Hyderabad"
Hyundai Venue,"9,15,000",2019,"61,000 km",Petrol,"Begumpet, Hyderabad"
Tata Zest,"3,90,000",2016,"150,000 km",Diesel,"Balkampet, Hyderabad"
Toyota Innova,"11,80,000",2015,"120,000 km",Diesel,"Madhapur, Hyderabad"
Maruti Suzuki Ertiga,"11,90,000",2021,"32,000 km",Petrol,"Madhapur, Hyderabad"
Honda Amaze,"4,35,000",2014,"57,000 km",Petrol,"Old Bowenpally, Secunderabad"
Tata Vista Tech,"1,85,000",2011,"87,945 km",Diesel,"Begumpet, Secunderabad"
Hyundai i10,"2,50,000",2010,"86,000 km",Petrol,"Qutbullapur, Hyderabad"
Chevrolet Spark,"1,40,000",2008,"80,000 km",Petrol,"Qutbullapur, Hyderabad"
Maruti Suzuki Alto-K10,"2,10,000",2011,"73,000 km",Petrol,"Begumpet, Secunderabad"
Skoda Octavia,"2,65,000",2008,"125,000 km",Diesel,"Kukatpally, Hyderabad"
Tata Harrier,"20,50,000",2021,"56,000 km",Diesel,"Madhapur, Hyderabad"
MG Hector,"20,50,000",2020,"27,000 km",Petrol,"Old Bowenpally, Secunderabad"
Nissan Terrano,"3,95,000",2014,"87,000 km",Diesel,"Balkampet, Hyderabad"
Hyundai Elite i20,"6,25,000",2016,"78,501 km",Diesel,"Bowenpally Prithivi Enclave, Secunderabad"
Hyundai i20,"2,95,000",2011,"94,000 km",Petrol,"Balkampet, Hyderabad"
Ford Figo,"2,20,000",2012,"110,000 km",Diesel,"Kukatpally, Hyderabad"
Mahindra Xylo,"4,25,000",2011,"140,000 km",Diesel,"Moosapet, Hyderabad"
Hyundai Eon,"3,30,000",2017,"46,000 km",Petrol,"Kukatpally, Hyderabad"
Maruti Suzuki Swift-Dzire,"6,80,000",2019,"96,000 km",Diesel,"BK Guda, Hyderabad"
Mercedes-Benz C-Class,"8,99,000",2010,"75,212 km",Diesel,"Madhapur, Hyderabad"
Audi A3,"25,50,000",2019,"49,000 km",Diesel,"Venktagiri Nagar, Hyderabad"
Mahindra XUV500,"13,00,000",2015,"73,000 km",Diesel,"Old Bowenpally, Secunderabad"
Maruti Suzuki Baleno,"6,25,000",2016,"84,000 km",Petrol,"Old Bowenpally, Secunderabad"
Maruti Suzuki Swift,"5,50,000",2016,"79,000 km",Diesel,"Old Bowenpally, Secunderabad"
Tata Tiago,"4,80,000",2017,"8,200 km",Petrol,"Sanath Nagar, Hyderabad"
Maruti Suzuki Ertiga,"7,45,000",2015,"80,000 km",Diesel,"Kukatpally, Hyderabad"
Tata Tiago,"4,45,000",2017,"40,000 km",Petrol,"Kukatpally, Hyderabad"
Maruti Suzuki Ertiga,"10,50,000",2021,"25,000 km",Petrol,"Old Bowenpally, Secunderabad"
Maruti Suzuki Swift-Dzire-Tour,"4,75,000",2017,"75,000 km",Diesel,"Moosapet, Hyderabad"
Ford Ecosport,"4,65,000",2014,"72,000 km",Petrol,"Old Bowenpally, Secunderabad"
Maruti Suzuki maruti-suzuki-brezza,"8,90,000",2021,"56,000 km",Petrol,"Kukatpally, Hyderabad"
Maruti Suzuki Omni,"3,20,000",2017,"38,000 km",Petrol,"Balkampet, Hyderabad"
Tata Bolt,"2,90,000",2016,"90,000 km",Diesel,"Balkampet, Hyderabad"
Hyundai Eon,"3,25,000",2014,"66,000 km",Petrol,"Madhapur, Hyderabad"
Maruti Suzuki Celerio,"3,95,000",2015,"65,000 km",Petrol,"Kukatpally, Hyderabad"
Ford Ecosport,"7,85,000",2017,"37,000 km",Diesel,"Sanjeeva Reddy Nagar, Hyderabad"
Hyundai Creta,"9,65,000",2016,"87,000 km",Diesel,"Begumpet, Secunderabad"
Honda City,"4,50,000",2015,"87,000 km",Petrol,"Begumpet, Secunderabad"
Skoda Rapid,"7,24,000",2017,"96,200 km",Diesel,"Begumpet, Secunderabad"
Maruti Suzuki Baleno,"5,84,000",2018,"94,300 km",Petrol,"Begumpet, Secunderabad"
Hyundai Verna,"4,54,000",2012,"103,000 km",Petrol,"Begumpet, Secunderabad"
Volkswagen VentoTest,"2,65,000",2011,"135,000 km",Diesel,"Balkampet, Hyderabad"
Maruti Suzuki Vitara-Brezza,"8,50,000",2018,"85,459 km",Diesel,"Begumpet, Secunderabad"
Mahindra Scorpio,"3,20,000",2008,"99,000 km",Diesel,"Begumpet, Secunderabad"
Mahindra Bolero,"2,15,000",2007,"120,000 km",Diesel,"Kukatpally, Hyderabad"
Volkswagen Polo,"9,15,000",2020,"38,000 km",Petrol,"Venktagiri Nagar, Hyderabad"
Land Rover Range Rover Evoque,"69,75,000",2021,"15,500 km",Diesel,"Venktagiri Nagar, Hyderabad"
Hyundai Creta,"14,75,000",2019,"49,068 km",Diesel,"Madhapur, Hyderabad"
Volvo S60,"14,99,000",2014,"81,000 km",Diesel,"Yousuf Guda, Hyderabad"
Land Rover Range Rover Evoque,"32,99,000",2016,"78,000 km",Diesel,"Yousuf Guda, Hyderabad"
Jaguar F-Pace,"44,99,000",2018,"69,000 km",Diesel,"Yousuf Guda, Hyderabad"
Volvo S60,"24,00,000",2017,"69,000 km",Diesel,"Yousuf Guda, Hyderabad"
Honda City,"12,49,000",2018,"39,000 km",Petrol,"Yousuf Guda, Hyderabad"
Maruti Suzuki XL6,"10,50,000",2020,"69,000 km",Petrol,"Ameerpet, Hyderabad"
Caterham 7,"1,30,000",2022,"2,986 km",Petrol,"Madhapur, Hyderabad"
Hyundai i20,"3,90,000",2013,"89,635 km",Diesel,"Madhapur, Hyderabad"
Hyundai Verna,"1,45,000",2008,"102,531 km",Diesel,"Madhapur, Hyderabad"
Hyundai i20,"3,50,000",2012,"86,531 km",Diesel,"Madhapur, Hyderabad"
Volkswagen VentoTest,"3,55,000",2012,"85,331 km",Diesel,"Madhapur, Hyderabad"
Honda City,"5,35,000",2014,"85,631 km",Diesel,"Madhapur, Hyderabad"
Kia Seltos,"13,95,000",2020,"17,896 km",Petrol,"Madhapur, Hyderabad"
Ford Ecosport,"8,50,000",2017,"99,000 km",Petrol,"Begumpet, Hyderabad"
Hyundai Eon,"2,35,000",2013,"65,000 km",Petrol,"Madhapur, Hyderabad"
Ford Figo Aspire,"3,65,000",2016,"77,422 km",Diesel,"Madhapur, Hyderabad"
Ford Ecosport,"6,75,000",2016,"80,808 km",Diesel,"Madhapur, Hyderabad"
Maruti Suzuki Vitara-Brezza,"10,30,000",2019,"85,000 km",Diesel,"Madhapur, Hyderabad"
Hyundai Santa Fe,"5,25,000",2012,"125,316 km",Diesel,"Madhapur, Hyderabad"
Hyundai Verna,"1,80,000",2007,"101,253 km",Diesel,"Madhapur, Hyderabad"
Mercedes-Benz C Class,"3,99,000",2008,"116,523 km",Diesel,"Madhapur, Hyderabad"
Maruti Suzuki Vitara-Brezza,"10,45,000",2021,"21,531 km",Petrol,"Madhapur, Hyderabad"
