CarName,Price,Year,KilometersDriven,Fuel Type,Location
Maruti Suzuki Baleno,"7,90,000",2021,"15,000 km",Petrol,"Pune Vidyapith, Pune"
Nissan Micra,"2,77,000",2012,"87,000 km",Diesel,"Pune Cantonment, Pune"
Audi A6,"12,99,000",2014,"98,000 km",Diesel,"Pune Vidyapith, Pune"
Maruti Suzuki Wagon-R-1-0,"3,35,000",2013,"78,000 km",CNG & Hybrids,"Gultekadi, Pune"
Kia Sonet,"11,25,000",2021,"25,000 km",Diesel,"Shivaji Nagar, Pune"
Kia Sonet,"11,25,000",2021,"25,000 km",Diesel,"Pune Vidyapith, Pune"
Honda City,"6,15,000",2016,"74,000 km",Diesel,"Shivaji Nagar, Pune"
Maruti Suzuki Celerio,"4,50,000",2016,"45,000 km",Petrol,"Central Street Camp, Pune"
Hyundai Grand i10,"3,99,000",2014,"101,000 km",Petrol,"Central Street Camp, Pune"
Ford Ecosport,"3,75,000",2013,"45,000 km",Petrol,"Central Street Camp, Pune"
Maruti Suzuki Vitara-Brezza,"8,51,000",2017,"83,000 km",Diesel,"Central Street Camp, Pune"
Maruti Suzuki Ertiga,"6,75,000",2015,"115,000 km",CNG & Hy..,"Khadki, Pune"
Hyundai i10,"3,45,000",2012,"89,000 km",CNG & Hybrids,"Khadki, Pune"
Hyundai Aura,"1,70,000",2023,"1,234 km",CNG & Hybrids,"Khadki, Pune"
Maruti Suzuki Wagon-R,"1,45,000",2023,"1,234 km",CNG & Hybrids,"Cantonment Residential Area, Pune"
Ford Figo,"5,25,000",2018,"89,000 km",Diesel,"Swargate, Pune"
Mercedes-Benz GLS,"71,50,000",2019,"56,000 km",Diesel,"Pune Cantonment, Pune"
Hyundai Grand i10,"2,85,000",2013,"66,037 km",CNG & Hybrids,"Pune Vidyapith, Pune"
Maruti Suzuki Swift-Dzire,"6,99,000",2017,"61,000 km",Diesel,"Shivaji Nagar, Pune"
Maruti Suzuki Celerio,"4,85,000",2018,"31,000 km",Petrol,"Vishrant Wadi, Pune"
Toyota Innova Crysta,"21,50,000",2018,"84,000 km",Diesel,"Koregaon park, Pune"
MG Hector,"18,49,000",2021,"66,000 km",Diesel,"Swargate, Pune"
Hyundai i10,"1,85,000",2009,"55,000 km",Petrol,"Sopan Baug, Pune"
BMW X1,"29,50,000",2018,"52,900 km",Diesel,"Koregaon park, Pune"
Mahindra Thar,"14,50,000",2021,"18,600 km",Petrol,"Koregaon park, Pune"
Ford Figo,"2,35,000",2012,"95,000 km",Diesel,"Bhawani Peth, Pune"
Renault KWID,"4,85,000",2022,"9,000 km",Petrol,"Koregaon park, Pune"
Maruti Suzuki Swift-Dzire,"2,09,000",2023,"1,234 km",CNG & Hybrids,"Narayan Peth, Pune"
Maruti Suzuki Wagon-R,"1,40,000",2023,"1,234 km",CNG & Hybrids,"Pune Cantonment, Pune"
Hyundai i20,"5,49,000",2014,"51,000 km",Diesel,"Swargate, Pune"
Hyundai Verna,"9,49,000",2019,"48,000 km",Diesel,"Swargate, Pune"
Volkswagen Ameo,"5,95,000",2019,"47,000 km",Petrol,"Pune Vidyapith, Pune"
Honda City,"2,49,000",2009,"80,000 km",Petrol,"Swargate, Pune"
Mercedes-Benz C Class,"62,52,400",2023,"1,522 km",Petrol,"Shivaji Nagar, Pune"
BMW 5 Series,"29,00,000",2017,"59,700 km",Diesel,"Shivaji Nagar, Pune"
Maruti Suzuki A-Star,"2,30,000",2014,"52,703 km",CNG & Hybrids,"Pune Vidyapith, Pune"
Maruti Suzuki Ertiga,"3,45,000",2023,"1,234 km",CNG & Hybrids,"Khadki, Pune"
Honda Brio,"3,50,000",2014,"70,000 km",CNG & Hybrids,"Pune Vidyapith, Pune"
Ford Ecosport,"8,50,000",2019,"52,000 km",Diesel,"Shivaji Nagar, Pune"
Honda BRV,"8,11,000",2016,"56,000 km",Diesel,"Pune Vidyapith, Pune"
Audi A6,"10,75,000",2012,"114,000 km",Diesel,"Pune Cantonment, Pune"
Volkswagen Jetta,"5,70,000",2014,"117,000 km",Diesel,"Koregaon park, Pune"
Hyundai i10,"3,28,000",2013,"82,000 km",Petrol,"Pune Vidyapith, Pune"
Nissan Sunny,"3,45,000",2014,"53,000 km",Petrol,"Koregaon park, Pune"
BMW 5 Series,"29,00,000",2017,"59,700 km",Diesel,"Koregaon park, Pune"
Toyota Fortuner,"5,00,000",2023,"1,234 km",Diesel,"Shivaji Nagar, Pune"
Ford Ecosport,"8,50,000",2019,"52,000 km",Diesel,"Pune Vidyapith, Pune"
Honda Brio,"3,00,000",2012,"59,200 km",CNG & Hybrids,"Pune Vidyapith, Pune"
Maruti Suzuki Alto-800,"2,75,000",2014,"112,000 km",CNG & Hybrids,"Shivaji Nagar, Pune"
Mahindra Thar,"7,99,000",2018,"106,000 km",Diesel,"Shivaji Nagar, Pune"
Maruti Suzuki Vitara-Brezza,"9,60,000",2022,"15,000 km",Petrol,"Shivaji Nagar, Pune"
Audi Q3,"12,50,000",2013,"120,800 km",Diesel,"Shivaji Nagar, Pune"
Audi Q3,"12,50,000",2013,"120,800 km",Diesel,"Koregaon park, Pune"
Audi A6,"26,00,000",2017,"64,300 km",Diesel,"Shivaji Nagar, Pune"
Maruti Suzuki Swift-Dzire,"2,10,000",2023,"1,234 km",CNG & Hybrids,"Khadki Jai Jawan Nagar, Pune"
Nissan Micra,"3,30,000",2013,"63,000 km",Petrol,"Koregaon park, Pune"
Honda BRV,"8,15,000",2017,"28,000 km",Petrol,"Pune Vidyapith, Pune"
Hyundai Venue,"7,90,000",2020,"73,000 km",Petrol,"Sadashiv Peth, Pune"
Maruti Suzuki Wagon-R,"6,25,000",2022,"12,000 km",Petrol,"Modi Colony, Pune"
Mahindra TUV,"7,25,000",2018,"123,000 km",Diesel,"Swargate, Pune"
Honda City,"2,40,000",2008,"41,000 km",Petrol,"Central Street Camp, Pune"
Hyundai i20,"3,10,000",2010,"50,000 km",Petrol,"Sadashiv Peth, Pune"
Maruti Suzuki Alto,"78,000",2007,"100,000 km",Petrol,"Sangamwadi, Pune"
Hyundai Xcent Prime,"4,95,000",2020,"125,000 km",CNG & Hybrids,"Koregaon park, Pune"
Hyundai Santro Xing,"1,35,000",2007,"106,000 km",Petrol,"Shivaji Nagar, Pune"
Hyundai Aura,"7,30,000",2020,"28,000 km",CNG & Hybrids,"Shivaji Nagar, Pune"
Toyota Innova,"5,70,000",2010,"165,000 km",Diesel,"Shivaji Nagar, Pune"
Maruti Suzuki Ertiga,"11,95,000",2019,"29,000 km",Diesel,"Shivaji Nagar, Pune"
Hyundai Xcent,"4,90,000",2015,"78,000 km",CNG & Hybrids,"Shivaji Nagar, Pune"
Tata Zest,"4,49,000",2015,"75,000 km",Diesel,"Shivaji Nagar, Pune"
Hyundai Grand i10,"4,25,000",2016,"77,000 km",CNG & Hybrids,"Shivaji Nagar, Pune"
Maruti Suzuki Wagon-R,"4,20,000",2017,"81,000 km",Petrol,"Shivaji Nagar, Pune"
Mahindra Bolero,"6,20,000",2014,"43,500 km",Diesel,"Wakadewadi, Pune"
Hyundai Aura,"2,00,000",2023,"1,234 km",CNG & Hybrids,"Pune Vidyapith, Pune"
Tata Bolt,"2,60,000",2018,"140,000 km",Diesel,"Koregaon park, Pune"
Maruti Suzuki Swift,"4,25,000",2012,"125,000 km",Diesel,"Khadki, Pune"
Maruti Suzuki Swift-Dzire,"5,25,000",2014,"85,000 km",Diesel,"Swargate, Pune"
Tata Hexa,"13,90,000",2019,"62,000 km",Diesel,"Central Street Camp, Pune"
Audi A8,"14,95,000",2012,"86,000 km",Diesel,"Pune Vidyapith, Pune"
Mahindra Scorpio,"5,75,000",2012,"108,000 km",Diesel,"Swargate, Pune"
Audi A6,"26,00,000",2017,"64,300 km",Diesel,"Koregaon park, Pune"
Hyundai i20,"6,00,000",2016,"74,794 km",Petrol,"Rasta Peth, Pune"
Maruti Suzuki Swift,"7,25,000",2019,"74,000 km",Diesel,"Khadki, Pune"
BMW X1,"25,00,000",2016,"53,900 km",Diesel,"Koregaon park, Pune"
Maruti Suzuki Wagon-R,"5,00,000",2020,"82,300 km",Petrol,"Koregaon park, Pune"
Volkswagen VentoTest,"5,45,000",2016,"68,000 km",Petrol,"Koregaon park, Pune"
Toyota Innova Crysta,"18,00,000",2019,"23,000 km",Diesel,"Koregaon park, Pune"
Mercedes-Benz GLC Class,"69,74,000",2021,"29,350 km",Diesel,"Central Street Camp, Pune"
Tata Nano Genx,"2,65,000",2017,"18,000 km",Petrol,"Pune Vidyapith, Pune"
Toyota Innova,"7,66,000",2014,"198,000 km",Diesel,"Pune Vidyapith, Pune"
Honda WRV,"9,00,000",2019,"51,000 km",Diesel,"Koregaon park, Pune"
Ford Ecosport,"7,75,000",2018,"16,000 km",Petrol,"Vishrant Wadi, Pune"
Maruti Suzuki Ciaz,"5,15,000",2015,"65,000 km",Petrol,"Modi Colony, Pune"
Skoda Laura,"2,79,000",2010,"104,000 km",Petrol,"Swatantrya Sainik Nagar, Pune"
Maruti Suzuki Swift-Dzire,"8,50,000",2019,"77,178 km",Diesel,"Central Street Camp, Pune"
Mahindra Bolero,"4,25,000",2012,"148,000 km",Diesel,"Swargate, Pune"
Honda City,"3,00,000",2011,"82,000 km",Petrol,"Modi Colony, Pune"
BMW 3 Series,"25,99,000",2017,"58,000 km",Diesel,"Shivaji Nagar, Pune"
Mercedes-Benz C-Class,"61,77,607",2023,"2,137 km",Diesel,"Koregaon park, Pune"
Tata Manza,"2,35,000",2011,"105,000 km",Diesel,"Swargate, Pune"
