Company,CarName
Maruti,Maruti Suzuki Baleno
Nissan,Nissan Micra
Audi,Audi A6
Maruti,Maruti Suzuki Wagon-R-1-0
Kia,Kia Sonet
Honda,Honda City
Maruti,Maruti Suzuki Celerio
Hyundai,Hyundai Grand i10
Ford,Ford Ecosport
Maruti,Maruti Suzuki Vitara-Brezza
Maruti,Maruti Suzuki Ertiga
Hyundai,Hyundai i10
Hyundai,Hyundai Aura
Maruti,Maruti Suzuki Wagon-R
Ford,Ford Figo
Mercedes-Benz,Mercedes-Benz GLS
Maruti,Maruti Suzuki Swift-Dzire
Toyota,Toyota Innova Crysta
MG,MG Hector
BMW,BMW X1
Mahindra,Mahindra Thar
Renault,Renault KWID
Hyundai,Hyundai i20
Hyundai,Hyundai Verna
Volkswagen,Volkswagen Ameo
Mercedes-Benz,Mercedes-Benz C Class
BMW,BMW 5 Series
Maruti,Maruti Suzuki A-Star
Honda,Honda Brio
Honda,Honda BRV
Volkswagen,Volkswagen Jetta
Nissan,Nissan Sunny
Toyota,Toyota Fortuner
Maruti,Maruti Suzuki Alto-800
Audi,Audi Q3
Hyundai,Hyundai Venue
Mahindra,Mahindra TUV
Maruti,Maruti Suzuki Alto
Hyundai,Hyundai Xcent Prime
Hyundai,Hyundai Santro Xing
Toyota,Toyota Innova
Hyundai,Hyundai Xcent
Tata,Tata Zest
Mahindra,Mahindra Bolero
Tata,Tata Bolt
Maruti,Maruti Suzuki Swift
Tata,Tata Hexa
Audi,Audi A8
Mahindra,Mahindra Scorpio
Volkswagen,Volkswagen VentoTest
Mercedes-Benz,Mercedes-Benz GLC Class
Tata,Tata Nano Genx
Honda,Honda WRV
Maruti,Maruti Suzuki Ciaz
Skoda,Skoda Laura
BMW,BMW 3 Series
Mercedes-Benz,Mercedes-Benz C-Class
Tata,Tata Manza
Tata,Tata Nexon
Nissan,Nissan Terrano
Skoda,Skoda Rapid
Volkswagen,Volkswagen Polo
Toyota,Toyota Yaris
Mercedes-Benz,Mercedes-Benz E-Class
Hyundai,Hyundai Creta
Maruti,Maruti Suzuki maruti-suzuki-dzire
Maruti,Maruti Suzuki S-Cross
Hyundai,Hyundai Getz Prime
Toyota,Toyota Glanza
Maruti,Maruti Suzuki Wagon R
Maruti,Maruti Suzuki S-Cross1
Honda,Honda Jazz
BMW,BMW 7 Series
Maruti,Maruti Suzuki Eeco
Tata,Tata Nano
Chevrolet,Chevrolet Beat
Mercedes-Benz,Mercedes-Benz B Class
Toyota,Toyota Etios
Chevrolet,Chevrolet Cruze
Ford,Ford Endeavour
Mahindra,Mahindra XUV500
Mercedes-Benz,Mercedes-Benz GLA Class
Honda,Honda City ZX
Fiat,Fiat Linea
Mahindra,Mahindra XUV 300
Honda,Honda Amaze
Hyundai,Hyundai Elantra
Hyundai,Hyundai Grand i10 Nios
Hyundai,Hyundai Elite i20
Maruti,Maruti Suzuki Estilo
Mahindra,Mahindra Quanto
Maruti,Maruti Suzuki Sx4
Hyundai,Hyundai Fluidic Verna
Tata,Tata Tiago
Mercedes-Benz,Mercedes-Benz S-Class
Fiat,Fiat Palio Stile
Maruti,Maruti Suzuki Ritz
Honda,Honda Civic
Maruti,Maruti Suzuki Alto-K10
Ford,Ford Classic
Mercedes-Benz,Mercedes-Benz GLE Class
Hyundai,Hyundai Santro
Chevrolet,Chevrolet Enjoy
Renault,Renault Triber
Volkswagen,Volkswagen Passat
Toyota,Toyota Etios Liva
Tata,Tata Indigo Ecs
Maruti,Maruti Suzuki Ignis
Tata,Tata Indica V2
Jeep,Jeep Compass
Ford,Ford Fiesta
Audi,Audi A3
Volvo,Volvo V40
BMW,BMW X3
Kia,Kia Carens
Mercedes-Benz,Mercedes-Benz M-Class
Datsun,Datsun RediGO
Maruti,Maruti Suzuki Celerio-X
Volkswagen,Volkswagen CrossPolo
Renault,Renault Duster
Datsun,Datsun GO Plus
Skoda,Skoda Superb
Jaguar,Jaguar XJ
Kia,Kia Seltos
