Company,CarName
Maruti,Suzuki Baleno
Hyundai,i10 Magna
Maruti,Suzuki Celerio
Hyundai,Grand i10
Maruti,Suzuki S-Cross
Hyundai,i10 Asta
Ford,Figo Duratec
Toyota,Etios G
Kia,Sonet HTX
Hyundai,Venue S
Ford,EcoSport Titanium
Nissan,Magnite XV
Hyundai,Aura SX
Land,Rover Discovery
BMW,5 Series
BMW,X1 sDrive20d
BMW,X3 xDrive
Volvo,XC40 T4
Renault,Kwid RXT
Maruti,Suzuki Wagon
Maruti,Suzuki Swift
Hyundai,Elite i20
Tata,Tiago Revotron
Kia,Sonet GTX
Kia,Seltos GTX
Mercedes-Benz,C-Class C
Mercedes-Benz,GLA 200
BMW,3 Series
Audi,A3 40
Honda,Amaze 1.2
Honda,Brio V
Hyundai,i10 Sportz
Maruti,Suzuki Ciaz
Hyundai,Venue SX
Tata,Nexon XZ
Kia,Seltos HTX
BMW,X1 sDrive20i
Hyundai,i20 Magna
Renault,Kwid 1.0
Honda,Jazz VX
Honda,Amaze 1.2L
Tata,Altroz XZ
Honda,WR-V VX
Jeep,Compass Limited
Mahindra,XUV 300
Honda,City S
Tata,Nexon XZA
Tata,Zest XE
Maruti,Suzuki Ignis
Tata,Nexon XZ+
Honda,City VX
Hyundai,Creta 1.6
Tata,Tiago Revotorq
Kia,Sonet HTK
Nissan,Kicks XV
Audi,A3 35
Maruti,Suzuki Ertiga
Maruti,Suzuki Ritz
Toyota,Etios Liva
Hyundai,Aura S
Toyota,Innova Crysta
Renault,Triber RXL
Renault,Captur RXE
Maruti,Suzuki Eeco
Nissan,Sunny XV
Hyundai,Verna 1.6
Renault,Duster 85
Honda,WR-V i-VTEC
Honda,Accord 2.4
Hyundai,i10 Era
Skoda,Rapid New
Skoda,Slavia Ambition
Hyundai,Eon Era
Hyundai,New i20
Datsun,GO T
Hyundai,Verna Fluidic
Nissan,Micra Active
Volkswagen,Polo Highline1.2L
Renault,Kwid CLIMBER
Mahindra,XUV500 W7
Honda,Brio S
Honda,Jazz SV
Skoda,Fabia Ambiente
Honda,City E
Hyundai,New Santro
Toyota,Camry 2.5
Mahindra,XUV500 W6
Ford,Figo Titanium
Honda,WR-V i-DTEC
Honda,City 1.5
Renault,Triber RXT
Renault,Triber RXZ
Tata,Nexon XT
Honda,City V
Hyundai,i20 Sportz
Honda,City ZX
Volkswagen,Polo Comfortline
Skoda,Fabia Classic
Toyota,Etios VX
Datsun,Redi-GO S
Kia,Seltos HTK
Ford,Figo Aspire
Renault,Kiger RXZ
Toyota,Glanza V
Tata,Nexon XM
Hyundai,i20 Asta
Hyundai,Fluidic Verna
Maruti,Suzuki Vitara
Kia,Carens Luxury
Mahindra,Marazzo M6
Honda,Brio S(O)MT
Renault,Kiger RXT
Maruti,Suzuki New
Hyundai,Creta 1.4
Honda,Civic ZX
Volkswagen,Polo Trendline
Tata,Harrier XM
Skoda,Kushaq Style
Hyundai,i20 Era
Honda,Brio VX
Maruti,Suzuki A-Star
MG,Motors Astor
Volkswagen,Virtus Comfortline
Renault,Duster RXS
Renault,Duster RxL
Nissan,Sunny XE
Maruti,Suzuki Alto
Honda,Brio EX
Tata,Harrier XZ
Mahindra,Alturas G4
Maruti,Suzuki Dzire
Mahindra,XUV700 AX
Ford,Endeavour Titanium
Skoda,Kushaq Active
Honda,Jazz V
Honda,Amaze 1.5L
Toyota,Corolla Altis
Tata,Zest XMS
Jeep,Compass Longitude
Tata,Punch Adventure
Volkswagen,Taigun GT
Hyundai,Xcent SX
Hyundai,i20 Active
Tata,Altroz XM
Maruti,Suzuki XL6
Nissan,Terrano XL
Hyundai,Xcent S
Nissan,Micra XV
Tata,Tigor Revotron
Mercedes-Benz,C-Class Edition
Tata,Tigor XE
Mahindra,Thar LX
Mahindra,Marazzo M2
Renault,Kwid RXL
Tata,Hexa XM
Mahindra,TUV300 T10
Toyota,Etios V
Volkswagen,Polo GT
Tata,Zest XT
