CarName,Price,Year,KilometersDriven,Fuel Type,Location
Maruti Suzuki Wagon R 1.0 LXI CNG,4.02 Lakh,2015,62K km,Petrol+cng,"Spinny Park, Hinjewadi, Pune"
Kia Carens Prestige Plus 1.5 Diesel 7 STR,15.72 Lakh,2022,10K km,Diesel,"Spinny Park, Hinjewadi, Pune"
Chevrolet Sail 1.2 LS ABS,3.46 Lakh,2017,38K km,Petrol,"Spinny Hub, Seasons Mall, Pune"
Toyota Corolla Altis VL AT Petrol,9.39 Lakh,2015,69K km,Petrol,"Spinny Hub, Seasons Mall, Pune"
Toyota Etios Liva GD,3.64 Lakh,2012,139K km,Diesel,"Spinny Park, Hinjewadi, Pune"
Hyundai Grand i10 Asta 1.2 Kappa VTVT,4.64 Lakh,2015,38K km,Petrol,"Spinny Hub, Seasons Mall, Pune"
Hyundai Elite i20 Sportz 1.2,5.93 Lakh,2017,39K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Nissan Micra Active XV,3.99 Lakh,2017,35K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Hyundai Grand i10 Nios Sportz 1.2 Kappa VTVT,6.60 Lakh,2020,21K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Maruti Suzuki Wagon R 1.0 LXI CNG,4.18 Lakh,2018,95K km,Petrol+cng,"Spinny Hub, Seasons Mall, Pune"
MG Motors Hector 2.0 Sharp Diesel Turbo,23.60 Lakh,2023,500 km,Diesel,"Spinny Park, Hinjewadi, Pune"
Tata Altroz XT 1.2,7.22 Lakh,2021,4K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Maruti Suzuki Ertiga ZXI+,7.89 Lakh,2016,55K km,Petrol,"Spinny Hub, Seasons Mall, Pune"
Hyundai Verna Fluidic 1.6 VTVT SX,5.37 Lakh,2014,33K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Honda City ZX CVT,10.57 Lakh,2018,36K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Honda BR-V V CVT Petrol,8.45 Lakh,2018,48K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Maruti Suzuki Ciaz Alpha AT Petrol,9.58 Lakh,2021,51K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Hyundai Aura SX 1.2 Petrol,7.45 Lakh,2022,32K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Hyundai New i20 Asta (O) 1.2 MT,9.08 Lakh,2021,24K km,Petrol,"Spinny Hub, Seasons Mall, Pune"
Ford Freestyle Titanium Plus 1.2 Ti-VCT,6.99 Lakh,2021,8K km,Petrol,"Spinny Hub, Seasons Mall, Pune"
Honda City VX CVT,8.12 Lakh,2016,32K km,Petrol,"Spinny Hub, Seasons Mall, Pune"
Honda Amaze 1.2L SX,5.27 Lakh,2017,40K km,Petrol,"Spinny Hub, Seasons Mall, Pune"
Tata Nexon XZ Plus Dual Tone Roof Optional Diesel,12.45 Lakh,2021,28K km,Diesel,"Spinny Hub, Seasons Mall, Pune"
Honda City VX CVT,8.12 Lakh,2016,32K km,Petrol,"Spinny Hub, Seasons Mall, Pune"
Honda Amaze 1.2L SX,5.27 Lakh,2017,40K km,Petrol,"Spinny Hub, Seasons Mall, Pune"
Hyundai Grand i10 Sportz 1.2 Kappa VTVT,4.37 Lakh,2016,36K km,Petrol,"Spinny Hub, Seasons Mall, Pune"
Maruti Suzuki Baleno Alpha AT Petrol,6.99 Lakh,2018,70K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Honda Amaze 1.5L S,4.81 Lakh,2015,58K km,Diesel,"Spinny Park, Hinjewadi, Pune"
Maruti Suzuki Wagon R 1.0 VXI,4.16 Lakh,2016,34K km,Petrol,"Spinny Hub, Seasons Mall, Pune"
Maruti Suzuki Wagon R 1.0 LXI CNG,2.99 Lakh,2013,85K km,Petrol+cng,"Spinny Park, Hinjewadi, Pune"
Renault Pulse RxL Petrol,2.67 Lakh,2016,75K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Maruti Suzuki Swift VXI,3.77 Lakh,2012,19K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Hyundai Grand i10 Nios Magna 1.2 Kappa VTVT CNG,7.42 Lakh,2022,30K km,Petrol+cng,"Spinny Hub, Seasons Mall, Pune"
Hyundai Venue S Plus 1.5 CRDi,11.30 Lakh,2022,16K km,Diesel,"Spinny Hub, Seasons Mall, Pune"
Hyundai Venue SX 1.0 Turbo,9.84 Lakh,2021,31K km,Petrol,"Spinny Hub, Seasons Mall, Pune"
Honda City VX,11.68 Lakh,2022,28K km,Petrol,"Spinny Hub, Seasons Mall, Pune"
Hyundai Eon Era,2.29 Lakh,2013,71K km,Petrol,"Spinny Hub, Seasons Mall, Pune"
Hyundai Creta SX OPT Turbo DCT Petrol,15.99 Lakh,2020,21K km,Petrol,"Spinny Hub, Seasons Mall, Pune"
Maruti Suzuki Wagon R 1.0 VXI AMT,4.68 Lakh,2017,28K km,Petrol,"Spinny Hub, Seasons Mall, Pune"
Maruti Suzuki Wagon R 1.0 LXI CNG,3.88 Lakh,2015,67K km,Petrol+cng,"Spinny Hub, Seasons Mall, Pune"
Maruti Suzuki Alto 800 LXI CNG,3.64 Lakh,2018,22K km,Petrol+cng,"Spinny Hub, Seasons Mall, Pune"
Maruti Suzuki Wagon R 1.0 LXI CNG,3.54 Lakh,2013,68K km,Petrol+cng,"Spinny Park, Hinjewadi, Pune"
Kia Sonet GTX Plus 1.0 iMT,12.54 Lakh,2022,8K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Maruti Suzuki Baleno Delta Petrol,5.48 Lakh,2017,24K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Hyundai Venue SX Plus 1.0 Turbo DCT,10.43 Lakh,2019,54K km,Petrol,"Spinny Park, Hinjewadi, Pune"
Tata Tiago XTA,5.13 Lakh,2018,36K km,Petrol,"Spinny Hub, Seasons Mall, Pune"
Honda City SV Diesel,6.95 Lakh,2017,95K km,Diesel,"Spinny Park, Hinjewadi, Pune"
Maruti Suzuki Wagon R 1.0 VXI,3.45 Lakh,2014,44K km,Petrol,"Spinny Park, Hinjewadi, Pune"
