CarName,Price,Year,KilometersDriven,Fuel Type,Location
Mercedes-Benz GLC Progressive 220d,31.45 Lakh,2017,"1,12,000 km",Diesel,"Indiranagar, Bangalore"
Maruti S-Presso VXI Opt AT 2019-2022,6.16 Lakh,2022,"1,137 km",Petrol,"Jakkur, Bangalore"
Toyota Land Cruiser Prado VX,69.95 Lakh,2011,"67,111 km",Diesel,"Nagavara, Bangalore"
Renault Duster 110PS Diesel RxZ,5.85 Lakh,2014,"1,37,721 km",Diesel,"Jakkur, Bangalore"
Honda CR-V 2.4L 4WD AT,8.99 Lakh,2012,"85,576 km",Petrol,"City, Bangalore"
Tata Altroz XZA Plus S Dark Edition DCT,10.95 Lakh,2022,"5,620 km",Petrol,"Nagavara, Bangalore"
Maruti Alto K10 VXI,3.92 Lakh,2017,"43,414 km",Petrol,"Mahadevapura, Bangalore"
Toyota Land Cruiser Prado VX,62.45 Lakh,2009,"1,58,118 km",Diesel,"Nagavara, Bangalore"
Mercedes-Benz GLA 45 AMG,34.75 Lakh,2015,"30,000 km",Petrol,"Indiranagar, Bangalore"
Honda Brio VX AT,3.88 Lakh,2013,"81,645 km",Petrol,"Jakkur, Bangalore"
Maruti Wagon R AMT VXI,4.45 Lakh,2016,"45,598 km",Petrol,"Nagavara, Bangalore"
Maruti Ritz LXi,3.48 Lakh,2013,"74,960 km",Petrol,"Jakkur, Bangalore"
MG Hector Hybrid Sharp Dualtone,16.90 Lakh,2021,"40,000 km",Petrol,Bangalore
Mahindra XUV700 AX5 AT,20.95 Lakh,2021,"35,412 km",Petrol,"Nagavara, Bangalore"
Maruti Swift Dzire AMT ZXI Plus,7.51 Lakh,2019,"47,447 km",Petrol,"Horamavu, Bangalore"
Mahindra XUV500 AT W10 AWD,15.99 Lakh,2018,"56,351 km",Diesel,"Nagavara, Bangalore"
Volkswagen Tiguan 2.0 TSI Elegance BSVI,30 Lakh,2021,"10,000 km",Petrol,Bangalore
Kia Sonet GTX Plus Diesel BSVI,10.92 Lakh,2021,"41,715 km",Diesel,"Avalahalli, Bangalore"
Mahindra XUV300 W8 Opt AMT,12.95 Lakh,2022,"26,067 km",Petrol,"Nagavara, Bangalore"
Maruti Swift ZXI,6.76 Lakh,2016,"26,934 km",Petrol,"Mahadevapura, Bangalore"
BMW 6 Series GT 630i M Sport Signature,73.45 Lakh,2022,"4,000 km",Petrol,"Indiranagar, Bangalore"
Maruti Vitara Brezza ZXI AT,9.66 Lakh,2020,"55,214 km",Petrol,"Avalahalli, Bangalore"
Audi Q7 Technology,81.50 Lakh,2023,"10,000 km",Petrol,"Paltra, Gurgaon"
Tata Nexon XZA Plus (O) AMT,10.03 Lakh,2020,"66,814 km",Petrol,"Magadi Road, Bangalore"
Mercedes-Benz GLA 45 AMG,34.75 Lakh,2015,"30,000 km",Petrol,"Indiranagar, Bangalore"
Hyundai i20 Petrol Spotz,7.45 Lakh,2018,"19,151 km",Petrol,"City, Bangalore"
Hyundai i20 Era 1.2,5.73 Lakh,2017,"38,041 km",Petrol,"Mahadevapura, Bangalore"
Mercedes-Benz GLC 220d 4MATIC Sport,44.95 Lakh,2017,"21,144 km",Diesel,"Nagavara, Bangalore"
Honda CR-V 2.4L 4WD AT,8.99 Lakh,2012,"85,576 km",Petrol,"City, Bangalore"
Kia Sonet GTX Plus Diesel BSVI,10.92 Lakh,2021,"41,715 km",Diesel,"Avalahalli, Bangalore"
MG Hector Sharp Diesel MT,20.25 Lakh,2021,"13,000 km",Diesel,"R T Nagar, Bangalore"
Honda Jazz 1.2 V AT i VTEC,6.82 Lakh,2017,"53,591 km",Petrol,"Jakkur, Bangalore"
Hyundai i10 Magna,2.50 Lakh,2009,"60,000 km",Petrol,Bangalore
Hyundai i10 Asta AT,3.95 Lakh,2011,"39,000 km",Petrol,"Adugodi, Bangalore"
Hyundai Verna 1.6 VTVT S Option,6.49 Lakh,2015,"32,211 km",Petrol,"Mahadevapura, Bangalore"
Ford Ecosport 1.5 Petrol Trend Plus AT BSIV,7.35 Lakh,2017,"56,200 km",Petrol,"Nagavara, Bangalore"
Toyota Innova Crysta 2.8 ZX AT BSIV,18.90 Lakh,2017,"80,000 km",Diesel,Bangalore
Toyota Glanza V,8.11 Lakh,2020,"54,538 km",Petrol,"Jakkur, Bangalore"
Maruti XL6 Alpha Plus,13.25 Lakh,2022,"15,661 km",Petrol,"Nagavara, Bangalore"
Tata Tiago XZ Plus Dual Tone,6.72 Lakh,2020,"24,993 km",Petrol,"Jalahalli, Bangalore"
Mercedes-Benz GLC Progressive 220d,41.45 Lakh,2017,"46,000 km",Diesel,"Indiranagar, Bangalore"
Maruti Wagon R VXI BS IV,3.13 Lakh,2011,"86,076 km",Petrol,"Jakkur, Bangalore"
Hyundai i20 Sportz Plus,7.45 Lakh,2019,"38,450 km",Petrol,"Nagavara, Bangalore"
Honda Brio VX AT,3.88 Lakh,2013,"81,645 km",Petrol,"Jakkur, Bangalore"
Renault Duster Petrol RXS,7.95 Lakh,2018,"54,000 km",Petrol,"City, Bangalore"
BMW X3 xDrive 30i Luxury Line,54.95 Lakh,2020,"26,660 km",Petrol,"Nagavara, Bangalore"
Maruti Swift ZXI,6.76 Lakh,2016,"26,934 km",Petrol,"Mahadevapura, Bangalore"
Hyundai Grand i10 Magna,4.25 Lakh,2014,"63,681 km",Petrol,"Nagavara, Bangalore"
Mahindra XUV500 W11 AT BSIV,17.25 Lakh,2018,"47,161 km",Diesel,"City, Bangalore"
Volkswagen Vento Diesel Highline,4.34 Lakh,2013,"1,20,539 km",Diesel,"Mahadevapura, Bangalore"
Maruti Wagon R AMT VXI,4.45 Lakh,2016,"45,598 km",Petrol,"Nagavara, Bangalore"
Datsun RediGO 1.0 T Option,4.73 Lakh,2021,"15,513 km",Petrol,"Jakkur, Bangalore"
