CarName,Price,Year,KilometersDriven,Fuel Type,Location
BMW X1 xDrive 20d xLine,24.50 Lakh,2019,"51,100 km",Diesel,"Rajender Nagar, New Delhi"
Honda Amaze VX CVT,9.68 Lakh,2023,"8,272 km",Petrol,"Ramgarh B.o, Gurgaon"
Audi Q7 Technology 2022-2022,85.50 Lakh,2022,"14,000 km",Petrol,Gurgaon
Hyundai Grand i10 Nios AMT Asta,8.07 Lakh,2020,"5,192 km",Petrol,"Sector 18, Noida"
Mercedes-Benz C-Class C 200 CGI,6.50 Lakh,2011,"86,000 km",Petrol,"Preet Vihar, New Delhi"
Mercedes-Benz GLS 400d 4MATIC BSVI,1.35 Crore,2023,"6,000 km",Diesel,"Naraina, New Delhi"
Renault KWID 1.0 RXT,3.43 Lakh,2018,"20,930 km",Petrol,"Sector 18, Noida"
Porsche Cayenne Coupe GTS Coupe BSVI,1.68 Crore,2023,"1,500 km",Petrol,"Ashok Vihar, New Delhi"
Hyundai Tucson Signature Diesel AT,32 Lakh,2023,"21,000 km",Diesel,"Vikas Puri, New Delhi"
Hyundai Creta SX Opt IVT BSVI,14.56 Lakh,2020,"29,177 km",Petrol,"Sector 18, Noida"
Mercedes-Benz GLS 400d 4MATIC BSVI,1.23 Crore,2022,"10,000 km",Diesel,"Ashok Vihar, New Delhi"
Maruti Ertiga VXI ABS,5.52 Lakh,2014,"41,431 km",Petrol,"Sector 18, Noida"
Mahindra XUV300 W6 Diesel BSIV,8 Lakh,2020,"80,000 km",Diesel,Noida
Mercedes-Benz GLA 200 BSVI,46 Lakh,2023,"15,200 km",Petrol,"Chanakya Puri, New Delhi"
Mercedes-Benz Maybach S-Class S580 BSVI,2.65 Crore,2023,"4,000 km",Petrol,"Ashok Vihar, New Delhi"
Maruti Jimny Alpha AT,14.75 Lakh,2023,"8,000 km",Petrol,"Preet Vihar, New Delhi"
MG Hector Plus 1.5 Turbo Sharp Pro CVT 7 Str BSVI,23 Lakh,2023,"10,000 km",Petrol,New Delhi
Maruti Ertiga VXI AT,10.49 Lakh,2021,"15,000 km",Petrol,"Chittranjan Park, New Delhi"
Mercedes-Benz E-Class Exclusive E 200 BSVI,67 Lakh,2022,"15,000 km",Petrol,"Ramesh Nagar, New Delhi"
Audi Q8 55 TFSI Quattro BSVI,95 Lakh,2022,"10,000 km",Petrol,"Naraina, New Delhi"
Mercedes-Benz E-Class Exclusive E 220d,49.90 Lakh,2019,"17,600 km",Diesel,"Patel Nagar, New Delhi"
Ford Ecosport 1.5 Diesel Titanium BSIV,7.93 Lakh,2019,"32,917 km",Diesel,"Sector 11, Faridabad"
Kia Seltos GTX Plus Diesel AT,17.75 Lakh,2022,"56,143 km",Diesel,"Vikas Puri, New Delhi"
Honda Amaze S Petrol BSIV,5.51 Lakh,2018,"49,061 km",Petrol,"Sector 18, Noida"
Mercedes-Benz E-Class Exclusive E 220d,49.90 Lakh,2020,"18,500 km",Diesel,"Patel Nagar, New Delhi"
Hyundai Venue S,7.85 Lakh,2021,"58,000 km",Petrol,"Sector 16, Noida"
Maruti Alto 800 VXI BSVI,4.09 Lakh,2021,"17,389 km",Petrol,"Sector 11, Faridabad"
Land Rover Range Rover Sport 2.0 Petrol SE,1.10 Crore,2019,"6,200 km",Petrol,"Naraina, New Delhi"
BMW 5 Series 520d Luxury Line,16.50 Lakh,2015,"94,001 km",Diesel,"Preet Vihar, New Delhi"
Renault KWID 1.0 RXT BSVI,5.24 Lakh,2022,"15,260 km",Petrol,"Sector 18, Noida"
Mahindra Thar LX 4-Str Hard Top AT BSVI,16 Lakh,2022,"26,000 km",Petrol,"Vikas Puri, New Delhi"
Kia Seltos HTX G,11.54 Lakh,2019,"27,579 km",Petrol,"Sector 39, Noida"
Kia Carens Prestige Turbo 2022-2023,10.89 Lakh,2022,"20,000 km",Petrol,New Delhi
Maruti Vitara Brezza VDi,6.25 Lakh,2018,"50,000 km",Diesel,"Ramesh Nagar, New Delhi"
Hyundai Creta 1.4 E Plus CRDi,7.99 Lakh,2017,"40,000 km",Diesel,"Chittranjan Park, New Delhi"
BMW 5 Series 530i M Sport BSVI,60 Lakh,2021,"13,000 km",Petrol,"Naraina, New Delhi"
Nissan Kicks XE D BSIV,6.25 Lakh,2019,"80,000 km",Diesel,Noida
