CarName,Price,Year,KilometersDriven,Fuel Type,Location
Maruti Celerio ZXI Optional AMT BSIV,4.50 Lakh,2019,"82,266 km",Petrol,Hyderabad
Renault KWID Climber 1.0 MT,3.36 Lakh,2018,"83,048 km",Petrol,"Rangareddi, Hyderabad"
Ford Endeavour Titanium Plus 4X4,32 Lakh,2017,"89,000 km",Diesel,"Lb Nagar, Hyderabad"
Nissan Micra Active XV,2.80 Lakh,2015,"78,722 km",Petrol,"Begumbazar, Hyderabad"
Audi Q5 35TDI Technology,47 Lakh,2018,"23,000 km",Diesel,"Mehdipatnam, Hyderabad"
Hyundai Creta 1.6 CRDi SX,9.30 Lakh,2017,"1,02,847 km",Diesel,"Gandhi Bhawan, Hyderabad"
Maruti Vitara Brezza ZXI,8.61 Lakh,2021,"66,533 km",Petrol,"Rahmath Nagar, Hyderabad"
Toyota Innova Crysta 2.4 G MT 8 STR,17.80 Lakh,2017,"97,344 km",Diesel,"Nagol, Hyderabad"
Audi A4 Technology,47 Lakh,2022,"2,500 km",Petrol,"Mehdipatnam, Hyderabad"
Hyundai Grand i10 1.2 Kappa Sportz BSIV,5.43 Lakh,2017,"48,430 km",Petrol,"Vanastalipuram, Hyderabad"
Kia Seltos HTK Diesel,12 Lakh,2019,"52,069 km",Diesel,"Nagole, Hyderabad"
Hyundai Grand i10 1.2 Kappa Sportz BSIV,5.59 Lakh,2018,"51,183 km",Petrol,"Rahmath Nagar, Hyderabad"
Toyota Innova Hycross VX 7STR Hybrid BSVI,31 Lakh,2023,"20,000 km",Petrol,Hyderabad
Hyundai Grand i10 1.2 CRDi Sportz,4.90 Lakh,2018,"81,000 km",Diesel,"Lb Nagar, Hyderabad"
Maruti Baleno 1.2 CVT Alpha,7.46 Lakh,2019,"50,056 km",Petrol,"Rangareddi, Hyderabad"
Renault KWID 1.0 RXT,4.75 Lakh,2021,"16,600 km",Petrol,"Lb Nagar, Hyderabad"
Kia Seltos HTX Plus AT D,17 Lakh,2021,"70,000 km",Diesel,Hyderabad
Maruti Baleno 1.2 CVT Alpha,10 Lakh,2022,"9,000 km",Petrol,"Lb Nagar, Hyderabad"
Audi Q7 Technology,81.50 Lakh,2023,"10,000 km",Petrol,"Paltra, Gurgaon"
Audi Q7 45 TDI Quattro Technology,36.90 Lakh,2016,"72,000 km",Diesel,"Paltra, Gurgaon"
Mercedes-Benz E-Class E 350 d BSIV,47 Lakh,2017,"27,000 km",Diesel,"Mehdipatnam, Hyderabad"
Datsun RediGO T Option,2.99 Lakh,2018,"90,823 km",Petrol,"Rangareddi, Hyderabad"
Kia Seltos HTX Plus Diesel,14.50 Lakh,2020,"71,048 km",Diesel,"Nagole, Hyderabad"
Maruti Vitara Brezza ZXI,8.61 Lakh,2021,"66,533 km",Petrol,"Rahmath Nagar, Hyderabad"
BMW X1 sDrive 20d xLine,32.50 Lakh,2020,"38,000 km",Diesel,"Mehdipatnam, Hyderabad"
Hyundai i20 Asta 1.2,4.15 Lakh,2013,"64,000 km",Petrol,"Lb Nagar, Hyderabad"
Nissan Micra Active XV,2.80 Lakh,2015,"78,722 km",Petrol,"Begumbazar, Hyderabad"
Hyundai Creta 1.6 CRDi SX,8.25 Lakh,2015,"85,000 km",Diesel,"Lb Nagar, Hyderabad"
Audi A4 35 TDI Technology,25.50 Lakh,2017,"38,000 km",Diesel,"Mehdipatnam, Hyderabad"
Maruti Celerio ZXI Optional AMT BSIV,4.83 Lakh,2018,"40,238 km",Petrol,"Vanastalipuram, Hyderabad"
Hyundai Grand i10 1.2 CRDi Sportz,4.90 Lakh,2018,"81,000 km",Diesel,"Lb Nagar, Hyderabad"
Hyundai i10 Magna,2.98 Lakh,2012,"52,191 km",Petrol,"Begumbazar, Hyderabad"
Maruti Baleno 1.2 CVT Delta,5.70 Lakh,2018,"20,000 km",Petrol,Hyderabad
Hyundai Creta 1.6 CRDi SX,9.30 Lakh,2017,"1,02,847 km",Diesel,"Gandhi Bhawan, Hyderabad"
Kia Seltos GTX Plus DCT,14.63 Lakh,2020,"55,875 km",Petrol,"Begumbazar, Hyderabad"
Ford Ecosport Sports Diesel,10.50 Lakh,2021,"61,182 km",Diesel,"Lb Nagar, Hyderabad"
MG Hector Sharp DCT,16.50 Lakh,2019,"40,000 km",Petrol,Hyderabad
Maruti Swift VDI,5.50 Lakh,2016,"1,16,000 km",Diesel,"L B Nagar, Hyderabad"
Mahindra Scorpio S11 4WD BSIV,17.99 Lakh,2020,"60,000 km",Diesel,"Lb Nagar, Hyderabad"
Audi Q7 40 TFSI Quattro Technology,55.80 Lakh,2018,"31,700 km",Petrol,"Paltra, Gurgaon"
Mercedes-Benz A Class A200 D Sport,22 Lakh,2017,"18,000 km",Diesel,"Mehdipatnam, Hyderabad"
Maruti Alto 800 VXI,2.13 Lakh,2013,"76,544 km",Petrol,"Rangareddi, Hyderabad"
Audi Q3 35 TDI Quattro Premium Plus,11.90 Lakh,2015,"49,000 km",Diesel,"Paltra, Gurgaon"
Datsun RediGO T Option,3.10 Lakh,2018,"21,877 km",Petrol,"Rahmath Nagar, Hyderabad"
Maruti Celerio ZXI Optional AMT BSIV,4.50 Lakh,2019,"82,266 km",Petrol,Hyderabad
Honda City i DTec V,6.50 Lakh,2015,"92,000 km",Diesel,"Lb Nagar, Hyderabad"
Nissan Micra XV CVT,5.07 Lakh,2017,"26,504 km",Petrol,"Rahmath Nagar, Hyderabad"
Ford Endeavour Titanium Plus 4X4,32 Lakh,2017,"89,000 km",Diesel,"Lb Nagar, Hyderabad"
BMW 5 Series 525d Sedan,12.95 Lakh,2010,"1,07,000 km",Diesel,"Bowenpally, Hyderabad"
Honda Amaze V Petrol BSIV,6.98 Lakh,2019,"58,789 km",Petrol,"Rangareddi, Hyderabad"
BMW 3 Series GT Luxury Line,22.99 Lakh,2016,"1,10,000 km",Diesel,"Ammerpet, Hyderabad"
Hyundai Grand i10 Nios Asta,7.39 Lakh,2022,"39,800 km",Petrol,"Rahmath Nagar, Hyderabad"
Kia Seltos GTX DCT,14.50 Lakh,2019,"42,000 km",Petrol,"Sainikpuri, Hyderabad"
Toyota Innova Crysta 2.4 ZX MT,20.90 Lakh,2019,"1,05,000 km",Diesel,"Lb Nagar, Hyderabad"
Maruti Ertiga VXI,10.60 Lakh,2020,"66,000 km",Petrol,Hyderabad
Mahindra Bolero Neo N10 Option,11.50 Lakh,2022,"30,000 km",Diesel,"Lb Nagar, Hyderabad"
Audi Q3 30 TDI Premium FWD,22 Lakh,2018,"1,20,000 km",Diesel,Hyderabad
Volkswagen Polo 1.5 TDI Highline,5.95 Lakh,2016,"82,000 km",Diesel,"Lb Nagar, Hyderabad"
Maruti Ciaz Alpha BSIV,8.70 Lakh,2020,"60,700 km",Petrol,"Vidyanagar, Hyderabad"
BMW 3 Series 320d Luxury Line,18.90 Lakh,2014,"95,000 km",Diesel,"Lb Nagar, Hyderabad"
Ford Endeavour Titanium Plus 4X4 AT,32.75 Lakh,2021,"79,000 km",Diesel,"Sainikpuri, Hyderabad"
Hyundai Grand i10 1.2 Kappa Asta,5.51 Lakh,2018,"44,299 km",Petrol,"Begumbazar, Hyderabad"
Toyota Innova Crysta 2.4 G MT 8 STR,17.80 Lakh,2017,"97,344 km",Diesel,"Nagol, Hyderabad"
Maruti S-Presso VXI Plus 2019-2022,5.12 Lakh,2022,"38,729 km",Petrol,"Rangareddi, Hyderabad"
Maruti Swift Dzire AMT ZDI Plus,7.95 Lakh,2018,"47,000 km",Diesel,"Sainikpuri, Hyderabad"
Maruti Ciaz 1.3 Alpha,7.70 Lakh,2017,"93,000 km",Diesel,"Lb Nagar, Hyderabad"
Maruti Alto 800 LXI,3.24 Lakh,2018,"52,827 km",Petrol,"Vanastalipuram, Hyderabad"
Maruti Ertiga SHVS ZDI Plus,9.90 Lakh,2018,"1,07,000 km",Diesel,"Lb Nagar, Hyderabad"
BMW 5 Series 520d Luxury Line,65 Lakh,2022,"33,400 km",Diesel,"Bowenpally, Hyderabad"
Ford Ecosport 1.5 Diesel Titanium Plus BSIV,8.37 Lakh,2019,"98,461 km",Diesel,"Rangareddi, Hyderabad"
Hyundai Creta SX Opt Diesel,17 Lakh,2020,"84,060 km",Diesel,"Nagole, Hyderabad"
Maruti Ciaz Delta BSVI,9.30 Lakh,2022,"39,846 km",Petrol,"Vanastalipuram, Hyderabad"
