CarName,Price,Year,KilometersDriven,Fuel Type,Location
Kia Sonet GTX Plus Turbo DCT BSVI,13.45 Lakh,2022,"24,100 km",Petrol,"Borivali West, Mumbai"
Maruti Alto 800 VXI BSVI,4.27 Lakh,2022,"8,228 km",Petrol,"Thurbe, Navi Mumbai"
Maruti Brezza Vxi AT BSVI,12.50 Lakh,2023,"1,623 km",Petrol,"Antop Hill, Mumbai"
Hyundai Creta 1.6 VTVT E Plus,7.86 Lakh,2017,"45,147 km",Petrol,"Goregaon East, Mumbai"
Tata Tiago 1.2 Revotron XZA,5.65 Lakh,2018,"19,000 km",Petrol,"Borivali West, Mumbai"
Hyundai Venue SX,11.75 Lakh,2022,"3,371 km",Petrol,"Antop Hill, Mumbai"
Honda City i VTEC CVT VX,5.99 Lakh,2015,"47,711 km",Petrol,"Thurbe, Navi Mumbai"
Mahindra XUV700 AX7 Diesel AT Luxury Pack BSVI,27.95 Lakh,2023,"8,300 km",Diesel,"Borivali West, Mumbai"
Maruti Wagon R CNG LXI Opt,5.85 Lakh,2019,"27,000 km",CNG,"Borivali West, Mumbai"
Hyundai Aura S CNG,7.17 Lakh,2020,"53,586 km",CNG,"Mulund West, Mumbai"
Volvo XC40 T4 R-Design BSIV,35.75 Lakh,2020,"22,600 km",Petrol,"Matunga West, Mumbai"
Honda Brio VX,3.90 Lakh,2015,"14,489 km",Petrol,"Thurbe, Navi Mumbai"
Tata Nexon 1.2 Revotron XZ Plus Dual Tone,6.30 Lakh,2017,"40,000 km",Petrol,Mumbai
Hyundai Creta 1.6 E Plus,8.90 Lakh,2019,"30,000 km",Petrol,"Andheri East, Mumbai"
Hyundai Verna SX IVT,11.50 Lakh,2021,"10,773 km",Petrol,"Matunga West, Mumbai"
Honda City V MT AVN,5 Lakh,2015,"10,357 km",Petrol,"West, Thane"
Hyundai Tucson GLS AT,20 Lakh,2022,"10,000 km",Petrol,Thane
Honda Jazz 1.2 S AT i VTEC,5.11 Lakh,2015,"31,600 km",Petrol,"Borivali West, Mumbai"
Honda Amaze VX Petrol,4.25 Lakh,2015,"29,001 km",Petrol,"Prabhadevi, Mumbai"
Maruti Vitara Brezza VDi Option,7.95 Lakh,2017,"56,000 km",Diesel,"Chembur, Mumbai"
Hyundai Grand i10 Asta Option,4.45 Lakh,2014,"25,150 km",Petrol,"Borivali West, Mumbai"
Honda City i VTEC CVT VX,5.95 Lakh,2015,"74,945 km",Petrol,"Kharghar, Navi Mumbai"
Honda Jazz 1.2 V AT i VTEC,5.40 Lakh,2016,"37,500 km",Petrol,"Andheri East, Mumbai"
Honda City i DTEC SV,5.20 Lakh,2014,"94,091 km",Diesel,"Thurbe, Navi Mumbai"
Hyundai Grand i10 1.2 Kappa Sportz Option AT,5.75 Lakh,2017,"25,150 km",Petrol,"Borivali West, Mumbai"
Maruti Wagon R VXI BS IV,3.30 Lakh,2015,"31,670 km",Petrol,"West, Thane"
Honda BR-V i-VTEC V MT,7.21 Lakh,2016,"51,790 km",Petrol,"Mulund West, Mumbai"
Kia Seltos GTX Plus,15.75 Lakh,2019,"26,000 km",Petrol,"Andheri East, Mumbai"
Maruti Ciaz VXi Plus,5.85 Lakh,2016,"42,200 km",Petrol,"Borivali West, Mumbai"
Hyundai Creta 1.6 SX Automatic,11.34 Lakh,2018,"49,753 km",Petrol,"Goregaon East, Mumbai"
BMW 3 Series GT Luxury Line,35.95 Lakh,2019,"29,500 km",Diesel,"Andheri East, Mumbai"
Maruti S-Presso VXI Opt CNG,5.59 Lakh,2022,"31,772 km",CNG,"Mulund West, Mumbai"
Hyundai Venue SX Diesel BSIV,8.50 Lakh,2020,"70,000 km",Diesel,Thane
Maruti Celerio VXI,5.50 Lakh,2020,"9,104 km",Petrol,"Kandivali West, Mumbai"
Maruti Vitara Brezza ZDi AMT,10 Lakh,2019,"11,160 km",Diesel,"Malad West, Mumbai"
Hyundai Aura SX Plus AMT,7.45 Lakh,2020,"15,000 km",Petrol,"Malad West, Mumbai"
Mercedes-Benz E-Class 220 CDI,7.80 Lakh,2012,"1,20,000 km",Diesel,Mumbai
Ford Ecosport 1.5 Petrol Titanium BSIV,5.99 Lakh,2017,"31,720 km",Petrol,"West, Thane"
Jeep Compass 1.4 Limited,11.60 Lakh,2018,"31,000 km",Petrol,"Andheri East, Mumbai"
Honda City i VTEC V,4.95 Lakh,2014,"77,118 km",Petrol,"Kandivali West, Mumbai"
Honda City i VTEC CVT VX,7.75 Lakh,2016,"53,150 km",Petrol,"Borivali West, Mumbai"
Honda City i-VTEC CVT VX,9.58 Lakh,2019,"54,705 km",Petrol,"Goregaon East, Mumbai"
Hyundai Creta 1.6 SX Automatic,12.25 Lakh,2018,"21,700 km",Petrol,"Andheri East, Mumbai"
Maruti Swift Dzire VXI,4.69 Lakh,2015,"19,795 km",Petrol,"Ghatkopar West, Mumbai"
Maruti SX4 S Cross DDiS 200 Zeta,6.25 Lakh,2015,"80,250 km",Diesel,"Borivali West, Mumbai"
Maruti Ertiga CNG VXI,11 Lakh,2020,"43,371 km",CNG,"Mulund West, Mumbai"
Maruti Vitara Brezza ZDi Plus Dual Tone,7.58 Lakh,2016,"94,044 km",Diesel,"Mulund West, Mumbai"
Hyundai i20 Sportz 1.2,4.25 Lakh,2014,"73,000 km",Petrol,"Chembur, Mumbai"
Kia Carnival Prestige,29.50 Lakh,2021,"6,000 km",Diesel,"West, Thane"
Maruti Ciaz ZXi,5.91 Lakh,2016,"69,641 km",Petrol,"Thurbe, Navi Mumbai"
Hyundai Venue SX Turbo iMT,10.50 Lakh,2021,"24,484 km",Petrol,"Antop Hill, Mumbai"
Maruti Ciaz 1.4 Sigma,6.20 Lakh,2017,"75,480 km",Petrol,"Mulund West, Mumbai"
Mini Cooper D,14 Lakh,2013,"20,000 km",Diesel,Mumbai
Hyundai i20 Petrol CVT Asta,7.45 Lakh,2018,"31,000 km",Petrol,"Malad West, Mumbai"
Renault KWID 1.0,3 Lakh,2016,"84,900 km",Petrol,"Mulund West, Mumbai"
Hyundai Verna 1.6 SX CRDi (O),5.75 Lakh,2014,"29,800 km",Diesel,"Malad West, Mumbai"
Ford Endeavour 2.2 Trend AT 4X2,19 Lakh,2018,"70,000 km",Diesel,Mumbai
Jeep Meridian Limited Opt AT 4x4,34.34 Lakh,2022,"19,000 km",Diesel,"Borivali West, Mumbai"
Hyundai Grand i10 AT Asta,4.45 Lakh,2014,"57,000 km",Petrol,"Goregaon (w), Mumbai"
Toyota Innova 2.5 G4 Diesel 8-seater,3.40 Lakh,2008,"98,000 km",Diesel,"Borivali West, Mumbai"
Nissan Sunny XL,3.25 Lakh,2012,"31,100 km",Petrol,"Borivali West, Mumbai"
Hyundai Grand i10 1.2 Kappa Sportz BSIV,5.22 Lakh,2019,"44,864 km",Petrol,"Ghatkopar West, Mumbai"
BMW X1 xDrive 20d M Sport,23.99 Lakh,2017,"40,500 km",Diesel,"Bandra West, Mumbai"
Hyundai Grand i10 AT Sportz,5.75 Lakh,2018,"53,878 km",Petrol,"Dadar, Mumbai"
Volkswagen Vento 1.2 TSI Highline AT,7.95 Lakh,2018,"28,000 km",Petrol,"Borivali West, Mumbai"
Maruti Baleno Delta CVT,6.55 Lakh,2019,"54,000 km",Petrol,"Antop Hill, Mumbai"
Maruti Baleno 1.2 Alpha,6.45 Lakh,2019,"83,303 km",Petrol,"Goregaon East, Mumbai"
Volvo S60 T4 Inscription,35.90 Lakh,2021,"29,000 km",Petrol,"Goregaon West, Mumbai"
Hyundai i20 Asta Option 1.2,4.90 Lakh,2014,"47,150 km",Petrol,"Borivali West, Mumbai"
Hyundai Grand i10 Asta Option,4.33 Lakh,2015,"29,505 km",Petrol,"Ghatkopar West, Mumbai"
Maruti Swift Dzire VXi AT,4.65 Lakh,2014,"57,800 km",Petrol,"Vitthalwadi, Thane"
Honda City ZX MT,11.99 Lakh,2021,"41,349 km",Petrol,"West, Thane"
Maruti Ertiga ZDI,6.50 Lakh,2015,"50,000 km",Diesel,Bhayandar
Ford Ecosport 1.5 Diesel Titanium Plus,7.99 Lakh,2017,"25,600 km",Diesel,"Borivali West, Mumbai"
Honda Jazz 1.2 VX i VTEC,4.75 Lakh,2015,"43,000 km",Petrol,"Andheri East, Mumbai"
Mahindra Xylo E9,4.25 Lakh,2012,"89,356 km",Diesel,"Virar E, Mumbai"
Toyota Corolla Altis G,2.05 Lakh,2010,"1,20,000 km",Petrol,Mumbai
Jeep Compass 2.0 Limited Plus,15.50 Lakh,2019,"17,500 km",Diesel,"Andheri East, Mumbai"
Honda Jazz VX CVT,7.11 Lakh,2019,"27,000 km",Petrol,"Andheri East, Mumbai"
Ford Figo 1.2P Titanium MT,4.75 Lakh,2018,"56,000 km",Petrol,"Andheri, Mumbai"
Maruti Ertiga VDI,5.21 Lakh,2013,"97,000 km",Diesel,"West, Thane"
Maruti Baleno 1.2 Alpha,5.56 Lakh,2017,"67,369 km",Petrol,"Thurbe, Navi Mumbai"
Maruti Ciaz Alpha Automatic BSIV,11.45 Lakh,2022,"9,000 km",Petrol,"Andheri West, Mumbai"
Nissan Micra Active XV S,4.06 Lakh,2018,"60,178 km",Petrol,"Dadar, Mumbai"
Honda City V AT,4.45 Lakh,2012,"66,150 km",Petrol,"Borivali West, Mumbai"
Volkswagen Vento Petrol Comfortline,3.49 Lakh,2013,"31,276 km",Petrol,"West, Thane"
Maruti Alto 800 LXI,2.10 Lakh,2013,"46,965 km",Petrol,"Thurbe, Navi Mumbai"
Maruti Ignis Zeta,5.45 Lakh,2017,"33,804 km",Petrol,"Antop Hill, Mumbai"
Honda City i VTEC CVT SV,5.75 Lakh,2015,"51,250 km",Petrol,"Borivali West, Mumbai"
Tata Tiago 1.2 Revotron XZA,5.45 Lakh,2018,"27,428 km",Petrol,"Kharghar, Navi Mumbai"
Jeep Compass 1.4 Limited Plus,15.75 Lakh,2019,"36,000 km",Petrol,"Andheri East, Mumbai"
Honda Amaze VX CVT Diesel,10.70 Lakh,2022,"18,610 km",Diesel,"Goregaon East, Mumbai"
Honda City i VTEC V,6.75 Lakh,2017,"70,000 km",Petrol,Mumbai
Hyundai Creta 1.6 VTVT AT SX Plus,12.25 Lakh,2019,"46,000 km",Petrol,Thane
Honda City i VTEC CVT VX,7.15 Lakh,2016,"52,295 km",Petrol,"West, Thane"
Honda City ZX CVT,8.50 Lakh,2017,"47,000 km",Petrol,Thane
Toyota Innova Crysta 2.8 GX AT BSIV,19 Lakh,2019,"50,000 km",Diesel,Mumbai
Maruti Wagon R CNG LXI Opt BSIV,5.50 Lakh,2020,"54,000 km",CNG,"West, Thane"
Toyota Fortuner 2.8 2WD AT,33.90 Lakh,2018,"33,000 km",Diesel,"Andheri West, Mumbai"
Hyundai i20 1.4 Asta AT with AVN,3.31 Lakh,2011,"80,000 km",Petrol,"Jogeshwari East, Mumbai"
Maruti Ignis Zeta,7.40 Lakh,2023,"5,300 km",Petrol,"Vileparle(west) S.o, Mumbai"
Maruti Ignis 1.2 Sigma BSIV,4.20 Lakh,2018,"20,473 km",Petrol,"Goregaon East, Mumbai"
Ford Ecosport 1.5 Ti VCT AT Titanium BE BSIV,5.75 Lakh,2017,"78,000 km",Petrol,"Andheri West, Mumbai"
Maruti Swift Dzire LXI,4.53 Lakh,2015,"18,231 km",Petrol,"Goregaon East, Mumbai"
Honda Jazz V CVT,5.65 Lakh,2017,"78,500 km",Petrol,"West, Thane"
MG Hector Hybrid Sharp MT,14.25 Lakh,2020,"30,700 km",Petrol,"Mulund West, Mumbai"
Maruti S-Presso VXI Plus AT 2019-2022,5.01 Lakh,2020,"6,197 km",Petrol,"Goregaon East, Mumbai"
Honda Amaze S AT i-Vtech,4.35 Lakh,2014,"47,000 km",Petrol,"Borivali West, Mumbai"
Audi Q7 45 TDI Quattro Technology,45 Lakh,2017,"35,000 km",Diesel,"Vileparle(west) S.o, Mumbai"
Renault KWID RXT,3.05 Lakh,2016,"14,661 km",Petrol,"Goregaon East, Mumbai"
Hyundai i20 Magna,3.95 Lakh,2013,"76,310 km",Petrol,"West, Thane"
Hyundai Creta 1.6 SX Automatic,11.38 Lakh,2018,"19,889 km",Petrol,"Mulund West, Mumbai"
Toyota Innova Crysta 2.8 GX AT BSIV,19 Lakh,2019,"50,000 km",Diesel,Mumbai
Hyundai Verna 1.6 SX,4.65 Lakh,2012,"66,000 km",Diesel,"Kalwa, Thane"
Hyundai Creta 1.6 CRDi AT SX Plus,14.35 Lakh,2019,"43,000 km",Diesel,"Chembur, Mumbai"
Hyundai i20 Magna 1.4 CRDi,5 Lakh,2014,"72,000 km",Diesel,"Kalwa, Thane"
Hyundai Verna 1.4 CRDi,2.90 Lakh,2013,"1,20,000 km",Diesel,Mumbai
Kia Sonet 1.5 GTX Plus Diesel DT,13.75 Lakh,2020,"35,000 km",Diesel,"Kandivali West, Mumbai"
Tata Tigor 1.2 Revotron XZA,5.24 Lakh,2018,"42,000 km",Petrol,"Malad West, Mumbai"
Audi Q3 30 TFSI Premium FWD,24.75 Lakh,2018,"33,000 km",Petrol,"Andheri East, Mumbai"
Hyundai Venue S BSVI,9.90 Lakh,2023,"8,813 km",Petrol,"West, Thane"
Hyundai i20 Sportz Plus BSIV,5.72 Lakh,2019,"47,553 km",Petrol,"Thurbe, Navi Mumbai"
Mercedes-Benz GLC 220d 4MATIC Sport,42.50 Lakh,2018,"27,000 km",Diesel,"Matunga West, Mumbai"
Honda City i VTEC VX,6.75 Lakh,2016,"47,000 km",Petrol,"Andheri East, Mumbai"
Maruti Baleno 1.2 CVT Delta,5.65 Lakh,2016,"33,100 km",Petrol,"Borivali West, Mumbai"
Volkswagen Virtus Topline,14.51 Lakh,2022,"17,500 km",Petrol,"Borivali West, Mumbai"
Honda Jazz 1.2 V AT i VTEC,5.56 Lakh,2015,"37,902 km",Petrol,"Mulund West, Mumbai"
Renault Duster 110PS Diesel RxZ AWD,7.50 Lakh,2016,"62,000 km",Diesel,Thane
Hyundai Verna 1.6 SX VTVT (O) AT,4.31 Lakh,2012,"57,000 km",Petrol,"Borivali West, Mumbai"
Jeep Compass 1.4 Longitude Option,18.25 Lakh,2021,"21,000 km",Petrol,"Andheri East, Mumbai"
BMW 3 Series GT Luxury Line,36.90 Lakh,2019,"29,500 km",Diesel,"Andheri East, Mumbai"
Skoda Rapid 1.6 TDI Elegance,3.21 Lakh,2012,"52,000 km",Diesel,"Borivali West, Mumbai"
Maruti Wagon R VXI AMT,4.59 Lakh,2018,"57,999 km",Petrol,"West, Thane"
Honda Mobilio V i-VTEC,5 Lakh,2014,"46,000 km",Petrol,"Prabhadevi, Mumbai"
Honda City S,3.85 Lakh,2013,"79,000 km",Petrol,Thane
Maruti Swift Dzire VXI 1.2,6.75 Lakh,2019,"35,396 km",Petrol,"Antop Hill, Mumbai"
Mercedes-Benz E-Class Expression E 220 d BSIV,38.50 Lakh,2018,"40,000 km",Diesel,Mumbai
Maruti Ertiga VDI,5.75 Lakh,2013,"48,000 km",Diesel,"Andheri East, Mumbai"
Mahindra Scorpio S8 7 Seater,9.25 Lakh,2016,"85,000 km",Diesel,"Andheri East, Mumbai"
Skoda Rapid 1.6 MPI AT Style BSIV,6.90 Lakh,2017,"39,300 km",Petrol,"Andheri East, Mumbai"
Mercedes-Benz GLA 4MATIC,24.75 Lakh,2018,"20,101 km",Petrol,"Borivali West, Mumbai"
Hyundai i20 Sportz 1.2,4.52 Lakh,2015,"63,269 km",Petrol,"Mulund West, Mumbai"
Mahindra XUV500 W11 Option AT,15.50 Lakh,2021,"61,252 km",Diesel,"Borivali West, Mumbai"
Hyundai Grand i10 Nios AMT Sportz,6.82 Lakh,2019,"17,166 km",Petrol,"Thurbe, Navi Mumbai"
Mercedes-Benz GLC 200,49.25 Lakh,2020,"16,000 km",Petrol,"Vileparle(west) S.o, Mumbai"
Maruti Ciaz 1.4 AT Delta,6.50 Lakh,2017,"24,000 km",Petrol,"Mulund West, Mumbai"
Hyundai Grand i10 Nios AMT Sportz,6.67 Lakh,2019,"47,261 km",Petrol,"Goregaon East, Mumbai"
Honda City i VTEC V,4.51 Lakh,2012,"63,423 km",Petrol,"Antop Hill, Mumbai"
Honda Brio S MT,2.85 Lakh,2012,"26,150 km",Petrol,"Borivali West, Mumbai"
Maruti Swift VXI,4.17 Lakh,2014,"43,613 km",Petrol,"Mulund West, Mumbai"
Honda City i-VTEC CVT VX,9.75 Lakh,2019,"39,000 km",Petrol,"Prabhadevi, Mumbai"
Mahindra XUV500 W11 AT BSIV,14.25 Lakh,2019,"56,000 km",Diesel,"Andheri East, Mumbai"
Renault Duster Petrol RxL,4.75 Lakh,2015,"38,734 km",Petrol,"West, Thane"
Maruti Ertiga ZXI,5.85 Lakh,2013,"51,001 km",Petrol,"Matunga West, Mumbai"
Maruti Ciaz AT ZXi,5.60 Lakh,2015,"55,900 km",Petrol,"Andheri East, Mumbai"
Jeep Compass 1.4 Limited Opt DCT BSVI,21.95 Lakh,2021,"22,001 km",Petrol,"Matunga West, Mumbai"
Mahindra XUV300 W8 Option Diesel BSVI,12.99 Lakh,2022,"13,496 km",Diesel,"West, Thane"
Maruti Swift Dzire AMT ZDI,7.85 Lakh,2019,"42,733 km",Diesel,"Matunga West, Mumbai"
Hyundai i20 Active 1.2 SX,6.11 Lakh,2017,"33,800 km",Petrol,"Goregaon (w), Mumbai"
Chevrolet Sail 1.2 LS,2.99 Lakh,2017,"65,000 km",Petrol,"Andheri, Mumbai"
BMW 5 Series 520d Luxury Line,36.50 Lakh,2018,"40,700 km",Diesel,"Andheri West, Mumbai"
Maruti Baleno 1.2 CVT Zeta,5.95 Lakh,2017,"56,500 km",Petrol,"Goregaon East, Mumbai"
Hyundai Santa Fe 2WD AT,6.99 Lakh,2014,"75,000 km",Diesel,"Andheri, Mumbai"
Honda City i VTEC SV,4.76 Lakh,2014,"54,189 km",Petrol,"Mulund West, Mumbai"
Mercedes-Benz E-Class Expression E 220 d BSIV,39.50 Lakh,2018,"57,000 km",Diesel,"Andheri West, Mumbai"
Skoda Rapid 1.5 TDI Ambition,5.35 Lakh,2016,"63,333 km",Diesel,"West, Thane"
Maruti Swift VXI,3.73 Lakh,2014,"69,220 km",Petrol,"Goregaon East, Mumbai"
BMW X1 sDrive 20d M Sport,18.95 Lakh,2017,"76,000 km",Diesel,"Chembur, Mumbai"
Aston Martin Rapide S V12,2.50 Crore,2017,"7,000 km",Petrol,"Andheri West, Mumbai"
Maruti Swift Dzire VXI,3.92 Lakh,2013,"66,777 km",Petrol,"Goregaon East, Mumbai"
Maruti Ciaz AT ZXi,6.15 Lakh,2015,"47,000 km",Petrol,Thane
Jeep Compass 2.0 Limited 4X4 Opt Diesel AT BSVI,26.95 Lakh,2021,"27,000 km",Diesel,"Malad West, Mumbai"
BMW X7 xDrive 40i M Sport,1.20 Crore,2022,"16,000 km",Petrol,"Vileparle(west) S.o, Mumbai"
Mercedes-Benz V-Class 2019-2022 Elite,64.75 Lakh,2019,"75,000 km",Diesel,"Andheri, Mumbai"
Maruti Swift Dzire LXi,2.50 Lakh,2010,"71,000 km",Petrol,"Jekegram, Thane"
Hyundai Creta 1.6 VTVT AT SX Plus,13.45 Lakh,2019,"14,405 km",Petrol,"Antop Hill, Mumbai"
Jeep Compass 1.4 Longitude Plus AT,11.99 Lakh,2017,"44,000 km",Petrol,"Vikhroli, Mumbai"
Honda City i VTEC CVT VX,6.75 Lakh,2015,"58,900 km",Petrol,"Malad West, Mumbai"
Honda City i VTEC CVT VX,6.25 Lakh,2015,"77,000 km",Petrol,"Chembur, Mumbai"
Maruti Baleno 1.2 Alpha,6 Lakh,2017,"60,000 km",Petrol,"Vitthalwadi, Thane"
Ford Ecosport 1.5 Petrol Titanium AT,5 Lakh,2015,"59,321 km",Petrol,"West, Thane"
Maruti Ciaz VXi,5.80 Lakh,2016,"51,282 km",Petrol,"Goregaon East, Mumbai"
Jeep Compass 2.0 Longitude Option,11.95 Lakh,2017,"57,130 km",Diesel,"Kandivali West, Mumbai"
Honda City i VTEC CVT VX,8.13 Lakh,2017,"69,550 km",Petrol,"Goregaon East, Mumbai"
Tata Nexon XZA Plus Kaziranga Edition AMT,12.50 Lakh,2022,"11,100 km",Petrol,"Vileparle(west) S.o, Mumbai"
Skoda Rapid 1.0 TSI Ambition AT,7.25 Lakh,2018,"41,354 km",Petrol,"Kandivali West, Mumbai"
Skoda Rapid 1.6 MPI AT Style BSIV,6.25 Lakh,2016,"65,105 km",Petrol,"Kharghar, Navi Mumbai"
Mahindra XUV300 W8 Opt Diesel,9.51 Lakh,2020,"36,000 km",Diesel,"Andheri East, Mumbai"
Honda Amaze V CVT Diesel BSIV,8.50 Lakh,2018,"30,500 km",Diesel,"Vileparle(west) S.o, Mumbai"
Maruti Ertiga VXI,5.73 Lakh,2013,"27,307 km",Petrol,"Goregaon East, Mumbai"
Skoda Slavia 1.5 TSI Style AT BSVI,17.25 Lakh,2022,"11,200 km",Petrol,"Borivali West, Mumbai"
Maruti Celerio ZXI AT,4.60 Lakh,2017,"43,350 km",Petrol,"Malad West, Mumbai"
Jaguar F-Pace Prestige 2.0 AWD,41.50 Lakh,2018,"43,000 km",Diesel,"Andheri West, Mumbai"
Maruti SX4 S Cross Zeta DDiS 200 SH,9 Lakh,2017,"30,000 km",Diesel,Thane
Hyundai Elantra S,5.45 Lakh,2015,"75,000 km",Petrol,"Andheri, Mumbai"
Hyundai Grand i10 Magna,4.25 Lakh,2016,"36,000 km",Petrol,"Antop Hill, Mumbai"
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,26.50 Lakh,2013,"78,000 km",Diesel,"Andheri West, Mumbai"
Toyota Etios G,3.85 Lakh,2013,"79,634 km",Petrol,"West, Thane"
Land Rover Discovery HSE 3.0 TD6,30.30 Lakh,2017,"49,247 km",Diesel,Thane
Maruti Wagon R AMT VXI,4.15 Lakh,2016,"37,511 km",Petrol,"Antop Hill, Mumbai"
