CarName,Price,Year,KilometersDriven,Fuel Type,Location
Maruti Celerio X AMT ZXI Option BSIV,4.95 Lakh,2018,"43,300 km",Petrol,"Kothrud, Pune"
Hyundai Creta 1.6 SX Automatic,10.90 Lakh,2018,"69,000 km",Petrol,"Range Hills, Pune"
Hyundai i20 1.2 Spotz,5.75 Lakh,2017,"43,000 km",Petrol,"Mundhwa, Pune"
Maruti SX4 S Cross DDiS 200 Zeta,7.15 Lakh,2015,"96,791 km",Diesel,"Thathawade, Pune"
Maruti Ciaz Alpha Automatic BSIV,9.95 Lakh,2020,"46,000 km",Petrol,"Kothrud, Pune"
Hyundai Creta 1.6 E Plus,7.75 Lakh,2016,"40,000 km",Petrol,"Fatima Nagar, Pune"
Hyundai i20 Magna Optional 1.2,3.79 Lakh,2013,"62,217 km",Petrol,"Undri, Pune"
Hyundai Grand i10 Asta Option AT,4.95 Lakh,2016,"61,000 km",Petrol,"Fatima Nagar, Pune"
Hyundai Elantra 1.6 SX Option AT,15.45 Lakh,2018,"41,500 km",Diesel,"Kothrud, Pune"
Maruti Wagon R LXI CNG,3.95 Lakh,2015,"27,541 km",CNG,"Thathawade, Pune"
Honda City i VTEC VX Option BL,7.25 Lakh,2016,"36,000 km",Petrol,"Fatima Nagar, Pune"
Maruti Wagon R LXI CNG,4.26 Lakh,2015,"73,116 km",CNG,"Thathawade, Pune"
Hyundai i20 Petrol CVT Asta,7.60 Lakh,2019,"60,000 km",Petrol,Pune
Ford Endeavour 3.2 Titanium AT 4X4,28 Lakh,2019,"78,000 km",Diesel,"Fatima Nagar, Pune"
Hyundai i20 Sportz Plus BSIV,7.05 Lakh,2019,"43,340 km",Petrol,"Thathawade, Pune"
Jaguar XF 2.2 Litre Luxury,19 Lakh,2015,"47,000 km",Diesel,"Fatima Nagar, Pune"
Ford Fiesta 1.6 SXi Duratec,1.50 Lakh,2010,"1,10,000 km",Petrol,Pune
Hyundai i20 Sportz 1.2,5.59 Lakh,2015,"68,640 km",Petrol,"Thathawade, Pune"
Volkswagen Vento 1.6 Highline Plus,5.45 Lakh,2015,"42,872 km",Petrol,"Wakad, Pune"
Maruti Ciaz Zeta BSVI,6.75 Lakh,2017,"44,509 km",Petrol,"Wakad, Pune"
Maruti Ciaz Alpha Automatic BSIV,9.95 Lakh,2020,"46,000 km",Petrol,"Kothrud, Pune"
