CarName,Price,Year,KilometersDriven,Fuel Type,Location
Hyundai Verna,"2,90,000",2011,"74,527 KM",PETROL,"Undri, Pune"
Hyundai i10,"3,18,000",2013,"1,03,214 KM",PETROL,"Tathawade, Pune"
Mahindra BOLERO NEO,"8,75,000",2021,"28,449 KM",DIESEL,"Undri, Pune"
Hyundai i20,"4,46,000",2013,"49,055 KM",PETROL,"Undri, Pune"
Hyundai i10,"2,66,000",2012,"75,703 KM",PETROL,"Undri, Pune"
Hyundai Eon,"2,56,000",2014,"84,885 KM",PETROL,"Undri, Pune"
Skoda Rapid,"5,92,000",2015,"59,133 KM",DIESEL,"Tathawade, Pune"
Hyundai i20,"3,81,000",2013,"26,363 KM",PETROL,"Undri, Pune"
Maruti Swift,"2,76,000",2011,"82,202 KM",PETROL,"Tathawade, Pune"
Maruti Wagon R 1.0,"2,94,000",2013,"1,15,002 KM",CNG,"Undri, Pune"
Maruti Ertiga,"6,75,000",2015,"67,478 KM",CNG,"Tathawade, Pune"
Hyundai Verna,"3,83,000",2013,"99,583 KM",PETROL,"Tathawade, Pune"
Maruti Ertiga,"6,29,000",2014,"59,652 KM",CNG,"Undri, Pune"
Maruti Wagon R 1.0,"3,68,000",2017,"79,170 KM",CNG,"Tathawade, Pune"
Hyundai NEW SANTRO,"6,25,000",2021,"17,620 KM",CNG,"Tathawade, Pune"
Maruti Swift,"2,95,000",2012,"90,763 KM",PETROL,"Tathawade, Pune"
Maruti Dzire,"6,86,000",2017,"18,613 KM",PETROL,"Undri, Pune"
Maruti Wagon R 1.0,"3,69,000",2016,"40,058 KM",PETROL,"Tathawade, Pune"
Ford Ecosport,"5,75,000",2016,"66,870 KM",CNG,"Undri, Pune"
Skoda Rapid,"3,29,000",2013,"1,23,087 KM",DIESEL,"Tathawade, Pune"
Mahindra XUV500,"7,96,000",2017,"90,963 KM",DIESEL,"Tathawade, Pune"
Nissan MAGNITE,"6,95,000",2021,"42,454 KM",PETROL,"Undri, Pune"
Hyundai Elite i20,"5,52,000",2017,0 KM,PETROL,"Undri, Pune"
Honda Amaze,"4,82,000",2017,"52,604 KM",PETROL,"Tathawade, Pune"
Hyundai Elite i20,"6,41,000",2017,"80,576 KM",PETROL,"Tathawade, Pune"
Maruti Swift,"5,97,000",2019,"95,905 KM",PETROL,"Tathawade, Pune"
Maruti Ciaz,"4,98,000",2016,"51,279 KM",PETROL,"Tathawade, Pune"
Maruti Swift,"4,35,000",2017,"35,029 KM",PETROL,"Tathawade, Pune"
Maruti Alto 800,"1,88,000",2012,"63,748 KM",PETROL,"Undri, Pune"
Hyundai Creta,"7,85,000",2015,"45,212 KM",PETROL,"Undri, Pune"
Hyundai i10,"1,80,000",2010,"77,455 KM",PETROL,"Tathawade, Pune"
Hyundai NEW SANTRO,"5,71,000",2019,"31,118 KM",PETROL,"Undri, Pune"
Hyundai Eon,"2,21,000",2014,"29,202 KM",PETROL,"Tathawade, Pune"
Tata Tiago,"4,15,000",2017,"61,157 KM",PETROL,"Tathawade, Pune"
Maruti Alto 800,"2,39,000",2015,"30,863 KM",PETROL,"Tathawade, Pune"
Honda City,"4,28,000",2014,"69,542 KM",PETROL,"Tathawade, Pune"
Volkswagen Polo,"6,15,000",2018,"44,239 KM",PETROL,"Undri, Pune"
Hyundai i20,"2,86,000",2010,"26,669 KM",PETROL,"Undri, Pune"
Hyundai i10,"2,11,000",2011,"74,895 KM",PETROL,"Undri, Pune"
Hyundai i10,"2,40,000",2012,"57,413 KM",PETROL,"Undri, Pune"
Hyundai Grand i10,"3,19,000",2014,"1,18,402 KM",PETROL,"Undri, Pune"
Honda Amaze,"3,31,000",2014,"68,710 KM",PETROL,"Undri, Pune"
Toyota Innova,"9,93,000",2015,"1,17,210 KM",DIESEL,"Undri, Pune"
Honda City,"3,89,000",2012,"94,765 KM",PETROL,"Undri, Pune"
Hyundai VENUE,"8,01,000",2021,"26,424 KM",PETROL,"Tathawade, Pune"
Hyundai VENUE,"9,87,000",2022,"8,931 KM",PETROL,"Undri, Pune"
Hyundai Eon,"1,81,000",2011,"66,145 KM",PETROL,"Tathawade, Pune"
Hyundai Elite i20,"4,44,000",2015,"43,324 KM",PETROL,"Undri, Pune"
Hyundai Elite i20,"4,39,000",2014,"1,01,010 KM",CNG,"Undri, Pune"
Hyundai i20,"3,33,000",2012,"62,544 KM",PETROL,"Undri, Pune"
Hyundai Elite i20,"4,98,000",2015,"43,277 KM",PETROL,"Undri, Pune"
Maruti Ertiga,"10,30,000",2020,"13,909 KM",PETROL,"Undri, Pune"
Tata NEXON,"7,29,000",2019,"66,582 KM",PETROL,"Tathawade, Pune"
Maruti Baleno,"5,29,000",2018,"58,041 KM",PETROL,"Undri, Pune"
Maruti Alto K10,"2,74,000",2016,"42,591 KM",PETROL,"Undri, Pune"
Hyundai Verna,"4,95,000",2014,"1,05,666 KM",CNG,"Undri, Pune"
KIA CARENS,"14,38,000",2022,"11,665 KM",PETROL,"Tathawade, Pune"
Maruti Vitara Brezza,"7,43,000",2018,"81,534 KM",DIESEL,"Tathawade, Pune"
Renault TRIBER,"5,57,000",2022,"4,753 KM",PETROL,"Tathawade, Pune"
Maruti Swift Dzire,"4,66,000",2014,"38,689 KM",PETROL,"Tathawade, Pune"
Maruti Swift,"3,09,000",2012,"80,208 KM",PETROL,"Tathawade, Pune"
Maruti New Wagon-R,"4,92,500",2019,"39,449 KM",CNG,"Undri, Pune"
Maruti Alto K10,"1,69,000",2011,"42,237 KM",PETROL,"Undri, Pune"
Ford Ecosport,"4,93,000",2017,"93,995 KM",PETROL,"Undri, Pune"
Hyundai New Elantra,"13,07,000",2018,"42,190 KM",PETROL,"Undri, Pune"
Datsun Go Plus,"3,60,000",2018,"29,855 KM",PETROL,"Undri, Pune"
Maruti Ciaz,"5,43,000",2017,"97,515 KM",DIESEL,"Tathawade, Pune"
Maruti Wagon R 1.0,"3,20,000",2014,"67,238 KM",CNG,"Undri, Pune"
Hyundai Elite i20,"4,56,000",2015,"49,353 KM",PETROL,"Tathawade, Pune"
Maruti Swift,"3,78,000",2012,"66,853 KM",DIESEL,"Undri, Pune"
Hyundai Creta,"11,74,000",2019,"93,842 KM",DIESEL,"Undri, Pune"
Honda BR-V,"7,08,000",2017,"49,876 KM",PETROL,"Undri, Pune"
Tata NEXON,"9,53,000",2021,"2,428 KM",PETROL,"Tathawade, Pune"
