Company,CarName
Maruti,Maruti Alto
Tata,Tata NEXON
Hyundai,Hyundai GRAND I10 NIOS
Maruti,Maruti S PRESSO
Toyota,Toyota Corolla Altis
Hyundai,Hyundai AURA
Maruti,Maruti Vitara Brezza
Maruti,Maruti Swift
Renault,Renault Duster
Maruti,Maruti Baleno
Honda,Honda Amaze
Maruti,Maruti New Wagon-R
Hyundai,Hyundai Elite i20
Toyota,Toyota Glanza
Maruti,Maruti Wagon R 1.0
Maruti,Maruti Alto K10
Ford,Ford Ecosport
Maruti,Maruti Alto 800
Hyundai,Hyundai Grand i10
Maruti,Maruti Celerio
Maruti,Maruti Ciaz
Renault,Renault Kwid
Toyota,Toyota Etios Liva
Hyundai,Hyundai Verna
Maruti,Maruti Celerio X
Maruti,Maruti Swift Dzire
Hyundai,Hyundai Creta
Honda,Honda WR-V
Renault,Renault TRIBER
Hyundai,Hyundai i10
Honda,Honda City
Maruti,Maruti IGNIS
Toyota,Toyota Innova Crysta
Renault,Renault Kiger
Hyundai,Hyundai i20 Active
Volkswagen,Volkswagen Vento
Hyundai,Hyundai Xcent
Maruti,Maruti Dzire
Maruti,Maruti Wagon R Stingray
Maruti,Maruti Zen Estilo
Tata,Tata Tiago
Nissan,Nissan Micra Active
KIA,KIA SELTOS
Hyundai,Hyundai i20
Skoda,Skoda Rapid
Tata,Tata Harrier
Datsun,Datsun Go Plus
Datsun,Datsun Go
Datsun,Datsun Redi Go
Hyundai,Hyundai VENUE
Honda,Honda Brio
Maruti,Maruti BREZZA
Jeep,Jeep Compass
Maruti,Maruti S Cross
Volkswagen,Volkswagen Ameo
Maruti,Maruti XL6
Honda,Honda Accord
MG,MG HECTOR
Tata,Tata PUNCH
Nissan,Nissan MAGNITE
KIA,KIA SONET
Honda,Honda BR-V
Tata,Tata ALTROZ
Honda,Honda Jazz
Maruti,Maruti Ertiga
Maruti,Maruti Ritz
Hyundai,Hyundai NEW SANTRO
KIA,KIA CARENS
Toyota,Toyota Etios
Mahindra,Mahindra XUV 3OO
Maruti,Maruti A Star
Volkswagen,Volkswagen VIRTUS
Mahindra,Mahindra Bolero
Volkswagen,Volkswagen Polo
Ford,Ford New Figo
Toyota,Toyota URBAN CRUISER
Tata,Tata TIGOR
Ford,Ford Figo Aspire
Mahindra,Mahindra XUV500
Honda,Honda Civic
Ford,Ford FREESTYLE
Hyundai,Hyundai Eon
Hyundai,Hyundai Tucson New
Hyundai,Hyundai Santro Xing
Hyundai,Hyundai New Elantra
Tata,Tata Safari
Mahindra,Mahindra Scorpio
