Company,CarName
Hyundai,Hyundai Verna
Hyundai,Hyundai i10
Mahindra,Mahindra BOLERO NEO
Hyundai,Hyundai i20
Hyundai,Hyundai Eon
Skoda,Skoda Rapid
Maruti,Maruti Swift
Maruti,Maruti Wagon R 1.0
Maruti,Maruti Ertiga
Hyundai,Hyundai NEW SANTRO
Maruti,Maruti Dzire
Ford,Ford Ecosport
Mahindra,Mahindra XUV500
Nissan,Nissan MAGNITE
Hyundai,Hyundai Elite i20
Honda,Honda Amaze
Maruti,Maruti Ciaz
Maruti,Maruti Alto 800
Hyundai,Hyundai Creta
Tata,Tata Tiago
Honda,Honda City
Volkswagen,Volkswagen Polo
Hyundai,Hyundai Grand i10
Toyota,Toyota Innova
Hyundai,Hyundai VENUE
Tata,Tata NEXON
Maruti,Maruti Baleno
Maruti,Maruti Alto K10
KIA,KIA CARENS
Maruti,Maruti Vitara Brezza
Renault,Renault TRIBER
Maruti,Maruti Swift Dzire
Maruti,Maruti New Wagon-R
Hyundai,Hyundai New Elantra
Datsun,Datsun Go Plus
Honda,Honda BR-V
Jeep,Jeep Compass
Volkswagen,Volkswagen Ameo
Toyota,Toyota Glanza
Tata,Tata ALTROZ
Renault,Renault Kwid
Maruti,Maruti Celerio
Toyota,Toyota Etios
Honda,Honda Jazz
Honda,Honda WR-V
Maruti,Maruti Zen Estilo
KIA,KIA SELTOS
Mahindra,Mahindra Scorpio
Nissan,Nissan Micra
Honda,Honda Brio
Renault,Renault Kiger
Hyundai,Hyundai NEW I20 N
Nissan,Nissan Micra Active
Hyundai,Hyundai NEW I20
Maruti,Maruti Ritz
Hyundai,Hyundai Xcent
Honda,Honda Civic
Hyundai,Hyundai AURA
KIA,KIA SONET
Maruti,Maruti Alto
Maruti,Maruti IGNIS
Datsun,Datsun Redi Go
Tata,Tata TIGOR
Mahindra,Mahindra KUV 100 NXT
Toyota,Toyota Corolla Altis
Maruti,Maruti S PRESSO
Mahindra,Mahindra XUV 3OO
Skoda,Skoda Octavia
Hyundai,Hyundai GRAND I10 NIOS
Renault,Renault Duster
Maruti,Maruti Celerio X
Ford,Ford New Figo
Tata,Tata Harrier
Volkswagen,Volkswagen Vento
Maruti,Maruti BREZZA
Maruti,Maruti XL6
Tata,Tata Safari
Ford,Ford Figo Aspire
Ford,Ford FREESTYLE
Nissan,Nissan Terrano
Maruti,Maruti Eeco
MG,MG HECTOR
