CarName,Price,Year,KilometersDriven,Fuel Type,Location
Mercedes-Benz C-Class,"22,51,111",2015,"62,000 km",Diesel,Bandra West
Mercedes-Benz E-Class,"15,50,000",2014,"72,000 km",Diesel,Bandra West
Audi Q7,"39,99,999",2016,"66,000 km",Diesel,Bandra West
Hyundai i10,"2,99,000",2013,"12,000 km",Petrol,Mahim
Kia Seltos,"15,35,000",2019,"47,425 km",Diesel,Chembur
Maruti Suzuki Ertiga,"6,75,000",2015,"51,000 km",Petrol,Mahim
Tata EV,"12,95,000",2021,"31,000 km",Electric,Chembur
Maruti Suzuki Swift,"3,78,000",2012,"80,000 km",Diesel,Chembur
Hyundai Verna,"4,60,000",2013,"64,000 km",Diesel,Chembur
BMW 3 Series,"15,55,000",2015,"77,000 km",Diesel,Bandra West
Maruti Suzuki Wagon-R-1-0,"4,15,000",2017,"68,000 km",CNG & Hybrids,Chembur
BMW X1,"6,11,000",2012,"123,000 km",Diesel,Chembur
Mitsubishi Pajero Sport,"11,85,000",2016,"80,000 km",Diesel,Chembur
Hyundai Creta,"8,80,000",2015,"76,000 km",Diesel,Chembur
Maruti Suzuki Swift,"3,68,000",2012,"62,000 km",Petrol,Chembur
Maruti Suzuki Baleno,"5,60,000",2017,"58,000 km",Petrol,Chembur
BMW 7 Series,"21,85,000",2013,"45,000 km",Diesel,Chembur
Hyundai Creta,"9,45,000",2017,"68,000 km",Petrol,Chembur
Jeep Compass,"25,00,000",2021,"21,000 km",Diesel,Matunga Road
Toyota Innova,"8,75,000",2015,"118,367 km",Diesel,Sion West
Land Rover Range Rover Evoque,"39,49,999",2017,"55,830 km",Diesel,Bandra West
Toyota Yaris,"6,99,999",2018,"82,000 km",Petrol,Chembur
Honda City,"6,50,000",2015,"78,583 km",CNG & Hybrids,Sion West
Land Rover Discovery,"44,99,999",2019,"27,700 km",Diesel,Bandra West
Toyota Fortuner,"32,99,000",2017,"57,708 km",Diesel,Kurla West
Hyundai Verna,"8,00,000",2017,"23,000 km",Petrol,Santacruz East
Mahindra TUV,"6,25,000",2016,"70,000 km",Diesel,Bandra West
Honda City,"8,25,000",2017,"55,000 km",Diesel,Santacruz West
Maruti Suzuki Wagon-R,"1,10,000",2008,"55,000 km",Petrol,Kurla West
Mercedes-Benz B Class,"8,25,000",2015,"74,000 km",Diesel,Bandra West
Ford Fiesta,"1,25,000",2007,"117,000 km",Petrol,Vile Parle East
Tata Tiago,"4,75,000",2018,"31,800 km",Petrol,Vile Parle East
Maruti Suzuki Wagon-R,"5,95,000",2021,"29,000 km",CNG & Hybrids,Sion East
Maruti Suzuki Swift,"3,75,000",2012,"82,086 km",Petrol,Sion West
Toyota Innova Hycross,"3,00,000",2023,10 km,Petrol,Bandra West
BMW 5 Series,"18,21,000",2016,"96,500 km",Diesel,Chembur
Maruti Suzuki Alto-800,"2,85,000",2015,"51,000 km",CNG & Hybri..,Chembur
Honda Mobilio,"5,25,000",2015,"46,500 km",Petrol,Chembur
Toyota Innova Crysta,"17,99,000",2017,"54,369 km",Diesel,Kurla West
Maruti Suzuki Swift-Dzire,"7,50,000",2019,"79,000 km",Diesel,Dadar East
Renault Duster,"6,25,111",2016,"78,000 km",Diesel,Bandra West
BMW M4 Competition,"1,60,00,000",2023,"7,000 km",Petrol,Santacruz West
Toyota Innova Crysta,"19,51,000",2018,"78,365 km",Diesel,Kurla West
Maruti Suzuki S-Presso,"4,85,000",2020,"37,000 km",CNG & Hybrids,Santacruz West
Mercedes-Benz GL-Class,"24,00,000",2013,"85,000 km",Diesel,Santacruz West
Tata EV,"13,45,000",2021,"10,229 km",Electric,Chembur
Mercedes-Benz B Class,"17,99,000",2017,"58,000 km",Petrol,Chembur
Audi Q3,"15,75,000",2015,"70,000 km",Diesel,Mahim
Maruti Suzuki S-Cross,"5,80,000",2016,95500.0 km,Diesel,Mahim
Maruti Suzuki maruti-suzuki-brezza,"8,50,000",2019,"70,428 km",Diesel,Sion West
Hyundai Grand i10,"4,00,000",2014,"47,000 km",Petrol,Kurla West
Toyota Innova Crysta,"17,49,999",2016,"99,751 km",Diesel,Chembur
Maruti Suzuki Ritz,"4,10,000",2014,"78,000 km",Diesel,Chembur
Maruti Suzuki Ertiga,"6,95,000",2015,"68,408 km",CNG & ..,Tilak Nagar
Toyota Innova,"11,50,000",2014,"79,914 km",Diesel,Kurla West
Audi Q5,"9,99,998",2010,"99,999 km",Diesel,Bandra West
Honda City,"4,99,999",2014,"79,000 km",Electric,Bandra West
Honda Jazz,"5,99,000",2016,"34,356 km",Petrol,Kurla West
Toyota Innova Crysta,"25,51,000",2020,"60,723 km",Diesel,Kurla West
Maruti Suzuki Swift-Dzire,"6,25,111",2018,"26,500 km",Petrol,Bandra West
Audi A6,"14,75,000",2013,"26,221 km",Diesel,Santacruz West
Honda Brio,"3,40,000",2012,"58,309 km",Petrol,Chembur
Toyota Innova Crysta,"17,40,000",2017,"93,000 km",Diesel,Khar West
Hyundai Venue,"12,45,000",2022,"5,000 km",Petrol,Santacruz West
Mercedes-Benz E-Class,"8,75,000",2012,"67,000 km",Petrol,Mahim
Honda City,"6,75,000",2015,"69,000 km",Diesel,Sion West
Chevrolet Beat,"1,35,000",2010,"89,700 km",Petrol,Kurla West
Tata Nexon,"14,19,999",2022,"20,630 km",Diesel,Bandra West
Toyota Glanza,"7,75,000",2019,"33,824 km",Petrol,Kurla West
Renault Duster,"5,65,000",2015,"68,000 km",Diesel,Mahim
Toyota Camry,"13,25,000",2014,"40,000 km",Petrol,Khar West
Toyota Innova,"5,78,000",2011,"110,000 km",Diesel,Chembur
Toyota Innova Crysta,"19,85,000",2019,"109,000 km",Diesel,Chembur
Mercedes-Benz C-Class,"7,55,000",2011,"72,000 km",Diesel,Chembur
Hyundai i10,"2,68,000",2011,"64,000 km",Petrol,Chembur
Volkswagen VentoTest,"3,45,000",2012,"61,000 km",Petrol,Chembur
Ford Figo Aspire,"3,45,000",2015,"66,700 km",CNG & Hybrids,Chembur
Mercedes-Benz GLE Class,"48,75,000",2018,"38,000 km",Diesel,Bandra West
