Company,CarName
Toyota,Toyota Fortuner
MG,MG Hector
Honda,Honda Amaze
BMW,BMW X1
Audi,Audi Q3
Hyundai,Hyundai Creta
Maruti,Maruti Suzuki Swift
Maruti,Maruti Suzuki Swift-Dzire
Maruti,Maruti Suzuki Ciaz
Maruti,Maruti Suzuki Ertiga
Maruti,Maruti Suzuki Alto-800
Ford,Ford Figo Aspire
Maruti,Maruti Suzuki Vitara-Brezza
Mercedes-Benz,Mercedes-Benz GLS
Volkswagen,Volkswagen Passat
Maruti,Maruti Suzuki Celerio
Toyota,Toyota Etios
Audi,Audi A3
Ford,Ford Figo
Hyundai,Hyundai i10
Renault,Renault Kiger
Maruti,Maruti Suzuki Baleno
Volkswagen,Volkswagen VentoTest
Maruti,Maruti Suzuki Zen-Estilo
Tata,Tata Nexon
Maruti,Maruti Suzuki Wagon-R
Hyundai,Hyundai Grand i10
Maruti,Maruti Suzuki S-Presso
Hyundai,Hyundai i20
Mercedes-Benz,Mercedes-Benz CLA
Ford,Ford Endeavour
Audi,Audi Q7
Mahindra,Mahindra XUV500
Mercedes-Benz,Mercedes-Benz GLC Class
Hyundai,Hyundai New i20
Maruti,Maruti Suzuki S-Cross1
Toyota,Toyota Corolla Altis
Ford,Ford Ecosport
Honda,Honda City
Land,Land Rover Defender
Honda,Honda Mobilio
Mercedes-Benz,Mercedes-Benz C-Class
Mahindra,Mahindra TUV
Renault,Renault Duster
Hyundai,Hyundai Elite i20
BMW,BMW 5 Series
Hyundai,Hyundai Verna
Maruti,Maruti Suzuki maruti-suzuki-brezza
Tata,Tata Tigor
BMW,BMW X5
Tata,Tata Hexa
Kia,Kia Sonet
Jeep,Jeep Compass
Maruti,Maruti Suzuki Wagon R
Hyundai,Hyundai Alcazar
Honda,Honda Civic
Mahindra,Mahindra E-20
Mahindra,Mahindra Thar
Maruti,Maruti Suzuki Ignis
MG,MG Hector Plus
Mercedes-Benz,Mercedes-Benz E-Class
Land,Land Rover Range Rover
Maruti,Maruti Suzuki Ritz
Ssangyong,Ssangyong Rexton
Maruti,Maruti Suzuki Wagon-R-1-0
Lexus,Lexus NX
Land,Land Rover Discovery Sport
Mahindra,Mahindra Scorpio
Maruti,Maruti Suzuki maruti-suzuki-dzire
Honda,Honda Jazz
Audi,Audi A4
Hyundai,Hyundai Santro Xing
Jaguar,Jaguar XF
Nissan,Nissan Magnite
Tata,Tata Tiago
Jeep,Jeep Wrangler
Chevrolet,Chevrolet Cruze
Maruti,Maruti Suzuki Swift Dzire
Maruti,Maruti Suzuki Alto
Mitsubishi,Mitsubishi Pajero
Mercedes-Benz,Mercedes-Benz M-Class
Hyundai,Hyundai Fluidic Verna
Maruti,Maruti Suzuki S-Cross
Skoda,Skoda Rapid
Skoda,Skoda Kushaq
Porsche,Porsche 718 CAYMAN
Maruti,Maruti Suzuki Sx4
Honda,Honda Accord
Mercedes-Benz,Mercedes-Benz S-Class
Toyota,Toyota Innova Crysta
Mercedes-Benz,Mercedes-Benz GL-Class
Nissan,Nissan Terrano
Maruti,Maruti Suzuki XL6
Honda,Honda WRV
Maruti,Maruti Suzuki Grand Vitara
Mahindra,Mahindra KUV 100
Maruti,Maruti Suzuki Alto-K10
BMW,BMW 3 Series
Renault,Renault Triber
Renault,Renault Lodgy
Toyota,Toyota Etios Liva
Maruti,Maruti Suzuki Eeco
Datsun,Datsun GO Plus
Skoda,Skoda Superb
Volkswagen,Volkswagen Polo
Tata,Tata Safari
Audi,Audi A6
Tata,Tata Nano
Skoda,Skoda Fabia
Renault,Renault KWID
Mahindra,Mahindra Scorpio Classic
Hyundai,Hyundai i20 N Line
Tata,Tata Harrier
Kia,Kia Seltos
Hyundai,Hyundai Xcent
Hyundai,Hyundai Grand i10 Nios
Toyota,Toyota VELLFIRE
Honda,Honda CRV
Toyota,Toyota Innova
BMW,BMW 6 Series
Porsche,Porsche Cayenne
