Company,CarName
Audi,Audi A4
Hyundai,Hyundai i20
Honda,Honda City
Maruti,Maruti Suzuki Alto-800
Kia,Kia Seltos
Maruti,Maruti Suzuki Swift
Hyundai,Hyundai Elite i20
Maruti,Maruti Suzuki Vitara-Brezza
Ford,Ford Ecosport
Maruti,Maruti Suzuki Ciaz
Maruti,Maruti Suzuki Wagon-R-1-0
Hyundai,Hyundai Santro
Toyota,Toyota Etios
Hyundai,Hyundai Grand i10
Hyundai,Hyundai Verna
Mahindra,Mahindra XUV500
Maruti,Maruti Suzuki Ertiga
Maruti,Maruti Suzuki Celerio
Maruti,Maruti Suzuki Wagon-R
Skoda,Skoda Rapid
Jaguar,Jaguar F-Pace
Toyota,Toyota Innova Crysta
Hyundai,Hyundai Santro Xing
Maruti,Maruti Suzuki Eeco
Kia,Kia Sonet
Hyundai,Hyundai Venue
Maruti,Maruti Suzuki Omni
Maruti,Maruti Suzuki Swift-Dzire
MG,MG Hector
Hyundai,Hyundai Creta
Maruti,Maruti Suzuki Ritz
Toyota,Toyota Innova
Ford,Ford Endeavour
Renault,Renault KWID
Toyota,Toyota Fortuner
Tata,Tata Zest
Jeep,Jeep Compass
Chevrolet,Chevrolet Optra Magnum
Hyundai,Hyundai New Santro
Tata,Tata Safari
Honda,Honda Amaze
Mahindra,Mahindra Xylo
Volkswagen,Volkswagen Polo
Mercedes-Benz,Mercedes-Benz M-Class
Maruti,Maruti Suzuki Baleno
Mahindra,Mahindra Bolero
Maruti,Maruti Suzuki S-Cross1
Honda,Honda Civic
Hyundai,Hyundai i10
Volkswagen,Volkswagen VentoTest
Tata,Tata Bolt
Mercedes-Benz,Mercedes-Benz GLE Class
Mercedes-Benz,Mercedes-Benz GLC Class
Maruti,Maruti Suzuki XL6
Honda,Honda City ZX
Tata,Tata Indica Ev2
BMW,BMW X5
Mahindra,Mahindra Thar
Mahindra,Mahindra Marazzo
Maruti,Maruti Suzuki S-Cross
BMW,BMW X3
Hyundai,Hyundai i20 Active
Hyundai,Hyundai Xcent
Audi,Audi Q3
Hyundai,Hyundai Xcent Prime
Tata,Tata Nexon
Tata,Tata Tiago
Mini,Mini Cooper Countryman
Audi,Audi A6
Maruti,Maruti Suzuki maruti-suzuki-dzire
Mahindra,Mahindra XUV700
Tata,Tata Vista Tech
Chevrolet,Chevrolet Spark
Maruti,Maruti Suzuki Alto-K10
Skoda,Skoda Octavia
Tata,Tata Harrier
Nissan,Nissan Terrano
Ford,Ford Figo
Hyundai,Hyundai Eon
Mercedes-Benz,Mercedes-Benz C-Class
Audi,Audi A3
Maruti,Maruti Suzuki Swift-Dzire-Tour
Maruti,Maruti Suzuki maruti-suzuki-brezza
Mahindra,Mahindra Scorpio
Land,Land Rover Range Rover
Volvo,Volvo S60
Caterham,Caterham 7
Ford,Ford Figo Aspire
Hyundai,Hyundai Santa Fe
Mercedes-Benz,Mercedes-Benz C Class
Maruti,Maruti Suzuki Swift Dzire
audi,audi audi-q7
Mini,Mini Cooper S
Tata,Tata Indica Vista
Toyota,Toyota Yaris
Skoda,Skoda Fabia
Renault,Renault Captur
Honda,Honda Jazz
Datsun,Datsun RediGO
Skoda,Skoda Kushaq
Hyundai,Hyundai Grand i10 Nios
Audi,Audi Q7
Mercedes-Benz,Mercedes-Benz GLS
BMW,BMW 3 Series GT
Mahindra,Mahindra Ssangyong-Rexton
Renault,Renault Pulse
Tata,Tata Manza
Skoda,Skoda Superb
Hyundai,Hyundai Fluidic Verna
Chevrolet,Chevrolet Beat
Maruti,Maruti Suzuki Grand Vitara
Mahindra,Mahindra XUV 300
Toyota,Toyota Etios Liva
Datsun,Datsun GO Plus
Maruti,Maruti Suzuki Alto
Tata,Tata Indica
Skoda,Skoda Laura
Honda,Honda Accord
Skoda,Skoda Kodiaq
Mercedes-Benz,Mercedes-Benz E-Class
BMW,BMW X1
Maruti,Maruti Suzuki Wagon R
Toyota,Toyota Corolla Altis
Volkswagen,Volkswagen Taigun
Volkswagen,Volkswagen Ameo
Tata,Tata Nexon EV Max
Toyota,Toyota Urban Cruiser Hyryder
Mercedes-Benz,Mercedes-Benz GLA Class
Renault,Renault Duster
