Company,CarName
Mercedes-Benz,Mercedes-Benz C-Class
Mercedes-Benz,Mercedes-Benz E-Class
Audi,Audi Q7
Hyundai,Hyundai i10
Kia,Kia Seltos
Maruti,Maruti Suzuki Ertiga
Tata,Tata EV
Maruti,Maruti Suzuki Swift
Hyundai,Hyundai Verna
BMW,BMW 3 Series
Maruti,Maruti Suzuki Wagon-R-1-0
BMW,BMW X1
Mitsubishi,Mitsubishi Pajero Sport
Hyundai,Hyundai Creta
Maruti,Maruti Suzuki Baleno
BMW,BMW 7 Series
Jeep,Jeep Compass
Toyota,Toyota Innova
Land,Land Rover Range Rover
Toyota,Toyota Yaris
Honda,Honda City
Land,Land Rover Discovery
Toyota,Toyota Fortuner
Mahindra,Mahindra TUV
Maruti,Maruti Suzuki Wagon-R
Mercedes-Benz,Mercedes-Benz B Class
Ford,Ford Fiesta
Tata,Tata Tiago
Toyota,Toyota Innova Hycross
BMW,BMW 5 Series
Maruti,Maruti Suzuki Alto-800
Honda,Honda Mobilio
Toyota,Toyota Innova Crysta
Maruti,Maruti Suzuki Swift-Dzire
Renault,Renault Duster
BMW,BMW M4 Competition
Maruti,Maruti Suzuki S-Presso
Mercedes-Benz,Mercedes-Benz GL-Class
Audi,Audi Q3
Maruti,Maruti Suzuki S-Cross
Maruti,Maruti Suzuki maruti-suzuki-brezza
Hyundai,Hyundai Grand i10
Maruti,Maruti Suzuki Ritz
Audi,Audi Q5
Honda,Honda Jazz
Audi,Audi A6
Honda,Honda Brio
Hyundai,Hyundai Venue
Chevrolet,Chevrolet Beat
Tata,Tata Nexon
Toyota,Toyota Glanza
Toyota,Toyota Camry
Volkswagen,Volkswagen VentoTest
Ford,Ford Figo Aspire
Mercedes-Benz,Mercedes-Benz GLE Class
Honda,Honda WRV
Tata,Tata Tigor
Hyundai,Hyundai Elantra
Hyundai,Hyundai i20
Maruti,Maruti Suzuki XL6
Volkswagen,Volkswagen Passat
Nissan,Nissan Sunny
Toyota,Toyota Corolla Altis
Audi,Audi A8 L
Maruti,Maruti Suzuki maruti-suzuki-dzire
BMW,BMW X7
BMW,BMW X3
Volkswagen,Volkswagen Polo
Toyota,Toyota Land Cruiser Prado
Toyota,Toyota Urban Cruiser
Nissan,Nissan Terrano
Mercedes-Benz,Mercedes-Benz A-class Limousine
Skoda,Skoda Rapid
Ford,Ford Ecosport
Volvo,Volvo XC60
Maruti,Maruti Suzuki Alto
Tata,Tata Harrier
Land,Land Rover Discovery Sport
Maruti,Maruti Suzuki Vitara-Brezza
Maruti,Maruti Suzuki Sx4
Toyota,Toyota Etios Liva
Hyundai,Hyundai i20 Active
Volkswagen,Volkswagen Ameo
Mercedes-Benz,Mercedes-Benz GLC Class
Kia,Kia Sonet
Skoda,Skoda Superb
Jaguar,Jaguar XJ
Audi,Audi A4
Mercedes-Benz,Mercedes-Benz S-Class
Hyundai,Hyundai Fluidic Verna
Honda,Honda City ZX
Toyota,Toyota Etios
Mercedes-Benz,Mercedes-Benz GLA Class
Mercedes-Benz,Mercedes-Benz A Class
Mini,Mini Cooper Convertible
Ford,Ford Figo
Mahindra,Mahindra XUV500
Volvo,Volvo XC 90
Skoda,Skoda Kodiaq
BMW,BMW X5
Mahindra,Mahindra Bolero Power Plus
Maruti,Maruti Suzuki Eeco
Mahindra,Mahindra Marazzo
Hyundai,Hyundai Grand i10 Nios
Toyota,Toyota VELLFIRE
Skoda,Skoda Kushaq
Isuzu,Isuzu D-Max V-Cross
Honda,Honda Civic
Tata,Tata Nexon EV Max
Hummer,Hummer H2
Honda,Honda Amaze
Volkswagen,Volkswagen Virtus
Maruti,Maruti Suzuki Celerio
Mercedes-Benz,Mercedes-Benz CLA
Isuzu,Isuzu MU-7
Mercedes-Benz,Mercedes-Benz R-Class
Fiat,Fiat Abarth 595
Other,Other Brands Others
Maruti,Maruti Suzuki Baleno-RS
Hyundai,Hyundai Elite i20
Honda,Honda CRV
Hyundai,Hyundai Sonata Embera
Tata,Tata Nano
Maruti,Maruti Suzuki Grand Vitara
Mercedes-Benz,Mercedes-Benz SLC
Maserati,Maserati Quattroporte
Tata,Tata Manza
Porsche,Porsche Cayenne
Maruti,Maruti Suzuki Ignis
Maruti,Maruti Suzuki Alto-K10
Mini,Mini Cooper Countryman
Jaguar,Jaguar F-Pace
Hyundai,Hyundai New Elantra
Maruti,Maruti Suzuki Wagon R
Volvo,Volvo S90
Kia,Kia Carens
Audi,Audi Q2
Bentley,Bentley GT
Mahindra,Mahindra Bolero
Maruti,Maruti Suzuki Zen-Estilo
Datsun,Datsun RediGO
Hyundai,Hyundai Santro Xing
Ssangyong,Ssangyong Rexton
Ford,Ford Endeavour
Hyundai,Hyundai Xcent
Volvo,Volvo XC90
Audi,Audi RS5
Maruti,Maruti Suzuki Ciaz
Volvo,Volvo XC40
Mahindra,Mahindra Thar
Toyota,Toyota Others
Chevrolet,Chevrolet Spark
Mitsubishi,Mitsubishi Outlander
Toyota,Toyota Urban Cruiser Hyryder
BMW,BMW 6 Series
Mercedes-Benz,Mercedes-Benz GLS
Volkswagen,Volkswagen Caraville
Hyundai,Hyundai Accent
Honda,Honda Accord
