CarName,Price,Year,KilometersDriven,Fuel Type,Location
Hyundai Grand i10 Asta AT 1.2 Kappa VTVT,5.87 Lakh,2015,11K km,Petrol,"Spinny Hub, Mantri Mall, Bangalore"
Hyundai Xcent SX AT (O) Petrol,5.18 Lakh,2014,56K km,Petrol,"Spinny Park, Yelahanka, Bangalore"
Hyundai i20 Asta 1.4 CRDI,5.32 Lakh,2013,84K km,Diesel,"Spinny Park, Yelahanka, Bangalore"
Hyundai Grand i10 Sportz 1.2 Kappa VTVT,5.40 Lakh,2016,33K km,Petrol,"Spinny Hub, Mantri Mall, Bangalore"
Hyundai Creta 1.6 SX AT VTVT,12.45 Lakh,2019,14K km,Petrol,"Spinny Park, Yelahanka, Bangalore"
Kia Sonet HTK Plus 1.0 iMT,9.99 Lakh,2021,25K km,Petrol,"Spinny Park, Yelahanka, Bangalore"
Hyundai i10 Magna Petrol,4.15 Lakh,2016,70K km,Petrol,"Spinny Hub, Mantri Mall, Bangalore"
Ford EcoSport Titanium 1.5L Ti-VCT,9.70 Lakh,2020,20K km,Petrol,"Spinny Hub, Mantri Mall, Bangalore"
Renault Triber RXZ AMT,8.59 Lakh,2022,12K km,Petrol,"Spinny Hub, Bangalore Vega Mall"
Honda Brio VX MT,4.15 Lakh,2014,45K km,Petrol,"Spinny Hub, Mantri Mall, Bangalore"
Hyundai i20 Sportz 1.4 CRDI,4.75 Lakh,2012,59K km,Diesel,"Spinny Hub, Bangalore Vega Mall"
Hyundai Grand i10 Sportz 1.2 Kappa VTVT,5.87 Lakh,2017,49K km,Petrol,"Spinny Hub, Mantri Mall, Bangalore"
Tata Zest XMS Petrol,4.84 Lakh,2016,32K km,Petrol,"Spinny Hub, Mantri Mall, Bangalore"
Maruti Suzuki Celerio ZXI,3.69 Lakh,2014,113K km,Petrol,"Spinny Park, Yelahanka, Bangalore"
Maruti Suzuki Ciaz Zeta Petrol,9.57 Lakh,2021,11K km,Petrol,"Spinny Park, Yelahanka, Bangalore"
Hyundai New Santro 1.1 Sportz AMT,5.25 Lakh,2019,19K km,Petrol,"Spinny Hub, Bangalore Vega Mall"
Honda City VX (O) MT,6.67 Lakh,2016,99K km,Petrol,"Spinny Hub, Mantri Mall, Bangalore"
Hyundai Verna Fluidic 1.6 VTVT SX Opt,6.31 Lakh,2014,22K km,Petrol,"Spinny Hub, Bangalore Vega Mall"
Volkswagen Vento Highline Petrol,6.72 Lakh,2015,46K km,Petrol,"Spinny Hub, Bangalore Vega Mall"
Honda Jazz V CVT,6.40 Lakh,2017,26K km,Petrol,"Spinny Hub, Bangalore Vega Mall"
Jeep Compass Limited 1.4 Petrol AT,16.25 Lakh,2018,22K km,Petrol,"Spinny Park, Yelahanka, Bangalore"
BMW 5 Series 520d Luxury Line,53 Lakh,2020,25K km,Diesel,"Spinny Park, Yelahanka, Bangalore"
Hyundai New Santro 1.1 Sportz AMT,5.25 Lakh,2019,19K km,Petrol,"Spinny Hub, Bangalore Vega Mall"
Tata Nano LX,1.52 Lakh,2013,23K km,Petrol,"Spinny Hub, Bangalore Vega Mall"
Hyundai i10 Sportz AT Petrol,3.43 Lakh,2013,48K km,Petrol,"Spinny Park, Yelahanka, Bangalore"
Honda Jazz V CVT,6.40 Lakh,2017,26K km,Petrol,"Spinny Hub, Bangalore Vega Mall"
Honda Amaze 1.5L VX,4.72 Lakh,2013,82K km,Diesel,"Spinny Hub, Bangalore Vega Mall"
Hyundai i10 Era Petrol,2.67 Lakh,2010,90K km,Petrol,"Spinny Hub, Bangalore Vega Mall"
Tata Nano Twist XT Petrol,1.91 Lakh,2016,70K km,Petrol,"Spinny Hub, Bangalore Vega Mall"
Ford EcoSport Titanium + 1.5L TDCi,8.88 Lakh,2018,58K km,Diesel,"Spinny Hub, Mantri Mall, Bangalore"
Hyundai Venue S 1.2,8.36 Lakh,2021,17K km,Petrol,"Spinny Hub, VR Mall, Bangalore"
Nissan Micra XV CVT,4.99 Lakh,2015,30K km,Petrol,"Spinny Hub, Mantri Mall, Bangalore"
Ford Figo Aspire Titanium Plus 1.2 Ti-VCT,4.72 Lakh,2015,59K km,Petrol,"Spinny Hub, Bangalore Vega Mall"
Honda Brio VX MT,3.27 Lakh,2013,80K km,Petrol,"Spinny Hub, Bangalore Vega Mall"
Hyundai New Santro 1.1 Sportz AMT,5.76 Lakh,2019,9K km,Petrol,"Spinny Hub, Bangalore Vega Mall"
Hyundai Elite i20 Sportz 1.2,6.10 Lakh,2017,78K km,Petrol,"Spinny Hub, Mantri Mall, Bangalore"
Datsun GO T,2.86 Lakh,2014,24K km,Petrol,"Spinny Hub, Bangalore Vega Mall"
Hyundai Grand i10 Sportz 1.2 Kappa VTVT,6.15 Lakh,2019,45K km,Petrol,"Spinny Hub, Bangalore Vega Mall"
Ford Freestyle Titanium 1.5 TDCI,8.10 Lakh,2019,41K km,Diesel,"Spinny Hub, Bangalore Vega Mall"
Volkswagen Vento Comfortline Petrol AT,6.37 Lakh,2016,62K km,Petrol,"Spinny Hub, Bangalore Vega Mall"
Jeep Compass Limited 1.4 Petrol AT,14.90 Lakh,2018,51K km,Petrol,"Spinny Park, Yelahanka, Bangalore"
Jeep Compass Model S (O) 1.4 Petrol DCT,25.90 Lakh,2021,15K km,Petrol,"Spinny Park, Yelahanka, Bangalore"
Honda Amaze 1.2 S i-VTEC,4.26 Lakh,2014,79K km,Petrol,"Spinny Hub, Bangalore Vega Mall"
Honda Amaze 1.2 S i-VTEC,4.48 Lakh,2014,50K km,Petrol,"Spinny Hub, Bangalore Vega Mall"
