CarName,Price,Year,KilometersDriven,Fuel Type,Location
Maruti Suzuki Vitara Brezza ZDi Plus,9.24 Lakh,2018,64K km,Diesel,"Spinny Hub, D,Mart, Madhapur, Hyderabad"
Volkswagen Ameo Comfortline 1.5L (D),6.82 Lakh,2019,42K km,Diesel,"Spinny Hub, DSL Virtue Mall, Hyderabad"
Tata Hexa XT,10.76 Lakh,2018,75K km,Diesel,"Spinny Hub, DSL Virtue Mall, Hyderabad"
Tata Hexa XTA,9.80 Lakh,2017,124K km,Diesel,"Spinny Hub, DSL Virtue Mall, Hyderabad"
Maruti Suzuki Alto 800 VXI,4.29 Lakh,2022,3K km,Petrol,"Spinny Hub, Forum Sujana Mall, Hyderabad"
Maruti Suzuki Ciaz ZDi,6.43 Lakh,2014,52K km,Diesel,"Spinny Hub, Forum Sujana Mall, Hyderabad"
Hyundai Grand i10 Asta (O) AT 1.2 kappa VTVT,5.99 Lakh,2016,30K km,Petrol,"Spinny Hub, DSL Virtue Mall, Hyderabad"
Tata Tiago Revotron XZA AMT,5.60 Lakh,2018,32K km,Petrol,"Spinny Hub, DSL Virtue Mall, Hyderabad"
Nissan Kicks XV Diesel,9.43 Lakh,2019,28K km,Diesel,"Spinny Hub, D,Mart, Madhapur, Hyderabad"
Nissan Magnite XV Premium Turbo CVT (O),9.30 Lakh,2021,24K km,Petrol,"Spinny Hub, D,Mart, Madhapur, Hyderabad"
Maruti Suzuki S-Cross Alpha 1.3,9.29 Lakh,2018,101K km,Diesel,"Spinny Hub, Sarath City Mall, Hyderabad"
Maruti Suzuki Eeco AC 5 STR,4.99 Lakh,2019,19K km,Petrol,"Spinny Hub, DSL Virtue Mall, Hyderabad"
Toyota Yaris J CVT,7.69 Lakh,2018,31K km,Petrol,"Spinny Hub, Sarath City Mall, Hyderabad"
Maruti Suzuki Ignis Zeta AMT Petrol Dual Tone,5.95 Lakh,2017,32K km,Petrol,"Spinny Hub, Sarath City Mall, Hyderabad"
Maruti Suzuki Alto K10 VXI (O),3.85 Lakh,2018,23K km,Petrol,"Spinny Hub, DSL Virtue Mall, Hyderabad"
Ford Figo Aspire Titanium Plus 1.5 TDCi,6.96 Lakh,2019,51K km,Diesel,"Spinny Hub, D,Mart, Madhapur, Hyderabad"
Tata Nexon XZ Plus Petrol,8.33 Lakh,2019,61K km,Petrol,"Spinny Hub, Forum Sujana Mall, Hyderabad"
Maruti Suzuki S-Cross Zeta 1.3,7.92 Lakh,2017,88K km,Diesel,"Spinny Hub, DSL Virtue Mall, Hyderabad"
