,Fuel Type,Location,CompanyName,ModelName,Price,Year,KilometersDriven
0,Petrol,Mumbai,Hyundai,Grand i10,548000.0,2021,23000.0
1,Petrol,Mumbai,Honda,Amaze,882000.0,2022,6000.0
2,Petrol,Mumbai,Tata,Altroz XM,658000.0,2021,23000.0
3,Petrol,Mumbai,Tata,Punch Adventure,678000.0,2022,10000.0
4,Petrol,Mumbai,Renault,Triber RXT,663000.0,2022,7000.0
5,Petrol,Mumbai,Maruti,Suzuki Baleno,569000.0,2018,22000.0
7,Petrol,Mumbai,Hyundai,New Santro,473000.0,2022,5000.0
8,Petrol,Mumbai,Maruti,Suzuki Baleno,714000.0,2020,24000.0
9,Petrol,Mumbai,Hyundai,Grand i10,728000.0,2022,11000.0
10,Petrol,Mumbai,Hyundai,Elite i20,613000.0,2019,8000.0
11,Petrol,Mumbai,Maruti,Suzuki Alto,376000.0,2019,20000.0
12,Petrol,Mumbai,Honda,WR-V VX,722000.0,2018,16000.0
13,Petrol+cng,Mumbai,Hyundai,Grand i10,425000.0,2014,49000.0
14,Petrol,Mumbai,Maruti,Suzuki Ertiga,468000.0,2013,52000.0
15,Petrol,Mumbai,Hyundai,i10 Sportz,382000.0,2016,44000.0
16,Petrol+cng,Mumbai,Maruti,Suzuki Wagon,365000.0,2014,25000.0
17,Petrol+cng,Mumbai,Maruti,Suzuki Wagon,386000.0,2017,63000.0
18,Diesel,Mumbai,BMW,X1 sDrive20d,2250000.0,2018,75000.0
19,Petrol,Mumbai,Jeep,Compass Sport,1190000.0,2019,21000.0
20,Diesel,Mumbai,BMW,3 Series,1950000.0,2015,66000.0
21,Petrol,Mumbai,BMW,3 Series,45000.0,2021,9000.0
22,Petrol,Mumbai,Hyundai,Elite i20,613000.0,2019,8000.0
23,Petrol,Mumbai,Honda,WR-V VX,722000.0,2018,16000.0
24,Petrol,Mumbai,Maruti,Suzuki Baleno,544000.0,2016,62000.0
25,Petrol,Mumbai,Hyundai,Grand i10,513000.0,2017,32000.0
26,Petrol,Mumbai,Hyundai,Venue SX,910000.0,2019,24000.0
27,Petrol,Mumbai,Maruti,Suzuki Baleno,587000.0,2017,14000.0
28,Petrol,Mumbai,Maruti,Suzuki S-Cross,960000.0,2020,37000.0
29,Petrol,Mumbai,Nissan,Micra Active,428000.0,2018,60000.0
30,Petrol,Mumbai,Hyundai,Venue S,748000.0,2019,34000.0
31,Petrol,Mumbai,Maruti,Suzuki Ertiga,630000.0,2016,72000.0
32,Petrol,Mumbai,Maruti,Suzuki Dzire,629000.0,2017,71000.0
33,Petrol,Mumbai,Toyota,Etios G,272000.0,2011,51000.0
34,Diesel,Mumbai,Jeep,Compass Longitude,1925000.0,2021,13000.0
35,Diesel,Mumbai,BMW,3 Series,1890000.0,2015,39000.0
36,Diesel,Mumbai,BMW,3 Series,1725000.0,2015,65000.0
37,Petrol,Mumbai,Mercedes-Benz,CLA 200,2275000.0,2017,42000.0
38,Petrol,Mumbai,Toyota,Etios Liva,284000.0,2011,76000.0
39,Petrol,Mumbai,Maruti,Suzuki Baleno,540000.0,2017,28000.0
40,Petrol,Mumbai,Hyundai,Grand i10,410000.0,2014,59000.0
41,Petrol,Mumbai,Maruti,Suzuki Swift,494000.0,2014,20000.0
42,Petrol,Mumbai,Maruti,Suzuki XL6,1145000.0,2021,18000.0
43,Petrol,Mumbai,Maruti,Suzuki Dzire,834000.0,2021,15000.0
44,Petrol,Mumbai,Honda,Amaze,884000.0,2022,9000.0
45,Petrol,Mumbai,Maruti,Suzuki Ignis,619000.0,2021,8000.0
47,Petrol,Mumbai,Jeep,Compass Longitude,2090000.0,2021,10000.0
49,Petrol,Mumbai,Honda,City V,863000.0,2019,19000.0
50,Petrol,Mumbai,Hyundai,Elantra,941000.0,2016,44000.0
51,Petrol,Mumbai,Volkswagen,Vento Highline,691000.0,2016,42000.0
52,Petrol,Mumbai,Mahindra,XUV 300,1124000.0,2021,10000.0
53,Petrol+cng,Mumbai,Tata,Tiago Revotron,716000.0,2022,27000.0
54,Petrol,Mumbai,Toyota,Etios Liva,276000.0,2011,51000.0
55,Diesel,Mumbai,Maruti,Suzuki Vitara,799000.0,2018,38000.0
56,Petrol,Mumbai,Mahindra,KUV100 NXT,529000.0,2019,28000.0
57,Petrol,Mumbai,Hyundai,Grand i10,412000.0,2015,59000.0
58,Petrol+cng,Mumbai,Maruti,Suzuki Ertiga,599000.0,2013,58000.0
59,Petrol,Mumbai,Maruti,Suzuki Wagon,445000.0,2018,29000.0
60,Petrol+cng,Mumbai,Maruti,Suzuki Wagon,359000.0,2014,31000.0
61,Petrol,Mumbai,Hyundai,Fluidic Verna,574000.0,2016,85000.0
63,Petrol,Mumbai,Mercedes-Benz,CLA 200,1990000.0,2016,25000.0
65,Petrol,Mumbai,Maruti,Suzuki Swift,729000.0,2022,30000.0
66,Petrol,Mumbai,Renault,Kwid RXT,429000.0,2020,3000.0
67,Petrol,Mumbai,MG,Motors Hector,1442000.0,2020,15000.0
68,Petrol,Mumbai,Renault,Kiger RXT,678000.0,2022,5000.0
69,Petrol,Mumbai,Hyundai,Creta,1037000.0,2017,62000.0
70,Petrol,Mumbai,Hyundai,Creta,1149000.0,2018,18000.0
71,Petrol,Mumbai,Toyota,Glanza G,849000.0,2022,8000.0
72,Petrol,Mumbai,Honda,City VX,827000.0,2017,17000.0
73,Diesel,Mumbai,Hyundai,Verna SX,1326000.0,2021,36000.0
74,Diesel,Mumbai,Hyundai,Creta,1018000.0,2017,105000.0
75,Petrol,Mumbai,Hyundai,Creta,967000.0,2017,74000.0
76,Petrol,Mumbai,Volkswagen,Polo Highline1.2L,463000.0,2015,126000.0
